Federation,Instagram Handle,Facebook Page Link,Facebook Group Link
365Strong,@365_strongwpf,https://www.facebook.com/365SWPF/?ref=br_rs,https://www.facebook.com/groups/147442292295370/about/
AAU,,,
ADAU,,,
ADFPA,,,
ADFPF,,,
AEP,@powerhispania,,
AfricanPF,,https://www.facebook.com/Africanpowerlifting/?ref=br_rs,
APA,@apawpa_official,,
APC,,,
APF,,,
APU,,,
AsianPF,,,
BB,,,
BPC,,,
BPU,,,
BP,@gbpowerfed,https://www.facebook.com/gbpowerfed/,https://www.facebook.com/groups/gbpowerfed/?ref=br_rs
BVDK,@derkraftdreikaempfer,https://www.facebook.com/BVDK-Fanpage-391234847573585/,https://www.facebook.com/groups/bvdkgroup/
CAPO,,https://www.facebook.com/capopowerlifting/?ref=br_rs,
CommonwealthPF,,,
CPF,,,
CPL,,,
CPO,,,
CPU,,,
CSST,,,
DSF,,,
EPA,,,
EPF,,,
FEMEPO,,,
FESUPO,,,
FFForce,,,
FPO,,,
FPR,,,
GPA,,,
GPC,,,https://www.facebook.com/groups/106265919454582/about/
GPC-AUS,@gpcaustralia,https://www.facebook.com/GPCAus/?ref=br_rs,
GPC-CAN,,,
GPC-GB,@gpc_gb,https://www.facebook.com/gpcgb/?ref=br_rs,
GPC-IRL,@gpcireland,,
GPC-NZ,,https://www.facebook.com/GPCNewZealand/?ref=br_rs,
GPU,,,
Hardcore,,,
HERC,,,
IDFPF,,,
IPA,,,
IPF,theipf,https://www.facebook.com/powerlifting.ipf/?ref=br_rs,
IPL,iplpowerlifting,,
IrishPF,,,
IrishPO,@ipoaipowpc,,
JPA,,,
KNKF ,@powerliften,https://www.facebook.com/powerliften,
KRAFT,,https://www.facebook.com/KRAFTIS/?ref=br_rs,
LPF,,,
MHP,,https://www.facebook.com/TeamMHP/?ref=br_rs,
MM,,,
MPA,,,
NAPF,,,
NASA,,https://www.facebook.com/NASAPL/?ref=br_rs,
NIPF,,,
NordicPF,,,
NOTLD,,,
NPA,,,
NSF,,,
NZPF,,,
OceaniaPF,,,
ÖVK,kraftdreikampf_austria,https://www.facebook.com/Kraftdreikampf1983/,
ParaPL,,,
PA,@powerliftingaustralia,,
PLZS,@powerliftingslovenija,,
PRIDE,,,
ProRaw,@prorawpowerlifting,https://www.facebook.com/ProRawPowerlifting/?ref=br_rs,
PZKFiTS,,,
RAW,,,
RAW-CAN,,,
RAWU,,,
RPS,@rps_powerlifting,https://www.facebook.com/revolutionpowerlifting/?ref=br_rs,
RUPC,,,
ScottishPL,,,
SCT,,,
SPA,,,
SPF,@southernpowerliftingfederation,https://www.facebook.com/SouthernPowerliftingFederation/?ref=br_rs,
SSF,,,
SVNL,,,
THSPA,,,
UPA,@upa_events_,,
USAPL,@usapowerlifting,https://www.facebook.com/USAPowerlifting/?ref=br_rs,
USPF,,,
USPA,@uspapower,https://www.facebook.com/USPA.Powerlifting/?ref=br_rs,https://www.facebook.com/groups/uspapowerlifting/?ref=br_rs
VietnamPA,,,
WABDL,,,https://www.facebook.com/groups/110357065514/?ref=br_rs
WDFPF,,,
WelshPA,,,
WPA,,,
WPAU,,,
WPC,,https://www.facebook.com/worldpowerliftingcongress/?ref=br_rs,
WPC-Portugal,-,https://www.facebook.com/wpc.portugal/,
WPC-RUS,,,
WPF,,,
WNPF,,,
WRPF,@wrp_official,,
WRPF-AUS,@wrpfaustralia,,
WRPF-CAN,,,
WUAP,,,
XPC,,https://www.facebook.com/XtremePowerliftingCoalition/?ref=br_rs,
