Place,Name,Sex,BirthDate,Age,Equipment,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Event
1,CIARAVINO SARA,F,,,Raw,Junior,42.13,43,,,,,57.5,61.0,65.0,65.0,,,,,65.0,B
2,CASTEGNARO ELEONORA,F,,,Raw,Junior,42.51,43,,,,,47.5,50.0,,50.0,,,,,50.0,B
1,PERI SAMANTHA,F,,,Raw,Sub-Junior,43.40,47,,,,,,62.0,,62.0,,,,,62.0,B
1,SCUDERI MARTA,F,,,Raw,Junior,46.57,47,,,,,62.5,65.0,,65.0,,,,,65.0,B
2,MONTANARO COSMIANA,F,,,Raw,Junior,46.59,47,,,,,,60.0,,60.0,,,,,60.0,B
1,CIARLONE JASMINE,F,,,Raw,Senior,44.32,47,,,,,,65.0,,65.0,,,,,65.0,B
2,NUCCI SUSANNA,F,,,Raw,Senior,46.07,47,,,,,,65.0,,65.0,,,,,65.0,B
3,RANDONE RACHELE,F,,,Raw,Senior,46.22,47,,,,,52.5,55.0,,55.0,,,,,55.0,B
1,PESAVENTO MARA,F,,,Raw,Master II,46.08,47,,,,,42.5,45.0,,45.0,,,,,45.0,B
1,BOSCHETTO GAIA,F,,,Raw,Sub-Junior,51.41,52,,,,,,59.0,,59.0,,,,,59.0,B
2,CAMPOMENOSI GIADA,F,,,Raw,Sub-Junior,51.41,52,,,,,45.0,50.0,,50.0,,,,,50.0,B
1,OFFIDANI ELENA,F,,,Raw,Junior,51.96,52,,,,,77.5,,,77.5,,,,,77.5,B
2,FADINI NICOLE,F,,,Raw,Junior,50.40,52,,,,,65.0,67.5,70.0,70.0,,,,,70.0,B
3,GRECHI GIULIA,F,,,Raw,Junior,51.82,52,,,,,62.5,65.0,67.5,67.5,,,,,67.5,B
1,BASSOLI GRETA,F,,,Raw,Senior,51.30,52,,,,,80.0,82.5,83.0,83.0,,,,,83.0,B
2,MARI DALIDA,F,,,Raw,Senior,48.36,52,,,,,72.5,75.0,,75.0,,,,,75.0,B
3,PECORA VIRGINIA,F,,,Raw,Senior,51.06,52,,,,,57.5,62.5,,62.5,,,,,62.5,B
1,PARLANTI SONIA,F,,,Raw,Master I,51.14,52,,,,,60.0,62.5,,62.5,,,,,62.5,B
1,TIRABOSCHI CATERINA,F,,,Raw,Master II,50.75,52,,,,,40.0,45.0,47.5,47.5,,,,,47.5,B
1,AULETTA GIOVANNA,F,,,Raw,Sub-Junior,54.40,57,,,,,,55.0,57.5,57.5,,,,,57.5,B
1,CICOGNANI ANNA,F,,,Raw,Junior,55.03,57,,,,,75.0,80.0,85.0,85.0,,,,,85.0,B
2,MENGHINI ALICE,F,,,Raw,Junior,56.72,57,,,,,85.0,,,85.0,,,,,85.0,B
3,BONADIES REBECCA,F,,,Raw,Junior,54.43,57,,,,,52.5,,,52.5,,,,,52.5,B
1,GUIDI ELISA,F,,,Raw,Senior,54.68,57,,,,,80.0,,82.5,82.5,,,,,82.5,B
2,VERGALLI VALERIA,F,,,Raw,Senior,54.69,57,,,,,52.5,,,52.5,,,,,52.5,B
DQ,CAPOZUCCHI BENEDETTA,F,,,Raw,Senior,55.67,57,,,,,,,,,,,,,,B
1,TENERELLI GABRIELLA,F,,,Raw,Master II,52.72,57,,,,,52.5,55.0,57.5,57.5,,,,,57.5,B
1,BERNARDI CHIARA,F,,,Raw,Junior,62.39,63,,,,,107.5,,117.5,117.5,,,,,117.5,B
2,CASAGRANDA FEDERICA,F,,,Raw,Junior,63.00,63,,,,,85.0,90.0,,90.0,,,,,90.0,B
3,BASSETTI MARTA,F,,,Raw,Junior,59.57,63,,,,,82.5,85.0,,85.0,,,,,85.0,B
4,TIRANTI NICOLE,F,,,Raw,Junior,58.33,63,,,,,75.0,,,75.0,,,,,75.0,B
1,IMBRIACO SERENA,F,,,Raw,Senior,62.13,63,,,,,100.0,,,100.0,,,,,100.0,B
2,MAERNA VALERIA,F,,,Raw,Senior,62.31,63,,,,,85.0,87.5,,87.5,,,,,87.5,B
3,BRUNELLI MARTA,F,,,Raw,Senior,62.42,63,,,,,,80.0,82.5,82.5,,,,,82.5,B
4,MARCONI CHIARA,F,,,Raw,Senior,60.10,63,,,,,75.0,,,75.0,,,,,75.0,B
5,RESI ERIKA,F,,,Raw,Senior,61.85,63,,,,,67.5,,72.5,72.5,,,,,72.5,B
6,RIZZOLO FRANCESCA,F,,,Raw,Senior,62.57,63,,,,,67.5,70.0,,70.0,,,,,70.0,B
7,D'ERRICO BARBARA,F,,,Raw,Senior,60.89,63,,,,,37.5,40.0,,40.0,,,,,40.0,B
DQ,BAGGIANO EMANUELA TINDARA,F,,,Raw,Senior,59.98,63,,,,,,,,,,,,,,B
1,VENIANI ALICE,F,,,Raw,Master I,62.29,63,,,,,72.5,77.5,80.0,80.0,,,,,80.0,B
2,PALLADINO ERSILIA,F,,,Raw,Master I,62.19,63,,,,,67.5,72.5,,72.5,,,,,72.5,B
1,BREMBILLA FRANCESCA,F,,,Raw,Master II,62.41,63,,,,,67.5,,,67.5,,,,,67.5,B
1,PONTONI ELEONORA,F,,,Raw,Sub-Junior,68.98,69,,,,,,92.5,,92.5,,,,,92.5,B
1,COAN DRUSILLA,F,,,Raw,Junior,66.67,69,,,,,106.0,,110.0,110.0,,,,,110.0,B
2,NALDI SARA,F,,,Raw,Junior,64.42,69,,,,,,97.5,,97.5,,,,,97.5,B
3,POCATERRA ROBERTA,F,,,Raw,Junior,64.91,69,,,,,62.5,,67.5,67.5,,,,,67.5,B
1,FORCELLESE VIRGINIA,F,,,Raw,Senior,67.33,69,,,,,82.5,85.0,,85.0,,,,,85.0,B
2,D'EUSANIO VERONICA,F,,,Raw,Senior,68.18,69,,,,,,85.0,,85.0,,,,,85.0,B
3,PIRANI ASIA,F,,,Raw,Senior,64.34,69,,,,,62.5,67.5,,67.5,,,,,67.5,B
4,COMPAGNI SARA,F,,,Raw,Senior,65.93,69,,,,,50.0,55.0,,55.0,,,,,55.0,B
1,BOVO MARIANNA,F,,,Raw,Master I,64.79,69,,,,,60.0,65.0,67.5,67.5,,,,,67.5,B
1,FRANCHINI ASIA,F,,,Raw,Sub-Junior,71.60,76,,,,,88.5,,,88.5,,,,,88.5,B
1,MATTIOLI MARTA,F,,,Raw,Junior,71.89,76,,,,,95.0,102.5,,102.5,,,,,102.5,B
2,GIAMBELLI VALERIA,F,,,Raw,Junior,74.60,76,,,,,90.0,97.5,,97.5,,,,,97.5,B
1,LAZZERI ARIANNA,F,,,Raw,Senior,72.31,76,,,,,62.5,65.0,70.0,70.0,,,,,70.0,B
2,FERRARI ALESSIA,F,,,Raw,Senior,71.11,76,,,,,60.0,65.0,,65.0,,,,,65.0,B
3,IACI ANGELA,F,,,Raw,Senior,71.24,76,,,,,62.5,65.0,,65.0,,,,,65.0,B
1,VALLICELLI FEDERICA,F,,,Raw,Master I,73.85,76,,,,,75.0,,81.0,81.0,,,,,81.0,B
2,SERVENTI MONICA,F,,,Raw,Master I,72.45,76,,,,,70.0,75.5,80.5,80.5,,,,,80.5,B
3,CRESTA RUENA,F,,,Raw,Master I,72.61,76,,,,,,45.0,47.5,47.5,,,,,47.5,B
1,BONECCHER LINDA,F,,,Raw,Sub-Junior,81.10,84,,,,,75.0,78.0,,78.0,,,,,78.0,B
2,MANGANINI VANESSA,F,,,Raw,Sub-Junior,76.31,84,,,,,57.5,60.0,62.5,62.5,,,,,62.5,B
1,PALMA GIADA,F,,,Raw,Junior,81.05,84,,,,,100.0,105.0,,105.0,,,,,105.0,B
2,SALVARANI CAMILLA,F,,,Raw,Junior,79.41,84,,,,,,75.0,82.5,82.5,,,,,82.5,B
1,BELLINI ELISA,F,,,Raw,Senior,76.15,84,,,,,95.0,100.0,,100.0,,,,,100.0,B
1,MARCON ELISA,F,,,Raw,Junior,84.78,84+,,,,,82.5,,86.0,86.0,,,,,86.0,B
1,PETTENA' ALESSIA,F,,,Raw,Senior,94.06,84+,,,,,92.5,94.0,95.5,95.5,,,,,95.5,B
2,BARBIERI VALENTINA,F,,,Raw,Senior,85.69,84+,,,,,90.0,,,90.0,,,,,90.0,B
