Name,Team,BodyweightKg,Best3SquatKg,Best3BenchKg,SubTotal,Best3DeadliftKg,TotalKg,Event,Equipment
Helen Wolsey,WA,43.75,120,62.5,182.5,142.5,325,SBD,Single-ply
C Coleman,SE,42.6,87.5,40,127.5,115,242.5,SBD,Single-ply
K Cameron,SE,47,130,65,195,145,340,SBD,Single-ply
P Whitmore,,47.8,112.5,45,157.5,115,272.5,SBD,Single-ply
D Harris,,46.8,100,45,145,110,255,SBD,Single-ply
H Lawson,YNE,47.2,90,45,135,97.5,232.5,SBD,Single-ply
A Seesurran,GL,47,70,45,115,105,220,SBD,Single-ply
E Dixon,YNE,46.1,60,35,95,95,190,SBD,Single-ply
L Manester,SE,51.3,127.5,75,202.5,135,337.5,SBD,Single-ply
B Hibbert,SE,50.6,120,60,180,142.5,322.5,SBD,Single-ply
T Hollis,SM,50.3,110,65,175,140,315,SBD,Single-ply
C Klein,SE,49.2,115,40,155,130,285,SBD,Single-ply
G Brown,SW,51.5,112.5,52.5,165,117.5,282.5,SBD,Single-ply
J Horn,NW,51.2,100,35,135,120,255,SBD,Single-ply
L Bedford,YNE,50.2,87.5,45,132.5,115,247.5,SBD,Single-ply
Jenny Hunter,EM,55.1,147.5,85,232.5,175,407.5,SBD,Single-ply
H Whittington,SE,55,115,65,180,145,325,SBD,Single-ply
R Phelps,SW,55.05,110,55,165,140,305,SBD,Single-ply
A Hayes,SM,53.2,100,45,145,137.5,282.5,SBD,Single-ply
Sheila Stapleton,NM,52.55,102.5,47.5,150,115,265,SBD,Single-ply
A Sebburn,WM,52.5,85,47.5,132.5,117.5,250,SBD,Single-ply
G Gardner,NW,54.5,80,47.5,127.5,105,nil,SBD,Single-ply
Jackie Blasbery,EM,59.35,140,72.5,212.5,180,392.5,SBD,Single-ply
R Bass,GL,58.95,145,75,220,170,390,SBD,Single-ply
M Wadsworth,EM,60,120,85,205,145,350,SBD,Single-ply
M Montsho,NW,59.85,107.5,52.5,160,142.5,302.5,SBD,Single-ply
N Bawden,SW,58.1,105,50,155,140,295,SBD,Single-ply
S Coburn,WM,59.65,102.5,50,152.5,140,292.5,SBD,Single-ply
H Trafford,NW,67.5,157.5,92.5,250,172.5,422.5,SBD,Single-ply
J Smith,WM,66,145,70,215,190,405,SBD,Single-ply
S Williams,SE,63,140,70,210,167.5,377.5,SBD,Single-ply
M Coleman,SE,66.15,135,75,210,150,360,SBD,Single-ply
R Francis,GL,65.95,135,62.5,197.5,160,357.5,SBD,Single-ply
J Green,NM,65.4,105,75,185,160,345,SBD,Single-ply
H Druiff,EM,66.55,135,65,200,140,340,SBD,Single-ply
J Wheeler,SM,67.25,120,67.5,187.5,145,332.5,SBD,Single-ply
J Wills,YNE,66.55,115,70,180,142.5,322.5,SBD,Single-ply
P Rowlett,SW,60.5,110,55,165,130,295,SBD,Single-ply
S Achar,NM,68.9,155,77.5,232.5,170,402.5,SBD,Single-ply
E Harris,SE,68.65,137.5,77.5,215,120,335,SBD,Single-ply
J Last,SE,73.7,120,55,175,135,310,SBD,Single-ply
Judith Oakes,SE,77.45,205,110,315,205,520,SBD,Single-ply
J Williams,NM,79.8,190,120,310,190,500,SBD,Single-ply
A Saint,WM,80.7,155,65,220,155,375,SBD,Single-ply
Carole Springett,YNE,77.85,142.5,65,207.5,150,357.5,SBD,Single-ply
B Martin,WM,89.95,195,85,280,210.5 R,490,SBD,Single-ply
J Pepper,SE,93.2,177.5,87.5,265,187.5,452.5,SBD,Single-ply
