Name,Team,BodyweightKg,Best3BenchKg,Event,Equipment,WeightClassKg
Seesurran,gl,54.3,82.5,B,Single-ply,56
Brooks,wm,59,95,B,Single-ply,60
Miller,gl,59.1,85,B,Single-ply,60
Mccrohon,sm,66.6,155,B,Single-ply,67.5
Kandler,se,67.2,132.5,B,Single-ply,67.5
Law,se,66,130,B,Single-ply,67.5
Bedford,sm,65.6,120,B,Single-ply,67.5
Prater,sw,65.5,117.5,B,Single-ply,67.5
Reid,gl,67.4,110,B,Single-ply,67.5
Sanders,gl,71.1,170,B,Single-ply,75
Laing,gl,73.4,155,B,Single-ply,75
Walker,em,73.8,155,B,Single-ply,75
Hibbert,se,69.2,150,B,Single-ply,75
Ward,gl,73.9,105,B,Single-ply,75
Ramussen,gl,80.2,170,B,Single-ply,82.5
Sandhar,wm,77.5,160,B,Single-ply,82.5
Verrall,se,80.3,155,B,Single-ply,82.5
Williams,gl,75.4,145,B,Single-ply,82.5
Ryder,yne,80.2,145,B,Single-ply,82.5
Wadsworth,em,82.2,145,B,Single-ply,82.5
Smith,wm,82.3,145,B,Single-ply,82.5
Pogson,gl,80.8,142.5,B,Single-ply,82.5
Bernstein,wm,81.9,137.5,B,Single-ply,82.5
Thompson,em,75.8,125,B,Single-ply,82.5
Mcconnell,wm,88.8,170,B,Single-ply,90
Clarke,gl,84.3,160,B,Single-ply,90
Powell,wm,84.6,160,B,Single-ply,90
Acreman,gl,83.5,157.5,B,Single-ply,90
Mezzela,gl,88.2,157.5,B,Single-ply,90
Hippolyte,gl,87.3,150,B,Single-ply,90
Sylvester,sw,87.8,150,B,Single-ply,90
Rivett,gl,89.9,125,B,Single-ply,90
Matthews,sm,86.5,,B,Single-ply,90
Henry,wm,99.4,190,B,Single-ply,100
Cumming,sco,99.7,187.5,B,Single-ply,100
Beechey,wal,98.1,182.5,B,Single-ply,100
Rodney,gl,99.6,177.5,B,Single-ply,100
Bayram,nm,98.2,170,B,Single-ply,100
Baker,wm,94.2,165,B,Single-ply,100
Young,wm,93.3,147.5,B,Single-ply,100
Douglas,wm,92.3,145,B,Single-ply,100
Hart,se,96.9,145,B,Single-ply,100
Wheeler,sm,96.2,140,B,Single-ply,100
Reed,em,98.8,120,B,Single-ply,100
Leigh,nw,107.7,230,B,Single-ply,110
Rigby,nw,100.9,215,B,Single-ply,110
Bartley,nm,105.7,187.5,B,Single-ply,110
King,wm,104.3,180,B,Single-ply,110
Moses,gl,104.9,140,B,Single-ply,110
Lawton,wm,119.9,220,B,Single-ply,125
Sutton,wal,117.9,192.5,B,Single-ply,125
Attish,wm,112,175,B,Single-ply,125
Coton,wm,118.8,167.5,B,Single-ply,125
Lambert,sw,141.3,200,B,Single-ply,125+
Simon,gl,159.3,160,B,Single-ply,125+
