Name,Team,BodyweightKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Event,Equipment
N Gifford,SE,44,120,52.5,125,297.5,SBD,Single-ply
P Reeves,WM,43.5,80,37.5,112.5,230,SBD,Single-ply
E Dixon,YNE,45,80,40,105,225,SBD,Single-ply
H Whittington,SE,52,127.5,70,150,347.5,SBD,Single-ply
A Seesuran,GL,50.6,125,62.5,135,322.5,SBD,Single-ply
Y Mcgill,SC,50,115,50,145,310,SBD,Single-ply
H Hampson,YNE,50.7,115,57.5,127.5,300,SBD,Single-ply
M Woodger,SE,51,97.5,40,127.5,265,SBD,Single-ply
K Bulford,SE,51.5,72.5,37.5,107.5,217.5,SBD,Single-ply
T Hollis,SM,55.5,152.5,85,157.5,395,SBD,Single-ply
Lesley Manester,SE,55,132.5,75,147.5,355,SBD,Single-ply
L Jardine,SC,55.3,130,60,132.5,322.5,SBD,Single-ply
S Middleton,YNE,55.5,75,47.5,110,232.5,SBD,Single-ply
J Kattan,YNE,59.9,160,85,180,425,SBD,Single-ply
Jackie Blasbery,EM,59.6,145,75,180,400,SBD,Single-ply
J Pearcey,??,60,127.5,65,145,337.5,SBD,Single-ply
K Dormedy,SE,60,115,60,147.5,322.5,SBD,Single-ply
B Pringle,??,60,105,50,147.5,302.5,SBD,Single-ply
Doreen Dowsett,NM,60,100,52.5,142.5,295,SBD,Single-ply
C Gunn,YNE,59.6,100,45,135,280,SBD,Single-ply
G Brown,SW,57,110,50,117.5,277.5,SBD,Single-ply
P Roberts,GL,59,97.5,60,115,272.5,SBD,Single-ply
W Trubody,SM,59.1,100,40,120,260,SBD,Single-ply
L Doidge,SC,59.8,110,,,,SBD,Single-ply
E Harris,SE,66.7,170,92.5,177.5,440,SBD,Single-ply
Sue Mackness,SE,67,135,67.5,142.5,345,SBD,Single-ply
L Collins,,66.3,127.5,62.5,152.5,342.5,SBD,Single-ply
S Heathcote,WM,66.3,122.5,70,135,327.5,SBD,Single-ply
J Wheeler,SM,67.9,147.5,77.5,170,395,SBD,Single-ply
L Ellis,SE,71.5,125,65,135,325,SBD,Single-ply
B Beattie,SE,72.3,117.5,65,130,312.5,SBD,Single-ply
Carole Springett,YNE,81.6,152.5,70,170,392.5,SBD,Single-ply
A Saint,WM,81.5,162.5,70,155,387.5,SBD,Single-ply
L Ruggiero,??,76.4,152.5,65,155,372.5,SBD,Single-ply
S Smith-Vokroj,GL,83.4,145,70,182.5,397.5,SBD,Single-ply
D Wood,SE,89.9,125,55,117.5,297.5,SBD,Single-ply
Jackie Pepper,SE,90.6,162.5,92.5,182.5,437.5,SBD,Single-ply
S Mullin,NM,95.4,160,75,180,415,SBD,Single-ply
G Lockyer,SE,99.4,135,70,130,335,SBD,Single-ply
