Name,Team,BodyweightKg,Best3BenchKg,Event,Equipment,WeightClassKg,Sex
Seesurran,gl,54.3,87.5,B,Single-ply,56,M
Mccrohon,sm,66.6,145,B,Single-ply,67.5,M
Richard,wal,60.2,140,B,Single-ply,67.5,M
Law,sw,65.5,140,B,Single-ply,67.5,M
Hale,wal,66.1,130,B,Single-ply,67.5,M
Casser,wm,66.1,130,B,Single-ply,67.5,M
Sanders,gl,74.8,190,B,Single-ply,75,M
Laing,gl,73.6,152.5,B,Single-ply,75,M
Forbes,wm,73.5,142.5,B,Single-ply,75,M
Mirza,wm,70.9,137.5,B,Single-ply,75,M
Stan Macrow,wm,73.2,130,B,Single-ply,75,M
Philip Guise,wm,75,130,B,Single-ply,75,M
Kilpatrick,sco,70.9,120,B,Single-ply,75,M
Andy Rigby,nw,79.1,177.5,B,Single-ply,82.5,M
Ramussen,gl,81.2,165,B,Single-ply,82.5,M
Mccormack,se,82.5,155,B,Single-ply,82.5,M
Smith,wm,82.5,152.5,B,Single-ply,82.5,M
Roskilly,se,81.5,150,B,Single-ply,82.5,M
Phil Stringer,gl,82,150,B,Single-ply,82.5,M
Acreman,wal,82.1,150,B,Single-ply,82.5,M
Gayle,gl,78.8,145,B,Single-ply,82.5,M
Jones,wm,81.8,142.5,B,Single-ply,82.5,M
Dyer,sw,80.6,137.5,B,Single-ply,82.5,M
Mckissock,sco,82.3,130,B,Single-ply,82.5,M
Hinchley,em,82.1,125,B,Single-ply,82.5,M
Craig,sco,82.2,120,B,Single-ply,82.5,M
Main,yne,89.6,185,B,Single-ply,90,M
Andrews,se,89.8,175,B,Single-ply,90,M
Green,sm,87.1,170,B,Single-ply,90,M
Needham,nm,87.1,165,B,Single-ply,90,M
Clarke,gl,85.4,162.5,B,Single-ply,90,M
Baker,wm,88.8,162.5,B,Single-ply,90,M
Yates,wm,89.3,162.5,B,Single-ply,90,M
Hooker,sw,88.5,157.5,B,Single-ply,90,M
Pemberton,wm,89.7,152.5,B,Single-ply,90,M
Bernstein,wm,87.3,145,B,Single-ply,90,M
Hazell,wm,89.6,135,B,Single-ply,90,M
Davies,wal,94.4,200,B,Single-ply,100,M
Bayram,nm,98.6,172.5,B,Single-ply,100,M
James,wm,97.8,162.5,B,Single-ply,100,M
King,wm,105.6,190,B,Single-ply,110,M
Clements,sm,109.5,170,B,Single-ply,110,M
Cotterell,wal,104.3,160,B,Single-ply,110,M
Lawton,wm,121.6,230,B,Single-ply,125,M
Lambert,sw,142.9,190,B,Single-ply,125+,M
Simon,gl,153.7,172.5,B,Single-ply,125+,M
Reeves,wm,42.9,42.5,B,Single-ply,44,F
Kavanagh,sw,47.8,52.5,B,Single-ply,48,F
Seesuran,gl,49.8,65,B,Single-ply,52,F
Hollis,sm,55.2,87.5,B,Single-ply,56,F
Schmidberger,gl,53,65,B,Single-ply,56,F
O'Brien,gl,72.8,87.5,B,Single-ply,75,F
Jones,wm,74,80,B,Single-ply,75,F
Brown,nm,70.5,75,B,Single-ply,75,F
Cattell,wm,73,70,B,Single-ply,75,F
Clarke,wm,72.4,55,B,Single-ply,75,F
Saint,wm,82,87.5,B,Single-ply,82.5,F
Salmon,gl,81.3,85,B,Single-ply,82.5,F
Schaeffer,nm,87,110,B,Single-ply,90,F
Scarlett,gl,88.6,80,B,Single-ply,90,F
Jackie Pepper,se,94.8,85,B,Single-ply,90+,F
