Name,Team,BodyweightKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,Event,Equipment,TotalKg,WeightClassKg
P Lake,yne,59.8,160,80,172.5,SBD,Single-ply,412.5,60
R Batchelor,se,67.4,237.5,130,262.5,SBD,Single-ply,630,67.5
R Huttner,sco,66.2,180,97.5,215,SBD,Single-ply,492.5,67.5
R Love,sco,65.5,175,95,195,SBD,Single-ply,465,67.5
S Kilpatrick,sco,71.1,222.5,122.5,237.5,SBD,Single-ply,582.5,75
M Auerbach,wm,71.1,210,125,225,SBD,Single-ply,560,75
J Kelly,nw,68.3,185,100,210,SBD,Single-ply,495,75
T Crump,se,74.7,170,95,215,SBD,Single-ply,480,75
K Singh,nm,76.4,240,142.5,252.5,SBD,Single-ply,635,82.5
M Green,sm,89.1,230,165,260,SBD,Single-ply,655,90
M Watson,yne,83.3,200,135,230,SBD,Single-ply,565,90
G Pilling,yne,109.5,290,165,280,SBD,Single-ply,735,110
J Singh,nm,109.6,300,110,,SBD,Single-ply,,
D Bowring,sm,118.4,330,205,305,SBD,Single-ply,840,125
