Name,Sex,Age,WeightClassLBS,Event,Equipment,Division,BodyweightLBS,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Place
Damiyah Smith,F,10,88,B,,10-11,82,,37.5,,37.5,1
Lisa Reading,F,53,165,B,,50-54,160.8,,45,,45,1
Angie Andras,F,36,165,B,,Sub,162,,62.5,,62.5,1
Damiyah Smith,F,10,88,BD,,10-11,82,,37.5,80,117.5,1
Chandler Morris,F,50,198,BD,,50-54,188,,60,142.5,202.5,1
Shelby Marsh,F,37,148,BD,,Sub,143.6,,40,107.5,147.5,2
Kelly Morrison,F,39,148,BD,,Sub,141.2,,50,140,190,1
Damiyah Smith,F,10,88,D,,10-11,82,,,80,80,1
Lisa Reading,F,53,165,D,,50-54,160.8,,,102.5,102.5,1
Jennifer Pusey,F,32,132,D,,Open,125.6,,,122.5,122.5,1
Angie Andras,F,36,165,D,,Sub,162,,,110,110,1
Damiyah Smith,F,10,88,SBD,,10-11,82,62.5,37.5,80,180,1
Melissa Holloway,F,48,132,SBD,,45-49,130.2,65,40,122.5,227.5,1
Kathy Tokunago,F,51,148,SBD,,50-54,142.8,67.5,40,105,212.5,1
Lisa Reading,F,53,165,SBD,,50-54,160.8,70,45,102.5,217.5,1
Lisa Voss,F,50,220,SBD,,50-54,207,72.5,70,142.5,285,1
Jeanilee Sumagaysay,F,33,132,SBD,,Life,131,107.5,75,145,327.5,1
Heather Aquino,F,30,148,SBD,,Open,146,97.5,50,135,282.5,1
Lisa Voss,F,50,220,SBD,,Open,207,72.5,70,142.5,285,1
Angie Andras,F,36,165,SBD,,Sub,162,107.5,62.5,110,280,1
Antonio Santillan,M,14,242,B,,14-15,224.8,,120,,120,1
Henry Fultz,M,58,181,B,,55-59,180.4,,140,,140,1
Robert Hale,M,60,220,B,,60-64,219,,153,,153,1
Glen Tenove,M,61,242,B,,60-64,241.6,,153,,153,1
Gary Miller,M,65,148,B,,65-69,144.6,,105,,105,1
Robert Bienvenu,M,68,181,B,,65-69,178.6,,77.5,,77.5,2
Martin Drake,M,66,181,B,,65-69,172.6,,137.5,,137.5,1
Charlie Jones,M,67,242,B,,65-69,241.8,,145,,145,1
William Prince,M,79,181,B,,75-79,178,,115,,115,2
Jerry Homer Sr,M,77,181,B,,75-79,178.8,,130,,130,1
John Lopez,M,80,165,B,,80-84,163.8,,105,,105,1
Gerald Lindas,M,80,165,B,,80-84,158.6,,102.5,,102.5,2
Ruben Eric Porras,M,39,132,B,,Open,123.6,,127.5,,127.5,1
Joseph Recarey,M,,165,B,,Open,158,,100,,100,1
Ruben Eric Porras,M,39,132,B,,Sub,123.6,,127.5,,127.5,1
Antonio Santillan,M,14,242,BD,,14-15,224.8,,120,205.5,325.5,1
Robert Bienvenu,M,68,181,BD,,65-69,178.6,,77.5,142.5,220,1
Harold Wooten,M,65,220,BD,,65-69,220.2,,127.5,190,317.5,1
Gordon Santee,M,70,132,BD,,70-74,131.6,,67.5,140,207.5,1
Derek Murdoch,M,27,198,BD,,Law/Mil,177.7,,130,185,315,1
Derek Murdoch,M,27,198,BD,,Open,177.7,,130,185,315,1
Jeffrey Bowie,M,13,220,D,,12-13,211.4,,,172.5,172.5,1
Damien De La Vega,M,12,88,D,,12-13,83.6,,,75,75,1
Antonio Santillan,M,14,242,D,,14-15,224.8,,,205.5,205.5,1
Mac Scott,M,64,148,D,,60-64,138.2,,,135,135,1
Robert Hale,M,60,220,D,,60-64,219,,,,,DQ
Robert Bienvenu,M,68,181,D,,65-69,178.6,,,142.5,142.5,1
Christopher Tonge,M,26,242,D,,Law/Mil,242,,,192.5,192.5,1
Joseph Hochanadel,M,27,275,D,,Law/Mil,272.6,,,275,275,1
Kelaka Perkins,M,14,148,SBD,,14-15,142.4,110,92.5,157.5,360,1
Antonio Santillan,M,14,242,SBD,,14-15,224.8,180,120,205.5,505.5,1
Jerry Homer Jr,M,54,220,SBD,,50-54,220,250.5,163,230,643.5,1
Rocky Tilson,M,54,275,SBD,,50-54,254.6,135,102.5,142.5,380,1
Donald Walker,M,64,148,SBD,,60-64,145.7,137.5,80,137.5,355,1
Marty Scales,M,60,165,SBD,,60-64,162.6,102.5,92.5,155,350,1
Glen Tenove,M,61,242,SBD,,60-64,241.6,100,175,182.5,457.5,1
Martin Drake,M,66,181,SBD,,65-69,172.6,55,137.5,102.5,295,2
Robert Bienvenu,M,68,181,SBD,,65-69,178.6,80,77.5,142.5,300,1
Charlie Jones,M,67,242,SBD,,65-69,241.8,65,145,65,275,1
Gordon Santee,M,70,132,SBD,,70-74,131.6,70,67.5,140,277.5,1
Ray Fourner,M,74,181,SBD,,70-74,181.2,130,91,185,406,1
Mike Haigwood,M,75,181,SBD,,75-79,181,62.5,87.5,107.5,257.5,1
Mustafa Ghalaydni,M,22,308,SBD,,Junior,283.4,125,122.5,187.5,435,1
Derek Murdoch,M,27,198,SBD,,Law/Mil,177.7,,130,315,,DQ
Joseph Recarey,M,,165,SBD,,Open,158,135,100,147.5,382.5,2
Bryon Woods,M,34,165,SBD,,Open,162.8,165,112.5,230,507.5,1
Matthew Sills,M,29,181,SBD,,Open,178.6,180,105,185,470,2
Kareem Waheed,M,34,181,SBD,,Open,173.4,230,155,197.5,582.5,1
David Van Horrick,M,29,275,SBD,,Sub,268.6,215,165,230,610,1
