Sex,Name,Age,BodyWeightLBS,WeightClassLBS,Event,Division,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Place,Country
F,Damiyah Smith,11,86.7,88,B,10-11,,42.5,,42.5,1,
F,Robyn Miller,39,121.1,123,B,Law/Mil,,62.5,,62.5,1,
F,Robyn Miller,39,121.1,123,B,Sub,,62.5,,62.5,1,
F,Cienna Cabrera,11,130.8,132,B,10-11,,32.5,,32.5,1,
F,Cameron Cabrera,15,129.1,132,B,16-17,,37.5,,37.5,1,
F,Carolyn Vanzlow,67,137.6,148,B,65-69,,37.5,,37.5,1,
F,Lisa Reading,53,174.4,181,B,50-54,,52.5,,52.5,1,
F,Robyn Miller,39,121.1,123,BD,Law/Mil,,62.5,140,202.5,1,
F,Robyn Miller,39,121.1,123,BD,Sub,,62.5,140,202.5,1,
F,Carolyn Vanzlow,67,137.6,148,BD,65-69,,37.5,82.5,120,1,
F,Erin Schuch,28,145.3,148,BD,Open,,60,95,155,1,
F,Carolyn Williams,59,157.2,165,BD,55-59,,72,120,192,1,
F,Patricia Revel,61,174.1,181,BD,60-64,,52.5,92.5,145,1,
F,Winifred Pristell,80,177.6,181,BD,80-84,,65,107.5,172.5,1,
F,Chandler Marrs,50,192.3,198,BD,50-54,,57.5,135,192.5,1,
F,Valerie Crowell,58,195.5,198,BD,55-59,,72.5,100,172.5,1,
F,Toni Hardy,57,213.4,198+,BD,55-59,,52.5,127.5,180,1,
F,Damiyah Smith,11,86.7,88,BD,10-11,,42.5,87.5,130,1,
F,Olivia Stewart,10,77.6,77,D,10-11,,,55,55,1,
F,Damiyah Smith,11,86.7,88,D,10-11,,,87.5,87.5,1,
F,Aria Riley,11,90.8,97,D,10-11,,,62.5,62.5,1,
F,Karin Hendil,61,118.8,123,D,60-64,,,101,101,1,Austria
F,Robyn Miller,39,121.1,123,D,Law/Mil,,,140,140,1,
F,Robyn Miller,39,121.1,123,D,Sub,,,140,140,1,
F,Cienna Cabrera,11,130.8,132,D,10-11,,,66,66,1,
F,Cameron Cabrera,16,129.1,132,D,16-17,,,62.5,62.5,2,
F,Nikki Young,16,126.5,132,D,16-17,,,85,85,1,
F,Carolyn Vanzlow,67,137.6,148,D,65-69,,,82.5,82.5,1,
F,Maryliah Leavevton,23,142.3,148,D,Junior,,,140,140,1,
F,Jessi Allen-Giribaldi,29,147,148,D,Life,,,137.5,137.5,1,
F,Shelby Marsh,37,144.8,148,D,Sub,,,120,120,1,
F,Yvonne Von Stipholt,31,163.8,165,D,Open,,,155,155,1,
F,Lisa Reading,53,174.4,181,D,50-54,,,116,116,1,
F,Lynne Castellanos,58,187.1,181,D,55-59,,,137.5,137.5,1,
F,Liza Visser,34,283.5,198+,D,Open,,,182.5,182.5,1,
F,Rocky Luedecker,62,98.6,105,SBD,60-64,45,40,80,165,1,
F,Rocky Luedecker,62,98.6,105,SBD,Open,45,40,80,165,1,
F,Chisato Dubose,53,112.7,114,SBD,50-54,77.5,40.5,110,228,1,
F,Delores Sutcliffe,55,107.5,114,SBD,55-59,72.5,37.5,100,210,1,
F,Robyn Miller,39,121.1,123,SBD,Law/Mil,85,62.5,140,287.5,1,
F,Robyn Miller,39,121.1,123,SBD,Sub,85,62.5,140,287.5,1,
F,Cienna Cabrera,11,130.8,132,SBD,10-11,55,32.5,66,153.5,1,
F,Cameron Cabrera,16,129.1,132,SBD,16-17,62.5,37.5,62.5,162.5,1,
F,Melissa Holloway,49,129.5,132,SBD,45-49,67.5,45,140,252.5,1,
F,Valerie Silver,68,132,132,SBD,65-69,65,42.5,112.5,220,1,Australia
F,Chynna Ramello,24,127.4,132,SBD,Open,80,45,127.5,252.5,2,
F,Jeanilee Sumagaysay,34,129.7,132,SBD,Open,107.5,75,142.5,325,1,
F,Abigail Vanmarter,18,134.8,148,SBD,18-19,80,40,105,225,1,
F,Yelena Bredikhina,40,139,148,SBD,40-44,95,55,140,290,1,
F,Maryliah Leavevton,23,142.3,148,SBD,Junior,102.5,52.5,140,295,1,
F,Breanna Salazar,25,138.1,148,SBD,Life,100,57.5,137.5,295,1,
F,Rachel Maak,32,145.8,148,SBD,Open,117.5,75,145,337.5,1,
F,Pascale Atallah,,,148,SBD,Open,,,,,DQ,Lebanon
F,Shelby Marsh,37,144.8,148,SBD,Sub,80,42.5,120,242.5,2,
F,Camille Curto,37,144.8,148,SBD,Sub,137.5,82.5,147.5,367.5,1,
F,Sachie Dubose,17,160.3,154,SBD,16-17,152.5,67.5,167.5,387.5,1,
F,Malinche Yellowhorse,27,161.4,165,SBD,Life,112.5,50,122.5,285,1,
F,Katie Ruehle,32,158.2,165,SBD,Open,112.5,70,145,327.5,3,
