Place,Name,Sex,Event,Division,WeightClassKg,Equipment,BirthYear,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg
1,Mari Ángeles Caballero Márquez,F,B,SNR,52,Raw,1987,49.30,,,,,42.5,45.0,47.5,47.5,,,,,47.5
1,Elena de la Esperanza Encinar,F,B,SNR,57,Raw,1964,56.32,,,,,52.5,55.0,-57.5,55.0,,,,,55.0
2,Raquel Esclápez Cartagena,F,B,SNR,57,Raw,1996,56.97,,,,,47.5,-50.0,50.0,50.0,,,,,50.0
1,Zoraida Bermudez Doce,F,B,SNR,63,Raw,1983,61.28,,,,,80.0,83.5,85.0,85.0,,,,,85.0
1,Maria Mercedes Mejias Tenes,F,B,SNR,72,Raw,1969,70.84,,,,,55.0,57.5,60.0,60.0,,,,,60.0
1,Diego Barrio Perez,M,B,SNR,66,Raw,1999,65.36,,,,,127.5,-135.0,135.0,135.0,,,,,135.0
1,Adria Virgili Torres,M,B,SNR,74,Raw,1994,73.93,,,,,147.5,157.5,162.5,162.5,,,,,162.5
2,Angel Gonzalez Mariño,M,B,SNR,74,Raw,1995,71.16,,,,,152.5,160.0,-166.5,160.0,,,,,160.0
3,Pedro Caballero Marquez,M,B,SNR,74,Raw,1996,72.73,,,,,122.5,130.0,-135.0,130.0,,,,,130.0
4,Alejandro Duran Estrada,M,B,SNR,74,Raw,1985,72.46,,,,,-122.5,127.5,-135.0,127.5,,,,,127.5
5,Isaac Melendres Ferres,M,B,SNR,74,Raw,1988,72.53,,,,,112.5,120.0,127.5,127.5,,,,,127.5
1,Juan Plazas Porqueras,M,B,SNR,83,Raw,1980,79.18,,,,,130.0,140.0,-147.5,140.0,,,,,140.0
2,Felipe Hernandez de Palma,M,B,SNR,83,Raw,1953,79.02,,,,,122.5,130.0,135.0,135.0,,,,,135.0
3,Jesús Ruíz Ortiz,M,B,SNR,83,Raw,1972,81.87,,,,,125.0,130.0,-137.5,130.0,,,,,130.0
4,Joaquin Abellan Mulero,M,B,SNR,83,Raw,1966,81.64,,,,,125.0,-130.0,-130.0,125.0,,,,,125.0
1,Guillermo González López,M,B,SNR,93,Raw,1990,87.95,,,,,165.0,175.0,-180.0,175.0,,,,,175.0
2,Adrian Martinez Marcelino,M,B,SNR,93,Raw,1983,85.97,,,,,140.0,147.5,-152.5,147.5,,,,,147.5
3,Jorge Martinez Alonso,M,B,SNR,93,Raw,1977,90.17,,,,,110.0,115.0,120.0,120.0,,,,,120.0
1,Vicente Encinas,M,B,SNR,120,Raw,1964,118.09,,,,,-175.0,175.0,-182.5,175.0,,,,,175.0
2,Cristian Mompel Moreno,M,B,SNR,120,Raw,1991,105.05,,,,,150.0,160.0,165.0,165.0,,,,,165.0
1,Francisco Rodríguez Gutiérrez,M,B,SNR,66,Single-ply,1969,65.34,,,,,-130.0,130.0,-135.0,130.0,,,,,130.0
DQ,Borislav Veselinov Boev,M,B,SNR,93,Single-ply,1981,85.92,,,,,-170.0,,,-170.0,,,,,
