Event,Sex,Equipment,Name,BodyweightLBS,WeightClassLBS,Best3SquatLBS,Best3BenchLBS,Best3DeadliftLBS,Deadlift4LBS,TotalLBS,,Tested,Division,Place
SBD,F,Wraps,Carli Lufkin,163.2,165,170.9,99.2,181.9,,452,,Yes,13-15,1
SBD,F,Wraps,Mariah Heflin,117.4,123,165.3,110.2,198.4,,473.9,,Yes,16-17,1
SBD,F,Wraps,Melissa Romero,122.6,123,209.4,71.6,275.6,,556.6,,Yes,Open,1
SBD,F,Wraps,Mollie Filipe,158.2,165,203.9,126.8,286.6,,617.3,,Yes,Open,1
SBD,F,Wraps,Sarah Ross,180.8,181,325.2,159.8,385.8,,870.8,,,Open,1
SBD,F,Wraps,Erin Stanton,251,198+,402.3,170.9,411.2,429.9,984.4,,Yes,Open,1
SBD,F,Single-ply,Alisha Howard,171.6,181,275.6,,374.8,,,,,Submaster,DQ
SBD,M,Multi-ply,Dave Emeott,198,198,,374.8,545.6,,,,Yes,40-44,DQ
SBD,M,Multi-ply,John Hare,197.6,198,672.4,474,600.8,,1747.2,,Yes,50-54,1
SBD,M,Wraps,Alex Valls,178.2,181,286.6,181.9,418.9,,887.4,,Yes,13-15,1
SBD,M,Wraps,Nick Hernandez,194.8,198,451.9,231.5,556.7,,1240.1,,,18-19,1
SBD,M,Wraps,Mitch Price,204.2,220,451.9,308.6,457.5,,1218,,Yes,18-19,1
SBD,M,Wraps,Kevin Wells,273.2,275,540.1,314.2,474,,1328.3,,Yes,40-44,1
SBD,M,Wraps,Frank Lambert,181,181,165.3,143.3,270.1,,578.7,,Yes,60-64,1
SBD,M,Wraps,Vincent Suetos,198,198,451.9,259,407.9,,1118.8,,Yes,60-64,1
SBD,M,Wraps,Ethan Coffeen,178.2,181,330.7,,,,,,Yes,Junior,DQ
SBD,M,Wraps,Philip Gianopoulos,179.4,181,429.9,292.1,501.5,,1223.5,,Yes,Junior,1
SBD,M,Wraps,Derek Dominquez,269.8,275,402.3,237,485,,1124.3,,,Junior,1
SBD,M,Wraps,Jordan Webb,163.2,165,281.1,187.4,336.2,,804.7,,,Submaster,1
SBD,M,Wraps,Tim Mercer,197,198,451.9,308.6,512.6,,1273.1,,Yes,Submaster,1
SBD,M,Wraps,Eric Moore,146.6,148,286.6,226,380.3,,892.9,,,Open,1
SBD,M,Wraps,Greg Shulman,180.4,181,529.1,352.7,457.5,,1339.3,,,Open,1
SBD,M,Wraps,Sheldon Kreger,177.8,181,281.1,159.8,330.7,,771.6,,Yes,Open,2
SBD,M,Wraps,Philip Gianopoulos,179.4,181,429.9,292.1,501.5,,1223.5,,Yes,Open,1
SBD,M,Wraps,Paul Riggs,215.6,220,314.2,275.6,424.4,,1014.2,,Yes,Open,1
SBD,M,Wraps,Jeron Kerridge,224,242,440.9,303.1,518.1,,1262.1,,,Open,1
SBD,M,Wraps,Kevin Wells,273.2,275,540.1,314.2,474,,1328.3,,Yes,Open,1
SBD,M,Wraps,Jeffrey Pearson,307.8,308,804.7,429.9,711,,1945.6,,Yes,Open,1
B,M,Raw,Steve Wambach,234.2,242,,451.9,,,451.9,,,50-54,1
B,M,Raw,Chris Henry,274.8,275,,413.4,,,413.4,,Yes,Submaster,1
B,M,Raw,Bruce Rodabaugh,196.4,198,,341.7,,,341.7,,,Junior,1
