Name,WeightClassKg,BodyweightKg,Age,State,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Sex,Event,Division,Equipment,Place
Phillip White,67.5,66.32,24,FL,157.49,110,175,442.48,M,SBD,Open,Wraps,1
Aaron Paille,75,73.98,24,FL,154.99,114.99,210.01,479.99,M,SBD,Open,Wraps,2
Ronald Tarvin,75,74.25,26,AL,237.5,165.02,277.46,679.98,M,SBD,Open,Wraps,1
Markus Baldwin,82.5,78.56,24,AL,212.51,159.98,247.48,619.97,M,SBD,Open,Wraps,2
Hayden Bowe,82.5,82.28,23,FL,237.5,162.48,249.97,649.95,M,SBD,Open,Wraps,1
Tommy Casey,82.5,81.01,32,AL,182.57,110,207.52,500.09,M,SBD,Open,Wraps,4
Hunter Witaker,82.5,79.92,20,AL,199.99,120.02,217.5,537.51,M,SBD,Open,Wraps,3
Matt Gonzalez,90,89.58,29,GA,287.49,229.97,300.01,817.46,M,SBD,Open,Wraps,1
Zachary McDaniel,90,89.22,23,FL,240,145.01,,,M,SBD,Open,Wraps,DQ
Anthony Robinson,90,88.45,30,FL,175,190.01,227.48,592.48,M,SBD,Open,Wraps,2
Dustin Lillie,100,98.93,28,FL,244.99,157.49,279.96,682.43,M,SBD,Open,Wraps,3
Joe Patterson,100,95.39,23,AL,274.97,175,257.5,707.47,M,SBD,Open,Wraps,2
Clint Smith,100,98.11,28,SC,244.99,152.5,249.97,647.46,M,SBD,Open,Wraps,4
Dustin Smith,100,95.07,33,AL,267.48,192.5,272.47,732.42,M,SBD,Open,Wraps,1
Cody Dabdey,110,105.46,30,FL,249.97,147.51,272.47,669.96,M,SBD,Open,Wraps,1
Antonio Grogan,110,102.47,26,AL,,,,,M,SBD,Open,Wraps,DQ
Kirby White,125,110.86,37,AL,307.49,244.99,320.01,872.48,M,SBD,Open,Wraps,1
William Andrews,140,132.49,45,FL,264.99,190.01,,,M,SBD,Open,Wraps,DQ
Nick Chaprales,140,138.44,29,MA,342.51,224.98,362.51,930,M,SBD,Open,Wraps,1
Brad Crawford,140,135.17,34,MS,327.49,202.48,372.49,902.47,M,SBD,Open,Wraps,2
Johnathan Newby,140,137.3,35,FL,287.49,217.5,282.5,787.48,M,SBD,Open,Wraps,3
Otis Johnson,125,111.22,50,FL,,,,,M,SBD,Masters 50-54,Wraps,DQ
Rocky Wright,110,104.6,40,FL,,,,,M,SBD,Masters 40-44,Wraps,DQ
