Name,Age,Division,BodyweightLBS,WeightClassLBS,Squat1LBS,Squat2LBS,Squat3LBS,Best3SquatLBS,Bench1LBS,Bench2LBS,Bench3LBS,Best3BenchLBS,Deadlift1LBS,Deadlift2LBS,Deadlift3LBS,Best3DeadliftLBS,TotalLBS,Sex,Event,Equipment,Place
Tierney Korotkin,53,Womens Master II.,138,148,,,,,130,-140,-140,130,,,,,130,M,B,Raw,1
Jo Anne Siskidis,25,Womens Open,129.25,132,,,,,,,,,275,305,-320,305,305,M,D,Raw,1
Scott Birss,20,Mens Junior,142.25,148,280,300,315,315,165,180,-185,180,310,330,355,355,850,M,SBD,Wraps,1
Victor Awad,21,Mens Junior,144,148,185,205,225,225,195,210,225,225,315,350,360,360,810,M,SBD,Wraps,2
Marcos Cruz,23,Mens Junior,161.5,165,-400,-400,400,400,190,210,225,225,400,430,450,450,1075,M,SBD,Wraps,1
Anthony Perez,20,Mens Junior,176.75,181,305,340,350,350,235,270,-280,270,335,375,400,400,1020,M,SBD,Wraps,1
Nuey Thepyasuwan,41,Mens Master 1,156.5,165,305,-325,-325,305,215,-220,,215,375,-390,,375,895,M,SBD,Wraps,1
Kevin Canant,42,Mens Master 1,205.75,220,425,475,515,515,385,405,415,415,520,560,580,580,1510,M,SBD,Wraps,1
Noel Lee,40,Mens Master 1,217.75,220,335,370,400,400,175,195,205,205,405,445,475,475,1080,M,SBD,Wraps,2
Michael Placeres,58,Mens Master II.,196.2,198,315,335,-355,335,195,-205,205,205,400,420,-440,420,960,M,SBD,Wraps,1
David Turner,58,Mens Master II.,194.5,198,275,295,315,315,210,220,240,240,345,370,400,400,955,M,SBD,Wraps,2
Frank Roa,58,Mens Master III.,177,181,315,345,370,370,265,285,300,300,355,395,405,405,1075,M,SBD,Wraps,1
Jeff Grenzke,66,Mens Master III.,179.25,181,215,230,240,240,205,215,-220,215,,,,,,M,SBD,Wraps,2
Kevin Canant,42,Mens Military,205.75,220,425,475,515,515,385,405,415,415,520,560,580,580,1510,M,SBD,Wraps,1
Mark Henderson II,26,Mens Open,131.5,132,285,-295,-315,285,275,285,300,300,385,-400,400,400,985,M,SBD,Wraps,1
Louie Tabinas,28,Mens Open,145.75,148,385,405,420,420,235,250,260,260,415,445,460,460,1140,M,SBD,Wraps,1
Vincent Bardini,27,Mens Open,145.75,148,365,395,415,415,175,205,-225,205,385,420,-435,420,1040,M,SBD,Wraps,2
Lenin Del Castillo,27,Mens Open,138.75,148,295,335,350,350,205,225,-235,225,405,435,455,455,1030,M,SBD,Wraps,3
Scott Birss,20,Mens Open,142.25,148,280,300,315,315,165,180,-185,180,310,330,355,355,850,M,SBD,Wraps,4
Rivpreet Arora,20,Mens Open,162.25,165,385,405,415,415,205,230,-240,230,-400,415,435,435,1080,M,SBD,Wraps,1
Fidel Zeigler,25,Mens Open,176.2,181,385,410,425,425,255,275,-295,275,485,510,525,525,1225,M,SBD,Wraps,1
Daniel Castle,25,Mens Open,180.5,181,420,-440,-440,420,280,295,-315,295,440,450,460,460,1175,M,SBD,Wraps,2
Jared Brown #1,25,Mens Open,178.25,181,375,395,-405,395,255,270,-280,270,435,-455,,435,1100,M,SBD,Wraps,3
Jeff Grenzke,66,Mens Open,179.25,181,215,230,240,240,205,215,-220,215,,,,,,M,SBD,Wraps,4
Justin Ramirez,24,Mens Open,196.75,198,415,455,-480,455,235,260,-280,260,525,565,585,585,1300,M,SBD,Wraps,1
Ryan Soper,25,Mens Open,197.5,198,405,440,-470,440,285,315,-330,315,485,515,525,525,1280,M,SBD,Wraps,2
Christopher Goncalves,34,Mens Open,185.75,198,290,310,330,330,190,210,-225,210,350,380,405,405,945,M,SBD,Wraps,3
Sonder Raymondo,30,Mens Open,217.25,220,400,475,510,510,300,315,340,340,500,555,575,575,1425,M,SBD,Wraps,1
Danny Troye-Rivera,25,Mens Open,215.25,220,410,430,450,450,300,-315,315,315,500,530,550,550,1315,M,SBD,Wraps,2
Jason Austin,26,Mens Open,216.5,220,405,415,-425,415,315,335,-370,335,505,535,560,560,1310,M,SBD,Wraps,3
Adam Morris,30,Mens Open,218,220,280,300,310,310,175,190,-210,190,330,355,375,375,875,M,SBD,Wraps,4
D'Artagnan Byrd,26,Mens Open,235.75,242,405,415,-440,415,300,-315,-315,300,455,475,500,500,1215,M,SBD,Wraps,1
Josh Spaeth,33,Mens Open,262,275,700,735,760,760,405,435,460,460,600,650,680,680,1900,M,SBD,Wraps,1
Matt Brown,24,Mens Open,253,275,455,500,,500,365,385,,385,650,700,,700,1585,M,SBD,Wraps,2
Rob Hager,25,Mens Open,312,341.5,550,585,605,605,320,335,355,355,520,550,570,570,1530,M,SBD,Wraps,1
Christopher Goncalves,34,Mens Submaster,185.75,198,290,310,330,330,190,210,-225,210,350,380,405,405,945,M,SBD,Wraps,1
Jason Mica,19,Mens Teen,179,181,455,495,510,510,255,285,-300,285,455,495,510,510,1305,M,SBD,Wraps,1
Jackson Robison,18,Mens Teen,240.5,242,385,400,425,425,215,225,235,235,470,-485,500,500,1160,M,SBD,Wraps,1
James Fernandez,49,Mens Master 1,140.25,148,,,,,225,270,275,275,,,,,275,M,B,Raw,1
Joel Korotkin,53,Mens Master II.,191.25,198,,,,,255,265,270,270,,,,,270,M,B,Raw,1
Hasan Cheema,27,Mens Open,175.7,181,,,,,305,320,330,330,-665,665,-680,665,995,M,BD,Raw,1
Ryan Nordby,37,Mens Open,224.5,242,,,,,325,-355,-355,325,,,,,325,M,B,Raw,1
Danny NGO,19,Mens Teen,218,220,,,,,315,335,-345,335,545,585,600,600,935,M,BD,Raw,1
Taylor Eubanks,21,Womens Junior,121.75,123,210,220,225,225,-120,-120,-120,,,,,,,F,SBD,Wraps,1
Emily Raney,23,Womens Junior,145,148,205,215,-225,215,115,120,-125,120,305,325,340,340,675,F,SBD,Wraps,1
Stephanie Culton,35,Womens Junior,148,148,175,195,205,205,110,-120,-120,110,275,295,305,305,620,F,SBD,Wraps,2
Susie Christian,38,Womens Junior,144,148,125,135,145,145,90,100,105,105,180,190,205,205,455,F,SBD,Wraps,3
Esmeralda Sandoval,23,Womens Junior,152.75,165,175,195,210,210,105,115,120,120,240,260,280,280,610,F,SBD,Wraps,1
Hailey Chamberlin,20,Womens Junior,160.5,165,190,200,215,215,100,110,-120,110,210,220,230,230,555,F,SBD,Wraps,2
Kenzie Rossi,23,Womens Junior,157.5,165,165,175,185,185,105,115,-125,115,190,205,-210,205,505,F,SBD,Wraps,3
Michelle Almazan,40,Womens Master I.,146.25,148,225,245,260,260,115,130,-140,130,315,335,-350,335,725,F,SBD,Wraps,1
Trisha DeCaillet,40,Womens Master I.,185.25,198,185,205,-215,205,120,130,135,135,260,285,-300,285,625,F,SBD,Wraps,1
Lisa Stauber,51,Womens Master II.,142.5,148,110,120,125,125,70,75,80,80,165,175,180,180,385,F,SBD,Wraps,1
Pauline Machado,51,Womens Master II.,170.2,181,135,145,155,155,110,115,-120,115,195,205,215,215,485,F,SBD,Wraps,1
Barbara Thorsen,52,Womens Master II.,274,SHW,155,165,175,175,95,105,110,110,205,225,240,240,525,F,SBD,Wraps,1
Donna Merritt,60,Womens Master III.,131,132,205,215,220,220,105,-115,-115,105,215,225,235,235,560,F,SBD,Wraps,1
Wendy Cromwell,62,Womens Master III.,176.2,181,100,110,120,120,60,65,-70,65,155,165,175,175,360,F,SBD,Wraps,1
Daryl Konsevick,25,Womens Open,113,114,220,235,250,250,140,145,150,150,315,330,350,350,750,F,SBD,Wraps,1
Martine Corlett,33,Womens Open,112.5,114,125,135,145,145,80,90,95,95,215,225,235,235,475,F,SBD,Wraps,2
Michelle Zamora,28,Womens Open,121,123,220,230,-245,230,110,120,-125,120,270,290,-300,290,640,F,SBD,Wraps,1
Lorena Gomez,23,Womens Open,122,123,185,-200,200,200,90,100,-105,100,235,255,270,270,570,F,SBD,Wraps,2
Esther Urteaga,28,Womens Open,130,132,170,190,-210,190,105,115,120,120,275,295,-310,295,605,F,SBD,Wraps,1
Sandi Imai,35,Womens Open,139.25,148,255,285,290,290,115,130,140,140,315,345,365,365,795,F,SBD,Wraps,1
Emily Raney,23,Womens Open,145,148,205,215,-225,215,115,120,-125,120,305,325,340,340,675,F,SBD,Wraps,2
Kristen Loyd,32,Womens Open,156.5,165,210,230,255,255,155,160,-170,160,305,330,340,340,755,F,SBD,Wraps,1
Brittainy Chown,24,Womens Open,158,165,225,265,-280,265,110,125,-135,125,275,310,320,320,710,F,SBD,Wraps,2
Patricia Morgan,25,Womens Open,158,165,190,200,220,220,120,135,-145,135,280,300,310,310,665,F,SBD,Wraps,3
Esmeralda Sandoval,23,Womens Open,152.75,165,175,195,210,210,105,115,120,120,240,260,280,280,610,F,SBD,Wraps,4
Lena Geide,29,Womens Open,157,165,135,145,155,155,90,95,100,100,180,190,200,200,455,F,SBD,Wraps,5
Kathryn Martin,38,Womens Open,172.75,181,115,125,135,135,95,110,115,115,165,200,215,215,465,F,SBD,Wraps,1
Lusialeilani Kuka,19,Womens Teen,170.25,181,190,210,230,230,140,150,160,160,240,260,280,280,670,F,SBD,Wraps,2
