1/24/2015 APA PEACH STATE OPEN,,,,,,,,,,,,,,
Name/Homestate,Age,Division,Bwt,Class, Squat  1, Squat  2, Squat  3,Bench 1,Bench 2,Bench 3,Deadlift 1,Deadlift 2,Deadlift 3,PL Total
Tracy Dent (GA),42,Female Master Raw,167.6,181,225,245,-260,125,-135,135,245,265,275,655
Latema Harrell (AL),22,Female Open Raw,138.2,148,200,215,230,125,140,155,275,310,325,710
Tracy Dent (GA),42,Female Open Raw,167.6,181,225,245,-260,125,-135,135,245,265,275,655
Steve Waters (GA),53,Master 2 Non Tested Raw,235.2,242,500,550,585,400,430,445,550,585,-605,1615
Alexander Mixon (AL),23,Junior Non Tested Raw,172.8,181,315,335,-365,-225,-235,-235,,,,0
Michael Flynn (GA),22,Junior Non Tested Raw,191.4,198,410,435,-450,275,290,300,450,465,480,1215
Boone Strickland (FL),25,Open Raw,213.4,220,355,375,390,295,310,320,450,475,490,1200
John Cater (GA),25,Open Raw,237,242,405,460,505,275,315,340,485,520,555,1400
Push & Pull,,,,,,,,,,,,,,
Sydney Bennett (GA),16,Female Teenage Raw,160.8,165,,,,95,115,135,300,315,-320,450
Donavan Green (AL),21,Junior Raw,157.2,165,,,,-225,275,-315,365,410,450,725
Donavan Green (AL),21,Open Raw,157.2,165,,,,-225,275,-315,365,410,450,725
Bench Press Only,,,,,,,,,,,,,,
Steve Waters (GA),53,Master 1 Non Tested Raw,235.2,242,,,,400,430,445,,,,
Deadlift Only,,,,,,,,,,,,,,
Chase Everetts,14,Female Teenage Raw,117.4,123,,,,,,,150,165,175,
Shaun Smith (GA),46,Master 1 Raw,222.2,242,,,,,,,450,550,585,
John Rowland (GA),9,Youth Raw,75.8,114,,,,,,,115,-125,125,
