Name,State,Age,Division,BodyweightLBS,WeightClassLBS,Squat1LBS,Squat2LBS,Squat3LBS,Squat4LBS,Best3SquatLBS,Bench1LBS,Bench2LBS,Bench3LBS,Bench4LBS,Best3BenchLBS,Deadlift1LBS,Deadlift2LBS,Deadlift3LBS,Deadlift4LBS,Best3DeadliftLBS,TotalLBS,Place,Equipment,Event,Sex,Tested
Nancy Lowther,MO,57,Master (50-59),189.2,198,195,215,235,245,235,125,135,145,155,145,210,240,260,-265,260,640,1,Wraps,SBD,F,No
Nancy Lowther,MO,57,Open,189.2,198,195,215,235,,235,125,135,145,,145,210,240,260,,260,640,1,Wraps,SBD,F,No
Nancy Rainey,MO,48,Master (40-49),241,,225,245,255,,255,130,145,-155,,145,310,330,345,-355,345,745,1,Wraps,SBD,F,No
Beverly Mann,MO,51,Master (50-59),153.8,165,155,175,185,,185,85,95,-100,,95,205,220,235,,235,515,1,Wraps,SBD,F,Yes
Carol Moorhead,MO,53,Master (50-59),178,181,165,175,185,,185,75,85,-95,,85,185,200,220,,220,490,1,Wraps,SBD,F,Yes
Amy Lee,MO,42,Master (40-49),242.2,,255,-270,-270,,255,125,145,-155,,145,270,325,-345,,325,725,1,Wraps,SBD,F,Yes
Lillie Danzer,MO,38,Submaster (33-39),164.6,165,300,315,325,,325,170,185,-195,,185,375,390,405,,405,915,1,Wraps,SBD,F,Yes
Allison James,MO,35,Submaster (33-39),170.4,181,220,230,-245,,230,125,135,145,-150,145,255,270,280,285,280,655,1,Wraps,SBD,F,Yes
Robyn Messerly,MO,29,Open,112.2,114,170,180,190,,190,80,85,95,,95,225,235,250,,250,535,1,Wraps,SBD,F,Yes
Grace Bramman,MO,26,Open,143.6,148,215,225,230,235,230,105,120,130,,130,205,230,255,,255,615,1,Wraps,SBD,F,Yes
Lillie Danzer,MO,38,Open,164.6,165,300,315,325,,325,170,185,-195,,185,375,390,405,410,405,915,1,Wraps,SBD,F,Yes
Erica Norton,MO,25,Open,163,165,195,225,240,,240,95,115,-125,,115,300,325,345,,345,700,2,Wraps,SBD,F,Yes
Jennifer Pautz,MO,27,Open,159.8,165,215,225,240,,240,115,125,-130,,125,230,245,260,,260,625,3,Wraps,SBD,F,Yes
Catherine Domer ,IL,32,Open,161.6,165,125,145,150,,150,80,90,100,,100,175,200,210,,210,460,4,Wraps,SBD,F,Yes
Allison James,MO,35,Open,170.4,181,220,230,-245,,230,125,135,145,,145,255,270,280,,280,655,1,Wraps,SBD,F,Yes
Carol Moorhead,MO,53,Open,178,181,165,175,185,190,185,75,85,-95,,85,185,200,220,-240,220,490,2,Wraps,SBD,F,Yes
Emily Wright,MO,29,Open,219.6,220,285,295,305,,305,150,160,170,,170,285,305,330,-335,330,805,1,Wraps,SBD,F,Yes
Mary Tobin,MO,30,Open,236,,-175,175,200,,200,170,185,195,,195,315,335,345,,345,740,1,Wraps,SBD,F,Yes
Robert Feldman ,NY,60,Master (60-69),164,165,270,285,300,,300,210,225,240,,240,365,390,405,,405,945,1,Wraps,SBD,M,No
Andrew Herstam ,AZ,20,Junior (20-23),175,181,405,440,465,,465,300,315,325,,325,485,510,545,,545,1335,1,Wraps,SBD,M,No
Dan Cannon,MO,22,Junior (20-23),172,181,340,-365,375,,375,215,225,-240,,225,365,390,410,,410,1010,2,Wraps,SBD,M,No
Anthony Pupillo,MO,29,Open,180,181,455,470,500,,500,285,300,-325,,300,500,525,540,,540,1340,1,Wraps,SBD,M,No
Jacob Horn ,IL,32,Open,236.4,242,450,475,500,,500,330,350,370,,370,550,575,600,,600,1470,1,Wraps,SBD,M,No
Layton Maskey,MO,12,Youth ,110,114,-85,85,125,,125,75,95,-105,,95,135,165,185,,185,405,1,Wraps,SBD,M,Yes
