NAME,AGE,STATE,BodyweightLBS,Equipment,Division,WeightClassLBS,Best3SquatLBS,Best3BenchLBS,Best3DeadliftLBS,TotalLBS,Place,Event,,,,,,,,,,,
Ron Squires,53,FL,236,Wraps,Master (50-54),242,145,135,555,835,1,SBD,,,,,,,,,,,
Malcom Small,43,FL,291,Wraps,Master (40-44),308,145,135,135,415,1,SBD,,,,,,,,,,,
Mathew Malabanan,27,FL,179,Wraps,Open,181,,265,405,670,1,BD,,,,,,,,,,,
Erick Rodriguez,33,FL,197,Wraps,Open,198,,375,525,900,1,BD,,,,,,,,,,,
JC Perez,39,FL,220,Wraps,Open,220,,275,390,665,1,BD,,,,,,,,,,,
Ian Veliz,16,FL,114,Wraps,Teenage (16-17),114,,135,290,425,1,BD,,,,,,,,,,,
James Berndt,22,FL,163,Wraps,Junior (20-23),165,,275,495,770,1,BD,,,,,,,,,,,
Jonathan Newsome,21,FL,162,Wraps,Junior (20-23),165,,275,480,755,2,BD,,,,,,,,,,,
Erick Rodriguez,33,FL,197,Wraps,Submaster (33-39),198,,375,525,900,1,BD,,,,,,,,,,,
Malcolm Small,43,FL,291,Wraps,Master (40-44),308,,135,135,270,1,BD,,,,,,,,,,,
George Boldissar,58,FL,242,Wraps,Master (55-59),242,,405,495,900,1,BD,,,,,,,,,,,
Al Fontaine,56,FL,163,Wraps,Master (55-59),165,,240,370,610,2,BD,,,,,,,,,,,
Ron Squires,53,FL,242,Wraps,Master (50-54),242,,135,555,690,3,BD,,,,,,,,,,,
Brian Hart,59,FL,198,Wraps,Master (55-59),198,,365,,365,1,B,,,,,,,,,,,
Gary Goins,57,FL,132,Wraps,Master (55-59),132,,215,,215,2,B,,,,,,,,,,,
Al Fontaine,56,FL,163,Wraps,Master (55-59),165,,240,,240,3,B,,,,,,,,,,,
Al Fontaine,56,FL,163,Wraps,Master (55-59),165,,,370,370,1,D,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
