Name,BodyweightLBS,WeightClassLBS,Best3SquatLBS,Squat4LBS,Best3BenchLBS,Bench4LBS,Best3DeadliftLBS,Deadlift4LBS,TotalLBS,Division,Place,Sex,Event,Tested,,,
Judith Willis,106.2,114,176.4,,93.7,,253.5,,523.6,Open,1,F,SBD,Yes,,,
Jessica Gale,120.8,123,181.9,,154.3,,242.5,,578.7,Open,1,F,SBD,Yes,,,
Genyssa McCauley,116.6,123,209.4,,137.8,,237,,584.2,Junior (20-23),1,F,SBD,Yes,,,
Persida Mayyer,132,132,264.6,,154.3,,314.2,,733,Teenage (18-19),1,F,SBD,Yes,,,
Jennifer Hathaway,128.8,132,181.9,,104.7,,264.6,,551.2,Open,2,F,SBD,Yes,,,
Marya Tracer,129.2,132,253.5,-270.1,159.8,-165.3,352.7,,766.1,Open,1,F,SBD,Yes,,,
Amanda Lucier,145.2,148,181.9,,99.2,,248,,529.1,Submaster (33-39),1,F,SBD,Yes,,,
Gretchen Vietmeier,148,148,270.1,,137.8,,303.1,,711,Open,2,F,SBD,Yes,,,
Shawna Salmonson,147,148,253.5,,170.9,-181.9,358.3,,782.6,Open,1,F,SBD,Yes,,,
Cindy Shockman,160.8,165,308.6,,248,253.5,402.3,,959,Master (45-49),1,F,SBD,No,,,
Kennedy Courtney,165,165,242.5,,165.3,,314.2,,722,Junior (20-23),1,F,SBD,Yes,,,
Zorahgail Balino,161.2,165,303.1,,176.4,,363.8,,843.3,Submaster (33-39),1,F,SBD,Yes,,,
Cindy Shockman,160.8,165,308.6,,248,253.5,402.3,,959,Open,1,F,SBD,No,,,
"Cheryl ""Charlie"" Ritchie",175.6,181,226,,165.3,,303.1,,694.5,Master (40-44),1,F,SBD,Yes,,,
Amy Vandenburgh,178,181,281.1,,132.3,,330.7,,744.1,Open,1,F,SBD,Yes,,,
Kirsten Shockman,194.2,198,352.7,,165.3,,380.3,,898.4,Junior (20-23),1,F,SBD,Yes,,,
Elaine May,214.6,SHW,181.9,,126.8,,275.6,,584.2,Master (50-54),2,F,SBD,Yes,,,
Sheri Mura,234.2,SHW,253.5,,121.3,,303.1,,677.9,Master (50-54),1,F,SBD,Yes,,,
Cheryl Shriver,178.8,181,,,66.1,,170.9,,,Master (60-64),,F,BD,Yes,,,
Jakob Bunnell,161.4,165,347.2,,192.9,,429.9,,970,Teenage (18-19),1,M,SBD,Yes,,,
John Sawyer,162.4,165,264.6,,187.4,,330.7,,782.6,Master (45-49),1,M,SBD,No,,,
Jordan Johnson,140.8,148,259,,176.4,,330.7,,766.1,Teenage (16-17),1,M,SBD,Yes,,,
Skyler Yoshino,158.4,165,270.1,,165.3,,319.7,,755.1,Teenage (13-15),1,M,SBD,Yes,,,
Anthony Stratton,180,181,352.7,,303.1,,402.3,,1058.2,Open,1,M,SBD,No,,,
Austin Kittelson,178.4,181,303.1,,187.4,,347.2,,837.8,Open,3,M,SBD,Yes,,,
John Myers,173.8,181,358.3,,248,,435.4,,1041.7,Open,2,M,SBD,Yes,,,
Cameron Martinot,176.6,181,358.3,,281.1,,474,,1113.3,Open,1,M,SBD,Yes,,,
Jason Manahane,178,181,451.9,,286.6,,451.9,,1190.5,Junior (20-23),1,M,SBD,Yes,,,
Adam Blechman,190.4,198,380.3,,259,,479.5,,1118.8,Open,3,M,SBD,Yes,,,
Conor Ames,197,198,518.1,,336.2,,573.2,,1427.5,Open,2,M,SBD,Yes,,,
Jacob McBride,193.8,198,363.8,,270.1,,468.5,,1102.3,Open,1,M,SBD,Yes,,,
Teddy Callow,190.8,198,512.6,,336.2,,529.1,,1377.9,Junior (20-23),1,M,SBD,Yes,,,
Michael Frederick,216,220,578.7,,385.8,,633.8,,1598.3,Teenage (18-19),1,M,SBD,Yes,,,
Justin Archibald,217.2,220,501.6,,374.8,,545.6,,1422,Junior (20-23),1,M,SBD,Yes,,,
Lane Shockman,207.4,220,440.9,,303.1,,468.5,,1212.5,Open,4,M,SBD,Yes,,,
Bob McCabe,215,220,451.9,,259,,650.4,,1361.4,Open,3,M,SBD,Yes,,,
Ruben Monroe,219.4,220,451.9,,336.2,,589.7,,1377.9,Open,2,M,SBD,Yes,,,
Alex Maske,219.8,220,562.2,,319.7,,573.2,,1455,Open,1,M,SBD,Yes,,,
Chris Duffin,220.4,220,870.8,,435.4,,,,DQ,Open,,M,SBD,No,,,
Michael Bailey,225.4,242,358.3,,248,,391.3,,997.6,Teenage (16-17),1,M,SBD,Yes,,,
Shawn Stern,224,242,352.7,,231.5,,429.9,,1014.1,Open,2,M,SBD,Yes,,,
Dan Randall,226.8,242,424.4,,226,,501.6,,1151.9,Open,1,M,SBD,Yes,,,
Andrew Snider,270,275,501.6,,341.7,,534.6,,1377.9,Master (40-44),1,M,SBD,Yes,,,
John Hare,196,198,711,,479.5,,562.2,,1752.7,Master (50-54),1,M,SBD,Yes,,,
Frank Winbigler,191.4,198,,,363.8,,,,,Master (40-44),1,M,B,No,,,
Frank Winbigler,191.4,198,,,165,,,,,Open,1,M,B,No,,,
Paul Hailey,180,181,,,,,281.1,286.6,,Master (75+),1,M,BD,Yes,,,
Tyler Stephens,197,198,,,,,463,,,Open,1,M,BD,No,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
