Name,Age,Tested,Division,BodyWeightLBS,WeightClassLBS,Squat1LBS,Squat2LBS,Squat3LBS,Squat4LBS,Best3SquatLBS,Bench1LBS,Bench2LBS,Bench3LBS,Bench4LBS,Best3BenchLBS,Deadlift1LBS,Deadlift2LBS,Deadlift3LBS,Deadlift4LBS,Best3DeadiftLBS,TotalLBS,Place,Event,Sex,Equipment,State,,,,,,,,,,
Lalane Burhenn,43,Yes,Masters 40-49,136.8,148,215,235,245,,245,-115,120,-130,,120,245,255,-270,,255,620,1,SBD,F,Wraps,IN,,,,,,,,,,
Gina Fuga,22,Yes,Juniors 20-23,165,165,-200,200,-215,,200,95,110,-120,,110,225,245,275,,275,585,1,SBD,F,Wraps,MI,,,,,,,,,,
Blair Tiseo,19,Yes,Teen 18-19,129.8,132,175,195,200,,200,95,105,-120,,105,185,195,-215,,195,500,1,SBD,F,Wraps,MI,,,,,,,,,,
Bree Purvis,15,Yes,Teen 13-15,137.4,148,85,95,105,,105,75,85,-90,,85,155,165,180,,180,370,1,SBD,F,Wraps,MI,,,,,,,,,,
Blair Tiseo,19,Yes,Open,129.8,132,175,195,200,,200,95,105,-120,,105,185,195,-215,,195,500,1,SBD,F,Wraps,MI,,,,,,,,,,
April Simon,38,Yes,Open,145.8,148,225,250,280,,280,165,185,-200,,185,285,315,340,,340,805,1,SBD,F,Wraps,MI,,,,,,,,,,
Lalane Burhenn,43,Yes,Open,136.8,148,215,235,245,,245,-115,120,-130,,120,245,255,-270,,255,620,2,SBD,F,Wraps,MI,,,,,,,,,,
Darci Molina,24,Yes,Open,159.8,165,300,315,335,,335,170,180,190,,190,345,355,-370,,355,880,1,SBD,F,Wraps,MI,,,,,,,,,,
Gina Fuga,22,Yes,Open,165,165,-200,200,-215,,200,95,110,-120,,110,225,245,275,-300,275,585,2,SBD,F,Wraps,MI,,,,,,,,,,
Tracy Draher,40,No,Open,180.2,181,315,335,355,,355,245,255,265,,265,415,430,455,,455,1075,1,SBD,F,Wraps,MI,,,,,,,,,,
Alexis Cartwright,32,Yes,Open,258.2,SHW,225,275,350,,350,185,200,-230,,200,225,275,-350,,275,825,1,SBD,F,Wraps,MI,,,,,,,,,,
Ray Voigt,24,No,Open,303.2,308,515,550,600,,600,515,-700,-700,,515,515,565,600,,600,1715,1,SBD,M,Multi,MI,,,,,,,,,,
Dylan Price,21,Yes,Open,164.9,165,440,470,500,-515,500,440,-470,-470,,440,525,560,600,-635,600,1540,1,SBD,M,Multi,MI,,,,,,,,,,
Dylan Price,21,No,Juniors 20-23,164.9,165,440,470,500,-515,500,440,-470,-470,,440,525,560,600,-635,600,1540,1,SBD,M,Multi,MI,,,,,,,,,,
Jesse Roder,34,Yes,Submasters 33-39,344,SHW,500,575,600,,600,315,350,-410,,350,500,565,600,,600,1550,1,SBD,M,Wraps,MI,,,,,,,,,,
Jacob Copland,20,Yes,Juniors 20-23,158.6,165,365,385,-405,,385,185,200,-210,,200,365,385,405,,405,990,1,SBD,M,Wraps,MI,,,,,,,,,,
Brady Butler,22,Yes,Juniors 20-23,219.8,220,415,-435,435,,435,285,305,-315,,305,425,465,-500,,465,1205,1,SBD,M,Wraps,MI,,,,,,,,,,
Jesse Roder,34,No,Open,344,SHW,500,575,600,,600,315,350,-410,,350,500,565,600,,600,1550,1,SBD,M,Wraps,MI,,,,,,,,,,
Derek Betts,26,Yes,Veterans,179.4,181,400,425,455,,455,290,310,-330,,310,500,525,540,-620,540,1305,1,SBD,M,Wraps,MI,,,,,,,,,,
Douglas Finley,70,Yes,Masters 70-79,217.8,220,235,255,270,,270,185,195,205,,205,240,275,,,275,750,1,SBD,M,Wraps,MI,,,,,,,,,,
David Skeel,40,Yes,Masters 40-49,185,198,315,335,355,,355,235,250,270,,270,375,390,415,,415,1040,1,SBD,M,Wraps,MI,,,,,,,,,,
John Hehrer,45,Yes,Masters 40-49,348,SHW,585,605,625,650,625,385,405,-415,,405,650,700,-730,,700,1730,1,SBD,M,Wraps,MI,,,,,,,,,,
