Name,Division,BodyweightLBS,WeightClassLBS,Age,Squat1LBS,Squat2LBS,Squat3LBS,Best3SquatLBS,Bench1LBS,Bench2LBS,Bench3LBS,Best3BenchLBS,Deadlift1LBS,Deadlift2LBS,Deadlift3LBS,Best3DeadliftLBS,TotalLBS,Event,Sex,Equipment
Mallory Mabus,Teen 16-17,123,123,17,260,290,315,315,105,115,125,125,260,275,290,290,730,SBD,F,Wraps
Madalyn Carter,Teen 16-17,224,198+,16,340,370,-420,370,135,155,170,170,315,335,365,365,905,SBD,F,Wraps
Chet White,Police/Fire,190.5,198,31,225,275,315,315,225,240,-260,240,275,315,335,335,890,SBD,M,Wraps
Ciara Harmon,Teen 13-15,114,114,15,260,290,-315,290,115,130,-135,130,260,275,290,290,710,SBD,F,Wraps
Eve Harmon,Masters 40-49,114,114,45,185,205,225,225,105,115,120,120,185,205,225,225,570,SBD,F,Wraps
Chris Pereira,Teen 18-19,198,198,19,445,475,-505,475,325,345,355,355,495,515,525,525,1355,SBD,M,Wraps
Jake Shelton,Open ,289.8,275+,21,,,,,345,370,-405,370,545,575,600,600,970,BD,M,Raw
Jake Shelton,Juniors 20-23,289.8,275+,21,,,,,345,370,-405,370,545,575,600,600,970,BD,M,Raw
Billy Nicholas,Submasters 33-39,217.2,220,39,,,,,350,370,-400,370,,,,,370,B,M,Raw
Dewayne Franks,Submasters 33-39,330,275+,39,,,,,555,-640,-640,555,,,,,555,B,M,Raw
Derrick Young,Open ,198,198,26,,,,,375,415,430,430,,,,,430,B,M,Raw
Joseph Faulkner,Junior,342,275+,23,,,,,300,-330,-330,300,,,,,300,B,M,Raw
