Name,Age,Division,BodyweightLBS,WeightClassLBS,Best3SquatLBS,Squat4LBS,Best3BenchLBS,Best3DeadliftLBS,Total,Event,Sex,Equipment
Karrissa Shropshire ,12,Youth,86.6,97,90,,55,120,265,SBD,F,Wraps
Gabriela Aguilera,12,Youth,127.8,132,135,,55,225,415,SBD,F,Wraps
Malarie Martinez,12,Youth,150.4,165,65,,55,135,255,SBD,F,Wraps
Patricia Guerra,30,Open,160.4,165,260,,155,320,735,SBD,F,Wraps
Yolanda Torres ,35,Open,157.6,165,185,,90,280,555,SBD,F,Wraps
Elizabeth Guerra,40,Master (40-49),269.6,SHW,280,,175,315,770,SBD,F,Wraps
Keiry Miller,18,Teenage (18-19),150.2,165,275,,155,305,735,SBD,F,Multi-ply
Itzayanni Martinez,17,Teenage (18-19),197.4,198,425,440,185,345,955,SBD,F,Multi-ply
Marcus Suarez,12,Youth,120,123,100,,55,165,320,SBD,M,Wraps
Caleb Anaya,12,Youth,137.6,148,150,,105,230,485,SBD,M,Wraps
Dylan Anaya,10,Youth (10-11),88.4,97,100,,0,115,280,SBD,M,Wraps
Blake Martinez ,10,Youth (10-11),174.6,181,95,,55,185,335,SBD,M,Wraps
Jason Traughber,37,Open,240.8,242,335,,295,430,1060,SBD,M,Wraps
Mauro Flores,63,Master (60-69),215.2,220,350,,280,475,1105,SBD,M,Wraps
Benigno Cepeda,39,Submaster (33-39),197.4,198,405,415,320,505,1230,SBD,M,Wraps
Jason Traughber,37,Submaster (33-39),240.8,242,335,,295,430,1060,SBD,M,Wraps
Jonathan Ojeda,21,Junior (20-23),208.2,220,405,,215,475,1095,SBD,M,Wraps
Robert Mejia,16,Teenage (16-17),194,198,370,,255,540,1165,SBD,M,Wraps
Joshua Rios ,13,Teenage (13-15),182,198,85,,,,DQ,SBD,M,Wraps
Ryan Castillo ,15,Teenage (13-15),113.8,114,155,,,,155,S,M,Wraps
David Torres ,15,Teenage (13-15),140.2,148,225,,,,225,S,M,Wraps
Israel Vasquez ,15,Teenage (13-15),145.2,148,225,,,,225,S,M,Wraps
Ethan Gonzalez ,15,Teenage (13-15),202,220,225,,,,225,S,M,Wraps
Ricardo Ayala,46,Master (40-49),211,220,600,,400,565,1565,BD,M,Multi-ply
Omar Solis,18,Teenage (18-19),145.2,148,400,,230,405,1035,BD,M,Multi-ply
Justin Berner,16,Teenage (16-17),132.2,132,390,,275,345,1010,BD,M,Multi-ply
Marcos Garza,17,Teenage (16-17),230,242,550,,475,0,DQ,BD,M,Multi-ply
Randy Abendroth,61,Master (60-69),274.6,275,525,,425,560,1510,BD,M,Multi-ply
Scott Lambaria,50,Master (50-59),270,275,,,450,,450,B,M,Multi-ply
June Aguilera ,25,Open,195.2,198,,,,320,320,D,F,Raw
Juan Aguilera,8,Youth (8-9),59,86,,,,105,105,D,M,Raw
Peter Wing,26,Open,215,220,,,,430,430,D,M,Raw
Nicholas Castillo ,14,Teenage (13-15),119,123,,,,260,260,D,M,Raw
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
