Name,Age,Division,BodyweightLBS,WeightClassLBS, Squat1LBS, Squat2LBS, Squat3LBS,Best3SquatLBS,Bench1LBS,Bench2LBS,Bench3LBS,Best3BenchLBS,Deadlift1LBS,Deadlift2LBS,Deadlift3LBS,Deadlift4LBS,Best3DeadliftLBS,Total,State,Event,Equipment,Sex
Stephanie Mattina,33,Open,101.8,105,185,195,200,200,105,115,125,125,205,220,230,240,230,555,MO,SBD,Wraps,F
Ashley Dickey,21,Open,131.6,132,-275,300,-325,300,115,130,-140,130,275,300,310,315,310,740,MO,SBD,Wraps,F
Breanna Weathers,22,Open,148.4,148,225,255,-275,255,90,100,110,110,200,220,240,,240,605,MO,SBD,Wraps,F
Alyssa Tonner,27,Open,163,165,175,185,195,195,95,105,-115,105,205,215,225,,225,525,MO,SBD,Wraps,F
Lyndsay Swafford,28,Open,172,181,225,235,250,250,145,-155,-155,145,300,330,-360,,330,725,MO,SBD,Wraps,F
Emily Smith,31,Open,197.6,198,185,205,-215,205,115,135,-140,135,225,250,275,,275,615,MO,SBD,Wraps,F
Anne Smoot,43,Master (40-44),142.8,148,155,170,180,180,80,90,-100,90,195,225,240,,240,510,MO,SBD,Wraps,F
Elliot Harris,8,Youth (8-10),72,86,65,75,85,85,35,45,55,55,100,110,120,,120,260,MO,SBD,Wraps,F
Mark Albenesius,30,Open,306.6,308,565,595,-625,595,385,415,-425,415,590,630,650,,650,1660,MO,SBD,Wraps,M
Bob Levy,70,Master (70-74),215,220,300,-320,320,320,245,255,-270,255,135,,,,135,710,MO,SBD,Wraps,M
Chris Smoot,44,Master (40-44),214.6,220,455,505,530,530,265,280,295,295,465,505,530,,530,1355,MO,SBD,Wraps,M
James Harris,38,Submaster (33-39),194,198,345,370,390,390,225,245,260,260,405,450,475,,475,1125,MO,SBD,Wraps,M
Bryce Wolf,18,Teenage (18-19),202.4,220,250,-275,300,300,185,225,250,250,350,410,430,,430,980,MO,SBD,Wraps,M
Brian Little,24,Open,229.2,242,,,,,-315,340,-380,340,,,,,,,MO,B,Raw,M
Talon Worden,7,Youth,76.2,86,,,,,,,,,100,120,-135,,120,,MO,D,Raw,M
