Name,BodyweightLBS,WeightClassLBS,Squat1LBS,Squat2LBS,Squat3LBS,Best3SquatLBS,Bench1LBS,Bench2LBS,Bench3LBS,Best3BenchLBS,Deadlift1LBS,Deadlift2LBS,Deadlift3LBS,Best3DeadliftLBS,TotalLBS,Age,Gender,Event,Equipment,Divison
"Adams, Caitlyn",114.4,114,200,-215,225,225,85,-100,-100,85,225,255,-275,255,565,22,F,SBD,Wraps,Open
"Randolph, Lisa",141,148,185,190,195,195,130,135,-140,135,250,260,-270,260,590,37,F,SBD,Wraps,Open
"Ayre, Charity",162.6,165,245,260,270,270,125,145,155,155,275,305,-320,305,730,31,F,SBD,Wraps,Open
"Gustavsen, Jackie",180.8,181,285,-310,-330,285,155,-165,-175,155,285,300,-315,300,740,33,F,SBD,Wraps,Open
"Erickson, Kathleen",172.4,181,345,-365,365,365,205,215,-225,215,365,385,-390,385,965,20,F,SBD,Wraps,Open
"Allers, Stephanie",181.2,181,315,355,375,375,185,-200,-200,185,385,405,-425,405,965,30,F,SBD,Wraps,Open
"Harris, Grant",127,132,195,225,245,245,140,170,-200,170,-285,285,315,315,730,24,M,SBD,Wraps,Open
"Alvey, Evan",148,148,275,290,-300,290,170,-190,-195,170,290,315,350,350,810,19,M,SBD,Wraps,Open
"Hall, Matthew",175.6,181,280,300,-305,300,190,200,-210,200,365,385,-400,385,885,48,M,SBD,Wraps,Open
"Poe, Andrew",176,181,380,400,-420,400,245,265,275,275,390,415,435,435,1110,19,M,SBD,Wraps,Open
"Michener, Josh",197.4,198,230,315,-330,315,230,-285,-285,230,250,270,340,340,885,40,M,SBD,Wraps,Open
"Nguyen, Henry",189.2,198,-365,380,405,405,270,290,305,305,480,500,520,520,1230,20,M,SBD,Wraps,Open
"Manley, Brandon",227,242,265,285,300,300,315,335,-340,335,385,405,420,420,1055,29,M,SBD,Wraps,Open
"Pitt, Damen",238.2,242,405,425,-475,425,300,320,-345,320,455,-475,-475,455,1200,19,M,SBD,Wraps,Open
"Wall, Kyle",234.8,242,335,355,380,380,295,-310,310,310,475,510,530,530,1220,25,M,SBD,Wraps,Open
"Thompson, Wesley",234.8,242,400,430,-450,430,300,320,-335,320,490,505,-515,505,1255,34,M,SBD,Wraps,Open
"Mancini, Peter",241.6,242,-495,515,545,545,365,405,435,435,500,565,600,600,1580,27,M,SBD,Wraps,Open
"Collier, Cody",235.6,242,570,605,620,620,305,330,360,360,605,-630,635,635,1615,30,M,SBD,Wraps,Open
"Carlsen, Harry",262.8,275,330,-370,385,385,235,260,-285,260,425,455,475,475,1120,23,M,SBD,Wraps,Open
"Evans, Justin",260,275,505,545,605,605,365,415,-435,415,605,645,-675,645,1665,30,M,SBD,Wraps,Open
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
