Name,Age,Division,Equipment,BodyweightLBS,WeightClassLBS, Squat1LBS, Squat2LBS, Squat3LBS,Best3SquatLBS,Bench1LBS,Bench2LBS,Bench3LBS,Bench4LBS,Best3BenchLBS,Deadlift1LBS,Deadlift2LBS,Deadlift3LBS,Deadlift4LBS,Best3DeadliftLBS,TotalLBS,Place/Div,State,Tested,Sex,Event
Amber Duenkel,24,Police & Fire,Wraps,121.4,123,185,205,-225,205,115,120,-125,,120,265,280,-295,,280,605,1,MO,Yes,F,SBD
Amber Duenkel,24,Open,Wraps,121.4,123,185,205,-225,205,115,120,-125,,120,265,280,-295,,280,605,1,MO,Yes,F,SBD
Grace Bramman,29,Open,Wraps,155.8,165,235,250,-265,250,135,150,160,,160,300,320,340,,340,750,1,MO,Yes,F,SBD
Sarah Dalton,31,Open,Wraps,158.4,165,155,165,175,175,-105,115,-120,,115,205,215,225,,225,515,2,MO,Yes,F,SBD
Jessica Varner,25,Open,Wraps,161.8,165,215,-225,-225,215,-120,-125,-125,,,,,,,0,0,DQ,IL,Yes,F,SBD
Lyndsay Swafford,28,Open,Wraps,178.6,181,185,225,-245,225,135,145,-160,,145,275,305,345,,345,715,1,MO,Yes,F,SBD
Michayla Brokert,19,Open,Wraps,175,181,135,155,185,185,135,145,-160,,145,245,265,285,,285,615,2,MO,Yes,F,SBD
Stacie Korte,56,Master (55-59),Wraps,179.4,181,-175,175,185,185,125,135,145,,145,245,275,300,,300,630,1,MO,Yes,F,SBD
Jenni Schook,36,Submaster (33-39),Wraps,176.2,181,315,335,355,355,190,205,-220,,205,315,335,350,,350,910,1,MO,Yes,F,SBD
Michayla Brokert,19,Teen (18-19),Wraps,175,181,135,155,185,185,135,145,-160,,145,245,265,285,300,285,615,1,MO,Yes,F,SBD
Sammy Voss,12,Youth,Wraps,155.4,165,65,95,115,115,65,85,-95,,85,135,165,215,225,215,415,1,MO,Yes,F,SBD
Luke Gabriel,28,Veterans,Wraps,181.6,181,405,-425,425,425,335,-350,350,,350,550,585,-605,,585,1360,1,MO,No,M,SBD
Steve D'Alessandro,43,Open,Wraps,146.6,148,435,455,475,475,270,280,-290,,280,480,500,510,,510,1265,1,MO,Yes,M,SBD
Kyle Bauer,26,Open,Wraps,162,165,370,-385,385,385,255,265,-275,,265,485,-505,-505,,485,1135,1,MO,Yes,M,SBD
Payton Ireland,19,Open,Wraps,177.8,181,495,525,-540,525,330,355,365,,365,595,615,635,,635,1525,1,MO,Yes,M,SBD
Luke Gabriel,28,Open,Wraps,181.6,181,405,-425,425,425,335,-350,350,,350,550,585,-605,,585,1360,2,MO,No,M,SBD
Nick Roloff,22,Open,Wraps,197.6,198,405,-435,435,435,295,315,-335,,315,515,555,-585,,555,1305,1,MO,Yes,M,SBD
Quintoon Sallin,26,Open,Wraps,195,198,475,-500,-500,475,300,310,-320,,310,475,500,515,,515,1300,2,MO,Yes,M,SBD
Tom Jones,50,Open,Wraps,188.8,198,-425,425,445,445,295,330,-340,,330,450,475,,,475,1250,3,MO,Yes,M,SBD
James Sullivan,30,Open,Wraps,219.8,220,385,405,415,415,335,-345,350,,350,550,585,-605,,585,1350,1,MO,Yes,M,SBD
Jason White,35,Open,Wraps,263,275,550,575,-600,575,390,405,-420,,405,540,575,-600,,575,1555,1,MO,Yes,M,SBD
Paul Knepper,34,Open,Wraps,269.2,275,475,505,525,525,360,-385,-385,,360,550,585,600,,600,1485,2,MO,Yes,M,SBD
Luke Hubert,27,Open,Wraps,286.8,308,425,465,-485,465,315,335,350,,350,440,495,525,,525,1340,1,MO,Yes,M,SBD
Bob Levy,69,Master (65-69),Wraps,209.8,220,275,-315,-315,275,235,-245,255,,255,225,250,315,,315,845,1,MO,Yes,M,SBD
Tom Jones,50,Master (50-54),Wraps,188.8,198,-425,425,445,445,295,330,-340,,330,450,475,,,475,1250,1,MO,Yes,M,SBD
