Name,Equipment,Division,WeightClassLBS,Best3SquatLBS,Best3BenchLBS,Best3DeadliftLBS,TotalLBS,Place,Age,BodyweightLBS,State,Event
Kimberly Roberts,Wraps,Master (40-49),114,190,110,220,520,1,47,110,FL,SBD
Gillian Tedeschi,Wraps,Open,123,275,145,340,760,1,29,121,FL,SBD
Ashley Rozzell,Wraps,Open,123,205,115,255,575,2,23,120,FL,SBD
Aimee Baruch,Wraps,Open,123,200,115,240,555,3,30,122,FL,SBD
Ashley Rozzell,Wraps,Junior (20-23),123,205,115,255,575,1,23,120,FL,SBD
Ashley Robel,Wraps,Open,148,240,175,335,750,1,30,144,FL,SBD
Karrin Arries,Wraps,Open,148,265,165,300,730,2,35,141,FL,SBD
Sarah Doppelfeld,Wraps,Junior (20-23),148,220,85,230,535,1,22,143,FL,SBD
Karrin Arries,Wraps,Submaster (33-39),148,265,165,300,730,1,35,141,FL,SBD
Suzanne LaForge,Wraps,Master (50-59),148,330,160,445,935,1,58,147,FL,SBD
Cheryl Figueroa,Wraps,Submaster (33-39),165,275,155,335,765,1,33,164,FL,SBD
Cynthia Pierce,Wraps,Master (50-59),165,180,95,270,545,1,56,164,FL,SBD
Kate Miller,Wraps,Master (70-79),165,115,65,175,355,1,71,164,FL,SBD
Patrick Waters,Wraps,Open,165,365,280,370,1015,1,32,162,FL,SBD
Ryan Finch,Wraps,Open,198,495,330,550,1375,1,27,196,FL,SBD
Mitchell Wood,Wraps,Open,198,350,275,405,1030,2,31,186,FL,SBD
Brad Merrill,Wraps,Submaster (33-39),198,415,290,450,1155,1,33,196,FL,SBD
Tim Cochran,Wraps,Master (60-69),198,275,230,380,885,1,63,198,FL,SBD
Erick Rodriguez,Wraps,Open,220,485,405,545,1435,1,36,212,FL,SBD
Corey Reichert,Wraps,Open,220,425,265,555,1245,2,22,212,FL,SBD
Erick Rodriguez,Wraps,Submaster (33-39),220,485,405,545,1435,1,36,212,FL,SBD
Kevin Cavinder,Wraps,Open,242,705,425,675,1805,1,27,229,FL,SBD
George Boldissar,Wraps,Open,242,450,405,55,910,2,60,240,FL,SBD
Brett Wood,Wraps,Submaster (33-39),242,550,450,585,1585,1,37,242,GA,SBD
Michael Franz,Wraps,Master (40-49),242,465,385,505,1355,1,47,234,FL,SBD
Robert Bosclair,Wraps,Master (50-59),242,390,275,435,1100,1,56,232,FL,SBD
George Boldissar,Wraps,Master (60-69),242,450,405,55,910,1,60,243,FL,SBD
Johnny Wilson,Wraps,Submaster (33-39),275,485,360,620,1465,1,37,242,FL,SBD
Danny Laboy,Wraps,Master (40-49),275,460,330,465,1255,1,47,274,FL,SBD
Sam Beckwith,Wraps,Master (50-59),275,600,455,630,1685,1,53,252,FL,SBD
Brian Hart,Raw,Master (60-69),220,,375,,,,61,201,FL,B
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
