Name,Divison,Best3BenchLBS,Equipment,State,Event,Sex,WeightClassLBS
John Badurek,Teenage,250,Raw,CT,B,M,
George Barnes,Teenage,235,Raw,VT,B,M,
Victor Mesquita,Teenage,145,Raw,MA,B,M,
Paul Broniek,Teenage,170,Raw,NH,B,M,
Desmond Reid,Teenage,145,Raw,NH,B,M,
Robert Bokowski,Teenage,185,Raw,NH,B,M,
Robert Robinson,Teenage,225,Raw,VT,B,M,
Kareem Akerson,Teenage,115,Raw,NH,B,M,
Ed McMenamin,Teenage,140,Raw,VT,B,M,
Heidi Werner,Open,160,Multi-ply,VT,B,F,130-150
Melissa Sabow,Open,120,Raw,NH,B,F,130-150
Scott Taylor,Submaster (33-39),500,Raw,VT,B,M,
Martin Fournier,Submaster (33-39),500,Raw,Canada,B,M,
Lee Martinson,Submaster (33-39),455,Multi-ply,VT,B,M,
Joe Steele,Submaster (33-39),255,Raw,CT,B,M,
Nick Adams,Submaster (33-39),250,Raw,VT,B,M,
Dominic Ramsey,Submaster (33-39),250,Raw,VT,B,M,
Steve Billings,Master (40-49),325,Multi-ply,VT,B,M,
Art Cournoyer,Master (60-69),260,Multi-ply,RI,B,M,
Ken Silvia,Open,245,Raw,NH,B,M,132
Bill Durant,Open,235,Multi-ply,NH,B,M,132
Dan Long,Open,225,Raw,VT,B,M,132
Albert Cyr,Open,325,Multi-ply,NH,B,M,148
Bernard Amlaw,Open,285,Multi-ply,NH,B,M,148
Victor Rodrigues,Open,275,Raw,NY,B,M,148
Roger Pinsonault,Open,310,Multi-ply,VT,B,M,165
Tom Donahue,Open,295,Multi-ply,VT,B,M,165
John Badurek,Open,250,Raw,CT,B,M,165
Victor Haskell,Open,DQ,Raw,NY,B,M,165
Jim Kathios,Open,340,Multi-ply,NH,B,M,181
Randy Owens,Open,315,Multi-ply,NY,B,M,181
Alan Bilodea,Open,135,Raw,NH,B,M,181
Rocco Boulay,Open,475,Multi-ply,NH,B,M,198
Jorge Ferreira,Open,460,Multi-ply,MA,B,M,198
Robert Wallace,Open,400,Raw,VT,B,M,220
Steve Billings,Open,325,Multi-ply,VT,B,M,220
James Keyser,Open,425,Multi-ply,NH,B,M,242
John Spaulding,Open,400,Multi-ply,VT,B,M,242
Dan Maynard,Open,385,Raw,MA,B,M,242
