Name,WeightClassLBS,Division,Best3BenchLBS,State,Sex
Stephanie Gaffney,,Open,145,MA,F
C. Creteau,,Open,130,MA,F
Jennifer Monaco,,Open,120,MA,F
Jeff Clapp,148,Open,360,MA,M
Greg Larson,148,Open,330,CT,M
Larry Scott,148,Open,295,MA,M
Mike Frasco,148,Open,295,MA,M
Larry Ross,148,Open,270,ME,M
Bernard Amlaw,148,Open,260,NH,M
Mike Petell,148,Open,260,VT,M
George Steele,148,Open,260,CT,M
Ed Diaz,148,Open,255,MA,M
Brian Almeida,148,Open,250,MA,M
Mark Stopper,148,Open,230,VT,M
Joe Piro,165,Open,340,RI,M
Keith Buggs,165,Open,340,MA,M
Nick Ciocca,165,Open,315,CT,M
Walter Powers,165,Open,315,NH,M
Mark Zuccala,165,Open,300,MA,M
Mark Lamanski,165,Open,285,MA,M
Richard Brandolini,165,Open,270,CT,M
Brad Gazaille,181,Open,365,MA,M
Jon Diamond,181,Open,340,MA,M
Joe Lombardo,181,Open,325,MA,M
Richard Racine,181,Open,290,RI,M
Mitch Sabona,181,Open,250,VT,M
Fred Liatsis,198,Open,450,MA,M
George Lipschitz,198,Open,400,MA,M
Steve Cleveland,198,Open,380,RI,M
John Abbate,198,Open,375,VT,M
Greg Errico,198,Open,360,CT,M
Danny Molineaux,198,Open,325,NH,M
Ed Flori,220,Open,470,RI,M
Jack Bartlett,220,Open,430,MA,M
John Vecchione,220,Open,415,CT,M
"Roland ""Jerry"" Cote",220,Open,400,CT,M
Ed Landue,220,Open,380,NH,M
Lawrence Tracy,220,Open,360,RI,M
Keith Lang,242,Open,450,MA,M
Tim Bartlett,242,Open,425,MA,M
Dan Piermarini,242,Open,410,ME,M
Steve Satonick,242,Open,405,RI,M
Mike Longo,242,Open,390,NH,M
Ronald Makarawicz,242,Open,370,NH,M
Larry Bellino,242,Open,350,CT,M
Donald Stratton,242,Open,230,NH,M
Jim O'Grady,242+,Open,480,MA,M
John Caldarelli,242+,Open,475,NH,M
Lou Lapoint,242+,Open,470,NH,M
Michael Yacinski,242+,Open,430,MA,M
Chris Queen,242+,Open,410,RI,M
Robert Fields,242+,Open,405,ME,M
,,,,,
,,,,,
