Name,State,WeightClassLBS,Division,Best3SquatLBS,Best3BechLBS,Best3DeadliftLBS,TotalLBS,Equipment,Sex
Greg Morrison,NH,132,Master (40-44),355,225,385,965,Multi-ply,M
Joseph Lamoureux,NH,148,Submaster (33-39),460,225,505,1190,Multi-ply,M
Roger Sheehan,VT,148,Submaster (33-39),250,200,250,700,Multi-ply,M
David Bashaw,NH,165,Master (55-59),380,220,460,1060,Multi-ply,M
Carlos Valdez,NY,181,Submaster (33-39),590,350,610,1550,Multi-ply,M
Joseph Steele,CT,181,Submaster (33-39),345,240,440,1025,Wraps,M
Michael DiBattista,NY,181,Master (40-44),380,320,440,1140,Multi-ply,M
Cliff Nelson,CA,181,Master (40-44),230,220,250,700,Wraps,M
Robert Gullage,NH,181,Master (45-49),310,135,365,810,Wraps,M
Ronald Greenlow,NH,181,Master (50-54),370,305,420,1095,Multi-ply,M
John Segedy,MA,181,Master (50-54),285,220,330,825,Wraps,M
Nick Connell,NH,181,Master (65-69),250,215,300,765,Wraps,M
Webster Starling,NY,181,Master (70-74),215,160,285,660,Wraps,M
Dwight Brickey,IL,198,Submaster (33-39),650,380,595,1625,Multi-ply,M
Rod Inman,VT,198,Submaster (33-39),435,250,500,1185,Multi-ply,M
Steve Holmes,VT,198,Master (50-54),375,,,DQ,Multi-ply,M
Ron Everett,,198,Submaster (33-39),705,405,645,1755,Multi-ply,M
Mark Lewis,NY,198,Submaster (33-39),645,435,575,1655,Multi-ply,M
Brian Phillips Jr.,NH,198,Submaster (33-39),470,315,510,1295, ,M
John Paretta,NY,242,Submaster (33-39),625,405,525,1530,Multi-ply,M
Steve Waldo,VT,242,Submaster (33-39),415,345,440,1200,Multi-ply,M
Frank Caramico,NY,242,Submaster (33-39),400,290,475,1165,Wraps,M
Jean Marie Bergeron,Canada,242,Master (45-49),700,440,620,1760,Multi-ply,M
Ronald Makarawicz,NH,242,Master (45-49),555,385,560,1500,Multi-ply,M
Donald Stratton,NH,242,Master (65-69),205,250,360,815,Multi-ply,M
Peter Rambelski,NY,275,Master (40-44),620,390,550,1560, ,M
Mamoud Mostafa,NY,SHW,Submaster (33-39),615,475,640,1730,Wraps,M
Wayne Andrews,NH,SHW,Master (40-44),700,370,655,1725,Multi-ply,M
,,,,,,,,,
,,,,,,,,,
