Name,Division,WeightClassLBS,Best3SquatLBS,Best3BenchLBS,Best3DeadliftLBS,TotalLBS,State,Equipment,Sex
Ray Monroe,Novice,114,250,145,350,745,NH,,M
Mark Bissonette,Novice,165,455,310,480,1245,MA,,M
Joe Vasquez,Novice,165,385,305,425,1115,MA,,M
G. Boyd,Novice,165,315,295,425,1035,,,M
Richard Boden,Novice,165,275,205,325,805,, Wraps,M
Art Lewis,Novice,181,315,230,425,970,, Wraps,M
Richard Poulin,Novice,198,500,275,540,1315,, Multi-ply,M
C. Nyberg,Novice,198,380,270,410,1060,, Wraps,M
Robert Chase,Novice,198,300,225,360,885,, Wraps,M
Tim Barchard,Novice,220,620,440,550,1550,MA, Multi-ply,M
David Watts,Novice,220,455,315,500,1270,RI,,M
Brian McDonald,Novice,220,410,305,535,1250,MA,,M
Mark Donnelly,Novice,242,575,300,525,1400,NH, Multi-ply,M
Alan Fornaro,Novice,242,380,360,445,1185,MA,,M
Richard Haas,Novice,SHW,455,315,425,1125,RI,,M
G. Boyd,Submaster (33-39),,315,295,425,1035,,,M
Rod Inman,Submaster (33-39),,400,255,500,1070,VT, Multi-ply,M
Richard Haas,Submaster (33-39),,455,315,425,1125,,,M
M. Bundy,Master,,410,220,420,1070,NH, Wraps,M
M. Burlage,Master,,425,285,450,1160,NH,,M
Steve Holmes,Master,,380,230,480,1090,, Wraps,M
John Segedy,Master,,270,220,335,825,NH, Wraps,M
Ray Monroe,Open,114,250,145,350,745,NH,,M
Mark Bissonette,Open,165,455,310,480,1245,MA,,M
Joe Vasquez,Open,165,385,305,425,1115,,,M
G. Boyd,Open,165,315,295,425,1035,,,M
Dave Inman,Open,165,350,265,410,1025,VT, Wraps,M
Richard Boden,Open,165,275,205,325,805,,,M
Jim Kathios,Open,181,425,355,525,1285,NH, Multi-ply,M
Todd Paris,Open,181,440,305,475,1220,MA, Multi-ply,M
Art Lewis,Open,181,315,230,425,970,, Wraps,M
John Segedy,Open,181,270,220,335,825,NH, Wraps,M
Richard Poulin,Open,198,500,275,540,1315,, Multi-ply,M
C. Nyberg,Open,198,380,270,410,1060,, Wraps,M
Robert Chase,Open,198,300,225,360,885,, Wraps,M
Tom Winter,Open,220,600,400,550,1550,NH, Multi-ply,M
Tim Barchard,Open,220,620,440,550,1550,MA, Multi-ply,M
David Watts,Open,220,455,315,500,1270,,,M
Brian McDonald,Open,220,410,305,535,1250,,,M
David Miller,Open,242,640,385,625,1650,MA, Multi-ply,M
Mark Donnelly,Open,242,575,300,525,1400,NH, Multi-ply,M
Alan Fornaro,Open,242,380,360,445,1185,MA,,M
John Paton,Open,242,615,,,DQ,NH, Multi-ply,M
M. Conners,Open,275,640,415,605,1660,MA, Multi-ply,M
Colin Scoggins,Open,275,620,465,575,1660,NH, Multi-ply,M
Richard Haas,Open,SHW,455,315,425,1125,RI,,M
