Name,Division,Age,State,WeightClassLBS,Best3DeadliftLBS,Sex
J. Ryan,Teenage,,CT,105,155,F
R. Clark,Teenage,,CT,165,475,M
M. Piper,Teenage,,CT,181,465,M
J. Perez,Teenage,,CT,181,315,M
R. Bokowski,Teenage,,CT,198,365,M
D. Flore,Teenage,,CT,220,470,M
R. Torrens,Teenage,,CT,220,300,M
D. McDuffie,Teenage,,CT,242,350,M
R. Robinson,Teenage,,CT,SHW,415,M
M. Cordero,Submaster (33-39),,CT,165,480,M
P. Vuono,Submaster (33-39),,CT,181,500,M
J. Kendall,Submaster (33-39),,RI,181,400,M
Joseph Steele,Submaster (33-39),,CT,198,400,M
Jeffrey Copeland,Submaster (33-39),,NY,220,580,M
Art Petridis ,Master (40-49,43,NJ,181,430,M
Ronald Makarawicz ,Master (40-49),48,NH,242,565,M
Paul McCartin ,Master (40-49),47,CT,275,600,M
Wayne Andrews ,Master (40-49),42,NH,SHW,670,M
Dave Bashaw ,Master (50-59),55,NH,181,460,M
Burt Rosenfield ,Master (50-59),58,PA,198,500,M
S. Holms ,Master (50-59),53,RI,220,460,M
Donald Stratton,Master (50-59),66,NH,242,365,M
B. Ducharme,Open,,NH,148,450,M
A. Nulman,Open,,MA,165,565,M
R. Clark,Open,,RI,165,475,M
J. Simonella,Open,,RI,165,350,M
K. Robinson,Open,,CT,181,475,M
M. Piper,Open,,CT,181,465,M
J. Perez,Open,,CT,181,315,M
K. Martini,Open,,RI,198,540,M
Burt Rosenfield ,Open,58,PA,198,500,M
J. DeDominco,Open,,RI,198,500,M
B. Lawrence,Open,,MA,198,470,M
R. Bokowski,Open,,CT,198,365,M
Ted Isabella,Open,,RI,220,650,M
Mark D'Iorio,Open,,RI,220,575,M
Dave Purcell,Open,,MA,220,485,M
D. Flore,Open,,CT,220,470,M
R. Torrens,Open,,CT,220,300,M
Frank Mansueto,Open,,RI,242,655,M
Ronald Makarawicz ,Open,48,NH,242,565,M
D. McDuffie,Open,,CT,242,350,M
Scott Knight,Open,,NH,275,590,M
D. Abamson,Open,,CT,275,540,M
Wayne Andrews ,Open,42,NH,SHW,670,M
B. Sitko,Open,,ME,SHW,520,M
R. Robinson,Open,,CT,SHW,415,M
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
