Name,WeightClassLBS,Division,Best3BenchLBS,Sex
K. Kennedy,97,Open,115,F
H. Donarum,132,Open,140,F
D. Whitham,148,Open,250,F
H. Barbie,148,Open,165,F
D. Blum,148,Open,120,F
S. Hineline,114,Teenage,130,
S. McDonough,132,Teenage,250,
J. Badurek,165,Teenage,305,
T. McFadden,165,Teenage,295,
S. Sun,165,Teenage,290,
O. Rasile,165,Teenage,DQ,
J. Giampietro,181,Teenage,280,
M. Adin,181,Teenage,DQ,
J. Gagne,198,Teenage,380,
C. Alicea,198,Teenage,175,
C. Jeff,220,Teenage,315,
J. Little,220,Teenage,245,
J. Bayer,242,Teenage,255,
L. Hatcher,275,Teenage,325,
T. Opitz,SHW,Teenage,380,
R. Robinson,SHW,Teenage,290,
R. Pirotta,132,Submaster (33-39),215,
L. Larson,148,Submaster (33-39),320,
G. Norman,165,Submaster (33-39),275,
B. Todd,198,Submaster (33-39),400,
R. Plouffe,220,Submaster (33-39),340,
P. Crevier,242,Submaster (33-39),360,
J. Pritchard,242,Submaster (33-39),350,
N. MacKay,165,Master (40-49),345,
C. Higgins,165,Master (40-49),290,
A. Petridis,165,Master (40-49),275,
N. Wellins,165,Master (40-49),255,
R. Cote,242,Master (40-49),420,
J. Valerio,242,Master (40-49),320,
J. Mugovero,275,Master (40-49),390,
T. Lehnert,165,Master (50-59),290,
A. Cournoyer,181,Master (50-59),260,
P. Stanley,198,Master (50-59),275,
C. Byrnes,132,Police & Fire,280,
G. Kasabian,198,Police & Fire,360,
C. Samson,198,Police & Fire,350,
K. Baker,198,Police & Fire,315,
B. Hoiseth,220,Police & Fire,335,
T. Lamy,242,Police & Fire,510,
T. Bartlett,275,Police & Fire,465,
C. Byrnes,132,Open,280,M
K. Silvia,132,Open,275,M
W. Durant,132,Open,240,M
R. Herbst,148,Open,295,M
R. Sansone,165,Open,380,M
M. Harper,165,Open,355,M
B. Napierata,165,Open,355,M
N. MacKay,165,Open,345,M
B. Amlaw,165,Open,340,M
J. Badurek,165,Open,305,M
T. McFadden,165,Open,295,M
K. Busby,165,Open,290,M
R. Shablin,165,Open,275,M
S. Kilroy,181,Open,440,M
S. Ames,181,Open,415,M
W. Smith,181,Open,365,M
D. Molineaux,181,Open,345,M
E. Falcinelli,181,Open,320,M
B. Louoi,181,Open,320,M
R. Reyes,181,Open,250,M
J. Bartlett,198,Open,450,M
G. Molea,198,Open,415,M
G. Hayes,198,Open,400,M
D. Luther,198,Open,385,M
G. Kasabian,198,Open,360,M
C. Alicea,198,Open,175,M
B. Hoiseth,220,Open,350,M
R. Drescher,220,Open,340,M
C. Jeff,220,Open,315,M
J. Little,220,Open,245,M
J. DeCotis,242,Open,530,M
T. Lamy,242,Open,510,M
K. Kidder,242,Open,435,M
J. Bayer,242,Open,255,M
K. Lang,275,Open,565,M
T. Bartlett,275,Open,465,M
L. Hatcher,275,Open,325,M
D. Burtman,SHW,Open,440,M
R. Robinson,SHW,Open,290,M
W. Dawson,SHW,Open,325,M
