Name,WeightClassLBS,Division,Sex,Age,BodyweightLBS,Event,Equipment,Best3SquatLBS,Best3BenchLBS,Best3DeadliftLBS,TotalLBS,Place,Tested
G. Leader,165,M50-54,F,51,154,B,Single-ply,,135,,135,1,Yes
G. Henderson,148,Novice,F,26,146,B,Single-ply,,85,,85,1,Yes
Kim Austen,123,Open,F,29,116,B,Single-ply,,140,,140,1,Yes
Judy Finley,148,Open,F,39,134.5,B,Single-ply,,100,,100,2,Yes
Judy Finley,148,Open,F,39,134.5,B,Raw,,100,,100,2,Yes
Gloria Knight McNeil,148,Open,F,38,147,B,Single-ply,,225,,225,1,Yes
Gloria Knight McNeil,148,Open,F,38,147,B,Raw,,225,,225,1,Yes
Jennifer Taylor,165,Open,F,16,164,B,Single-ply,,145,,145,1,Yes
Shannon Pole-Summers,181,Open,F,12,178,B,Raw,,160,,160,1,Yes
Shannon Pole-Summers,181,Open,F,12,178,B,Single-ply,,185,,185,1,Yes
Gloria Knight McNeil,148,S33-39,F,38,147,B,Single-ply,,225,,225,1,Yes
Delice Coffey,165,S33-39,F,35,163,B,Single-ply,,195,,195,1,Yes
Shannon Pole-Summers,181,Subteen,F,12,178,B,Single-ply,,185,,185,1,Yes
Jennifer Taylor,165,T16-17,F,16,164,B,Single-ply,,145,,145,1,Yes
G. Leader,165,M50-54,F,51,154,D,Single-ply,,,155,155,1,Yes
Judy Finley,148,Novice,F,39,134.5,D,Single-ply,,,55,55,2,Yes
G. Henderson,148,Novice,F,26,146,D,Single-ply,,,165,165,1,Yes
Kim Austen,123,Open,F,29,116,D,Single-ply,,,280,280,1,Yes
Judy Finley,148,Open,F,39,134.5,D,Raw,,,55,55,1,Yes
Jennifer Taylor,165,Open,F,16,164,D,Single-ply,,,275,275,2,Yes
K. Roberts,165,Open,F,33,160,D,Single-ply,,,415,415,1,Yes
Shannon Pole-Summers,181,Open,F,12,178,D,Raw,,,185,185,1,Yes
Shannon Pole-Summers,181,Open,F,12,175,D,Single-ply,,,295,295,1,Yes
D. Miller,220,Open,F,28,204,D,Single-ply,,,420,420,1,Yes
Delice Coffey,165,S33-39,F,35,163,D,Single-ply,,,340,340,2,Yes
Kathy Roberts,165,S33-39,F,33,160,D,Single-ply,,,415,415,1,Yes
Jennifer Taylor,165,T16-17,F,16,164,D,Single-ply,,,275,275,1,Yes
L. Smith,132,J20-23,F,22,130,SBD,Single-ply,210,125,260,595,1,Yes
G. Leader,165,M50-54,F,51,154,SBD,Single-ply,140,135,155,430,1,Yes
Judy Finley,148,Novice,F,39,134.5,SBD,Single-ply,55,100,55,210,2,Yes
G. Henderson,148,Novice,F,26,146,SBD,Single-ply,145,85,165,395,1,Yes
Judy Finley,148,Open,F,39,134.5,SBD,Single-ply,55,100,55,210,1,Yes
Judy Finley,148,Open,F,39,134.5,SBD,Raw,55,100,55,210,1,Yes
Jennifer Taylor,165,Open,F,16,164,SBD,Single-ply,300,145,275,720,2,Yes
Delice Coffey,165,Open,F,35,163,SBD,Single-ply,285,195,340,820,1,Yes
Shannon Pole-Summers,181,Open,F,12,178,SBD,Single-ply,290,185,295,770,1,Yes
Gloria Knight McNeil,148,S33-39,F,38,147,SBD,Single-ply,315,225,370,910,1,Yes
Delice Coffey,165,S33-39,F,35,163,SBD,Single-ply,285,195,340,820,1,Yes
Shannon Pole-Summers,181,Subteen,F,12,178,SBD,Single-ply,290,185,295,770,1,Yes
Jennifer Taylor,165,T16-17,F,16,164,SBD,Single-ply,300,145,275,720,1,Yes
B.House,181,J20-23,M,21,175.5,B,Single-ply,,385,,385,1,Yes
M. Tyler,198,J20-23,M,21,191,B,Single-ply,,405,,405,3,Yes
R. Slavinski,198,J20-23,M,20,192,B,Single-ply,,420,,420,2,Yes
C. Seaborn,198,J20-23,M,20,195.75,B,Single-ply,,425,,425,1,Yes
C. Poole,181,M40-44,M,40,180.5,B,Single-ply,,415,,415,1,Yes
F. Swift,242,M40-44,M,41,234,B,Single-ply,,415,,415,1,Yes
Jerry Tancil,308,M40-44,M,44,284,B,Raw,,,,,DQ,Yes
Jerry Tancil,308,M40-44,M,44,284,B,Single-ply,,575,,575,1,Yes
B. Poston,198,M45-49,M,48,197,B,Single-ply,,300,,300,1,Yes
C. Kimrey,181,M50-54,M,54,180,B,Single-ply,,350,,350,1,Yes
B. Higdon,220,M50-54,M,56,218.75,B,Raw,,435,,435,1,Yes
C. Summers,242,M50-54,M,54,226,B,Single-ply,,350,,350,1,Yes
B. Higdon,220,M55-59,M,56,218.75,B,Single-ply,,435,,435,1,Yes
Harold Hurley,308,M60-64,M,62,307,B,Single-ply,,440,,440,1,Yes
Michael Stanley,165,Open,M,34,163.75,B,Single-ply,,350,,350,2,Yes
Stanley Morrison,165,Open,M,31,161.5,B,Single-ply,,405,,405,1,Yes
B. Eastham,181,Open,M,22,181,B,Single-ply,,315,,315,2,Yes
Richard Hollodick,181,Open,M,30,179,B,Single-ply,,345,,345,1,Yes
B.House,181,Open,M,21,175.5,B,Raw,,375,,375,2,Yes
R. Smith,181,Open,M,31,179.5,B,Raw,,415,,415,1,Yes
R. Smith,181,Open,M,31,179.5,B,Single-ply,,450,,450,1,Yes
K. Worley,198,Open,M,26,198,B,Single-ply,,,,,DQ,Yes
Bill Poston,198,Open,M,48,197,B,Raw,,250,,250,2,Yes
B. Kelly,198,Open,M,26,198,B,Raw,,330,,330,1,Yes
B. Kelly,198,Open,M,26,198,B,Single-ply,,400,,400,4,Yes
C. Seaborn,198,Open,M,20,195.75,B,Single-ply,,425,,425,2,Yes
S. Long,198,Open,M,26,198,B,Single-ply,,425,,425,3,Yes
J. Cook,198,Open,M,29,195,B,Single-ply,,450,,450,1,Yes
L. Young,220,Open,M,31,207,B,Single-ply,,370,,370,6,Yes
K. Micheals,220,Open,M,29,201,B,Single-ply,,375,,375,5,Yes
A. Cabrerra,220,Open,M,31,208,B,Single-ply,,385,,385,4,Yes
