Name,WeightClassKg,Division,Sex,Age,BodyweightKg,Event,Equipment,Best3BenchKg,Best3DeadliftKg,TotalKg,Place,Tested
Bob Kayhart,181,Open,M,,176,D,Single-ply,,529.5,529.5,,Yes
Bob Kayhart,181,Open,M,,176,D,Single-ply,,529.5,529.5,,
C. Kelly,220,Open,M,47,208,B,Raw,347.5,,347.5,,Yes
C. Kelly,220,M45-49,M,47,208,B,Raw,347.5,,347.5,,Yes
Charles Nelson,198,Open,M,41,189,D,Single-ply,,562.5,562.5,,Yes
Charles Nelson,198,Open,M,41,189,D,Single-ply,,562.5,562.5,,Yes
D. Doyle,275,Novice,M,55,266,B,Raw,402.75,,402.75,,Yes
D. Doyle,275,M55-59,M,55,266,B,Single-ply,402.75,,402.75,,Yes
D. Juliano,220,M45-49,M,46,211,B,Raw,287,,287,,Yes
D. Juliano,220,M45-49,M,46,211,D,Raw,,479.5,479.5,,Yes
D. Novak,181,Novice,M,,171.2,B,Single-ply,,,,DQ,Yes
E. Williams,181,M60-65,M,63,172.25,D,Raw,,276,276,,Yes
H. Goodwyn,181,Open,M,,171.2,B,Raw,364.25,,364.25,,Yes
J. Berard,181,M65-69,M,68,181,B,Single-ply,,,,DQ,Yes
J. Pelt,181,M55-59,M,56,168.2,B,Single-ply,342,,342,,Yes
Jeff Ruth,242,Open,M,36,227,B,Raw,386.25,,386.25,,Yes
Jeff Ruth,242,Novice,M,36,227,B,Raw,386.25,,386.25,,Yes
Jeff Ruth,242,S33-39,M,36,227,B,Raw,386.25,,386.25,,Yes
K. Farber,198,M45-49,M,46,188,B,Single-ply,,,,DQ,Yes
L. Barry,220,M55-59,M,57,214,B,Single-ply,298,,298,,Yes
L. Stevens,275,Open,M,42,251,B,Raw,424.75,,424.75,,Yes
L. Stevens,275,Novice,M,42,251,B,Single-ply,386.25,,386.25,,Yes
L. Stevens,275,M40-44,M,42,251,B,Raw,424.75,,424.75,,Yes
M. Dunlap,198,Open,M,,191,D,Single-ply,,513,513,,Yes
N. Carr,198,Open,M,66,189,B,Raw,254,,254,,Yes
N. Carr,198,M65-69,M,66,189,B,Raw,254,,254,,Yes
N. Carr,198,M65-69,M,66,189,D,Raw,,353,353,,Yes
R. Moreyra,105,Novice,F,,99,B,Raw,94,,94,,Yes
Randy Sliwa,198,S33-39,M,33,197,D,Single-ply,,485.5,485.5,,Yes
T. Vallake,220,S33-39,M,35,209,B,Single-ply,500,,500,,Yes
