Name,Sex,Age,BodyweightLBS,WeightClassLBS,Division,Equipment,Best3BenchLBS,Best3DeadliftLBS,TotalLBS,Event,Tested,Place
Tom Flaherty,M,,147,148,Novice,Raw,225,,225,B,Yes,
Dennis Welsh,M,,164,165,Novice,Raw,250,,250,B,Yes,
Richard Linardi,M,,173.5,181,Novice,Single-ply,320,,320,B,Yes,
Michael Reeves,M,,181.5,181,Novice,Multi-ply,,,,B,Yes,
Tim Garvey,M,,193,198,Novice,Single-ply,365,,365,B,Yes,
Jon Peterson,M,,203,220,Novice,Single-ply,365,,365,B,Yes,
James Schroeder,M,,236.5,242,Novice,Multi-ply,445,,445,B,Yes,
Maurice Williams,M,,222.5,242,Novice,Single-ply,385,,385,B,Yes,
Steve DiSantostefano,M,,275,275,Novice,Single-ply,440,,440,B,Yes,
Pete Elias,M,,253,275,Novice,Single-ply,390,,390,B,Yes,
Michael Russo,M,35,178,181,Novice,Raw,,485,485,D,Yes,
Troy Knotts,M,,173,181,Novice,Raw,,455,455,D,Yes,
James Haughom,M,,210,220,Novice,Raw,,475,475,D,Yes,
Greg Durham,M,,242,242,Novice,Raw,,575,575,D,Yes,
Pete Elias,M,,253,275,Novice,Single-ply,,525,525,D,Yes,
Kathy Roberts,F,33,174,181,Open,Raw,240,,240,B,Yes,
Reb Orell,M,,163,165,Open,Single-ply,350,,350,B,Yes,
Tim Garvey,M,,193,198,Open,Single-ply,365,,365,B,Yes,
Tom Reumont,M,,197,198,Open,Single-ply,355,,355,B,Yes,
James Schroeder,M,,236.5,242,Open,Multi-ply,445,,445,B,Yes,
Katie Edgar,F,,132,132,Open,Raw,,230,230,D,Yes,
Kathy Roberts,F,,174,181,Open,Raw,,440,440,D,Yes,
Reb Orell,M,,163,165,Open,Single-ply,,550,550,D,Yes,
Tom Reumont,M,,197,198,Open,Single-ply,,550,550,D,Yes,
Tom Reumont,M,35,197,198,Submasters 33-39,Single-ply,355,,355,B,Yes,
Michael Russo,M,35,178,181,Submasters 33-39,Raw,330,,330,B,Yes,
Wendy Edwards,F,,165,165,Submasters 33-39,Raw,,200,200,D,Yes,
Tom Reumont,M,,197,198,Submasters 33-39,Single-ply,,550,550,D,Yes,
