Women,,,
123 Open,,,
Jen Oburn,215,,
165 Open,,,
Bonnie Graube,330,,
Men,,,
132 Open,,,
Adam Zehr,340,,
148 Open,,,
Joe Ceklovsky,520,,
148 Masters III,,,
Steve Gee,285,,
165 Open,,,
Rudy Hillyard,370,,
181 Open,,,
Jim Kilts,665,,
181 Teen 14-15,,,
Nam Shartzer,305,,
181 Teen 18-19,,,
Paul Nicholson,365,,
181 Open,Raw,,
Brian Sheldon,240,,
198 Open,,,
Mike Wolfley,625,,
198 Submasters,,,
Chris Scarincio,455,,
198 Masters I,,,
George Cambell,375,,
198 Teen 16-17,,,
Tom DiChiara,280,,
220 Open,,,
Sam Luciano,405,,
220 Teen 18-19,,,
Anthony Virtucci,430,,
220 Police,,,
Tom Young,455,,
242 Open,,,
Bobby Fields,680,,
Mike Ferlito,365,,
275 Open,,,
Bill Crawford,740,,
275 Masters III,,,
John Graube,570,,
308 Open,,,
Peter Mlynarcik,500,,
John Hart,xxx,,
308 Masters III,,,
Buster Godden,540,,
SHW Open,,,
Shawn Lattimer,xxx,,
Women,,,
56 lbs,9 yrs old,,
Kerri McCaslin,65,112,177
165 Open,,,
Kathy Goliszek,285,405,690
Men,,,
181 Open,,,
Adam James,425,560,985
198 Open,,,
Brian Shaw,400,510,910
Brendon Serritella,355,505,860
220 Open,,,
Ben Henderson,260,365,625
220 Open Raw,,,
Chris Mineo,365,500,865
242 Masters I,,,
James Howell,425,625,1050
275 Open,,,
Michael Harris,605,615,1220
Mark Cole,350,500,850
 -----------------------------------------,,,
Ironman,,,
Women,,,
98 Teen 14-15,,,
Sarah McCaslin,185,,
Men,,,
275 Open,,,
Mike Brown,600,,
