Name,Division,Sex,Equipment,WeightClassLBS,Best3SquatLBS,Best3BenchLBS,Best3DeadliftLBS,TotalLBS,Place,Event
Sonya Jones,F_OEM_APF,F,Multi-ply,132,150,75,250,475,1,SBD
Emily Layne,F_OEM_APF,F,Multi-ply,165,,,275,275,1,D
James Dulany,M_TEM_X_APF,M,Multi-ply,181,550,335,580,1465,1,SBD
Scott Seargent,M_OEM_APF,M,Multi-ply,181,460,380,455,1295,1,SBD
Mark Liechtenberger,M_MEM_2_APF,M,Multi-ply,198,315,,,,DQ,SBD
Jim Shipley,M_OEM_APF,M,Multi-ply,198,475,330,515,1320,1,SBD
Doug Daniel,M_TEM_3_APF,M,Multi-ply,220,530,,550,,DQ,SBD
Spence Hunter,M_JEM_APF,M,Multi-ply,220,555,440,505,1500,1,SBD
Mike Bishop,M_SEM_APF,M,Multi-ply,220,600,405,600,1605,1,SBD
Ronnie Edwards,M_MEM_3_APF,M,Multi-ply,220,,,,,DQ,SBD
Keith Taylor,M_OEM_APF,M,Multi-ply,220,725,425,550,1700,1,SBD
Spence Hunter,M_OEM_APF,M,Multi-ply,220,555,440,505,1500,2,SBD
Matt Christie,M_OEM_APF,M,Multi-ply,220,,,,,DQ,SBD
Dayne Geyer,M_JEM_APF,M,Multi-ply,275,600,425,525,1550,1,SBD
Darrell Hoard,M_OEM_APF,M,Multi-ply,275,725,425,645,1795,1,SBD
Darrell Hoard,M_SEM_APF,M,Multi-ply,275,725,425,645,1795,1,SBD
Josh Robinson,M_OEM_APF,M,Multi-ply,275,,555,675,,DQ,SBD
Buddy McKee,M_OEM_APF,M,Multi-ply,308,705,525,550,1780,1,SBD
Jeff Brandon,M_OEM_APF,M,Multi-ply,308,,,675,,DQ,SBD
David Brown,M_OEM_APF,M,Multi-ply,308,,,,,DQ,SBD
Mike Beaty,M_OEM_APF,M,Multi-ply,SHW,750,555,665,1970,1,SBD
Anthony Ervin,M_OEM_APF,M,Multi-ply,SHW,775,,,,DQ,SBD
Bobby Meyers,M_GEM_APF,M,Multi-ply,242,,,725,725,G,D
Jack Brown,M_OEM_APF,M,Multi-ply,181,,,,,DQ,B
Ronnie Edwards,M_MEM_4_APF,M,Multi-ply,220,,,,,DQ,B
Paul Crane,M_MEM_6_APF,M,Multi-ply,242,,200,,200,1,B
Steve Dwelle,M_OEM_APF,M,Multi-ply,242,,605,,605,1,B
Elliot Ladd,M_OEM_APF,M,Multi-ply,275,,450,,450,1,B
