Name,Age,Division,Sex,Event,BodyweightKg,WeightClassLBS,Best3SquatKg,Squat4Kg,Best3BenchKg,Bench4Kg,Best3DeadliftKg,Deadlift4Kg,TotalKg,Place
Jeffrey Haiduke,24,Junior,M,B,72.2,75,,,195,,,,195,1
Matthew Mulhearn,23,Junior,M,B,82.3,82.5,,,215,,,,215,1
Brian Mulhearn,23,Junior,M,B,81.9,82.5,,,195,,,,195,2
Robert Fredenhagen,17,M16-17,M,B,67.1,67.5,,,125,,,,125,1
Bryan Hoffmann,34,Submaster,M,B,108.5,110,,,272.5,,,,272.5,1
Dale Szymanski,37,Submaster,M,B,118.6,125,,,275,,,,275,1
Andrew Stomberg,33,Submaster,M,B,139.8,140,,,165,,,,165,1
Richard Singh,18,T18-19,M,B,120.2,125,,,205,,,,205,1
Joani Taber,40,W M40-44,F,B,67.5,67.5,,,65,,,,65,1
Carol Krochmal,48,W M45-49,F,B,43,44,,,52.5,55,,,52.5,1
Sidney Thoms,53,W M50-54,F,B,115,90+,,,165,,,,165,1
Amanda Harris,16,W T16-17,F,B,54.1,56,,,80,,,,80,1
Edward Taber,41,M40-44,M,B,88.9,90,,,215,,,,215,1
Eric Hubbs,43,M40-44,M,B,117,125,,,272.5,,,,272.5,1
Oleg Kholodov,45,M45-49,M,B,95.4,100,,,170,,,,170,1
Dave Murphy,52,M50-54,M,B,108.3,110,,,220,,,,220,1
Cozy Cozine,50,M50-54,M,B,124.9,125,,,215,,,,215,1
Dan Swift,60,M60-64,M,B,88.8,90,,,197.5,,,,197.5,1
Jim Hussey,63,M60-64,M,B,86.8,90,,,157.5,,,,157.5,2
John Lamboley,66,M65-69,M,B,73.7,75,,,127.5,,,,127.5,1
Wally Anczerewicz,65,M65-69,M,B,93,100,,,132.5,,,,132.5,1
Floyd Kucharski,67,M65-69,M,B,98.8,100,,,115,,,,115,2
Larry Skip Sandberg,67,M65-69,M,B,109.1,110,,,222.5,,,,222.5,1
Richard Gidcumb,70,M70-74,M,B,63.5,67.5,,,90,,,,90,1
Iosif Plagov,72,M70-74,M,B,68.1,75,,,80,,,,80,1
Igor Kotov,38,Open,M,B,64.6,67.5,,,50,,,,50,1
Timothy Hensley,27,Open,M,B,82,82.5,,,267.5,,,,267.5,1
