LIFTER,AGE,Body Weight in LBS,Body Weight in Kilos,Co-EFF,MAM,Division,WEIGHT CLASS IN LBS,BEST SQUAT,BEST BENCH,SUB-TOTAL,BEST DEAD,TOTAL IN Pounds,TOTAL IN Kilos,TOTAL BY Co-EFF,TOTAL BY MAM,Division,AGE,PLACING,NOTES
Full Power,,,,,,,,,,,,,,,,,,,
Men's Masters 148,,,,,,,,,,,,,,,,,,,
Frank Reales,51,143.60,65.15,0.7717,1.147,raw,148,305.00,195.00,500.00,350.00,850.00,385.557,655.945,752.369,raw,51,1,50-54
Men's Masters 181,,,,,,,,,,,,,,,,,,,
Charles Richards,48,169.20,76.75,0.6770,1.097,,181,450.00,350.00,800.00,440.00,1240.00,562.460,839.480,920.910,,48,1,45-49
Men's Masters 198,,,,,,,,,,,,,,,,,,,
Tom Walters,71,198.00,89.81,0.6126,1.681,,198,330.00,180.00,510.00,300.00,810.00,367.414,496.206,834.122,,71,1,70-74
Men's Masters 220,,,,,,,,,,,,,,,,,,,
Michael Shealy,57,218.20,98.97,0.5839,1.268,Raw,220,365.00,300.00,665.00,385.00,1050.00,476.277,613.095,777.404,Raw,57,1,55-59
Steve Maxson,41,216.20,98.06,0.5862,1.010,,220,680.00,460.00,,660.00,1800.00,816.475,1055.160,1065.712,,41,1,40-44
Rodger Pardue,48,209.00,94.80,0.5955,1.097,,220,750.00,455.00,1205.00,565.00,1770.00,802.867,1054.035,1156.276,,48,1,45-49
Men's Masters 242,,,,,,,,,,,,,,,,,,,
Billy Warren,47,237.80,107.87,0.5657,1.082,,242,0.00,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,47,,out
Men's Masters 275,,,,,,,,,,,,,,,,,,,
Curtis Rabon,46,270.00,122.47,0.5483,1.068,Raw,275,580.00,460.00,1040.00,650.00,1690.00,766.579,926.627,989.638,Raw,46,1,Best Raw Power Lifter
Barry Sturdivant,44,265.00,120.20,0.5507,1.043,,275,800.00,515.00,1315.00,600.00,1915.00,868.638,1054.591,1099.938,,44,1,40-44
Men's Open 181,,,,,,,,,,,,,,,,,,,
Seth Seaford,25,174.00,78.93,0.6641,,Raw,181,410.00,305.00,715.00,500.00,1215.00,551.120,806.882,806.882,Raw,25,1,
Sean Feeney,26,180.00,81.65,0.6489,,,181,460.00,255.00,715.00,485.00,1200.00,544.316,778.680,778.680,,26,1,
Men's Open 198,,,,,,,,,,,,,,,,,,,
Caleb Gunter,27,192.20,87.18,0.6232,,Raw,198,460.00,340.00,800.00,500.00,1300.00,589.676,810.160,810.160,Raw,27,1,
Dex Summerville,20,188.60,85.55,0.6301,,,198,575.00,300.00,875.00,550.00,1425.00,646.376,897.893,897.893,,20,1,
Bobby Hart,28,197.40,89.54,0.6135,,,198,505.00,365.00,,530.00,1400.00,635.036,858.900,858.900,,28,2,
Men's Open 220,,,,,,,,,,,,,,,,,,,
Will Kuenzel,29,214.20,97.16,0.5887,,,220,550.00,435.00,985.00,550.00,1535.00,696.271,903.655,903.655,,29,1,
