Name,Age,Diviaion,BWt (Lb),WtCls (Lb), Squat  1, Squat  2, Squat  3,Best Squat,Bench 1,Bench 2,Bench 3,Best Bench,Deadlift 1,Deadlift 2,Deadlift 3,Best Deadlift,PL Total,Event,Place,Sex,Equipment,Tested,,,,,,,,,,,,,,,,,,,,,
Myrissa Barnet,19,F_TR_3_AAPF,114.4,114,47.5,55,65,65,37.5,42.5,-47.5,42.5,47.5,57.5,70,70,177.5,SBD,1,F,Raw,Yes,,,,,,,,,,,,,,,,,,,,,
Kerry O'Reilly,50,F_MEM_3_APF,176.4,181,30,,,30,-105,-105,-105,,,,,,,SBD,DQ,F,Multi-ply,,,,,,,,,,,,,,,,,,,,,,
Liz Nesuda,39,F_SEM_APF,124.5,132,122.5,130,137.5,137.5,85,-92.5,-92.5,85,115,137.5,142.5,142.5,365,SBD,1,F,Multi-ply,,,,,,,,,,,,,,,,,,,,,,
Rosie McGill,35,F_SEM_APF,160.6,165,-110,110,-120,110,77.5,85,-90,85,110,120,127.5,127.5,322.5,SBD,1,F,Multi-ply,,,,,,,,,,,,,,,,,,,,,,
Marilynn Mathis,56,F_OEM_APF,158.4,165,-155,-155,155,155,107.5,112.5,120,120,152.5,162.5,-170,162.5,437.5,SBD,1,F,Multi-ply,,,,,,,,,,,,,,,,,,,,,,
Mike McLeod,24,M_NR_AAPF,227.8,242,182.5,195,197.5,197.5,147.5,-157.5,160,160,150,,,150,507.5,SBD,1,M,Raw,Yes,,,,,,,,,,,,,,,,,,,,,
Mike McLeod,24,M_NR_APF,227.8,242,182.5,195,197.5,197.5,147.5,-157.5,160,160,150,,,150,507.5,SBD,1,M,Raw,,,,,,,,,,,,,,,,,,,,,,
Vince Breaux,63,M_MEM_6_APF,215.2,220,172.5,187.5,-195,187.5,210,220,227.5,227.5,240,255,-262.5,255,670,SBD,1,M,Multi-ply,,,,,,,,,,,,,,,,,,,,,,
Marvin Allen,67,M_MEM_6_APF,261.4,275,-165,-182.5,182.5,182.5,92.5,-100,-100,92.5,165,-182.5,-182.5,165,440,SBD,1,M,Multi-ply,,,,,,,,,,,,,,,,,,,,,,
Marvin Hollam,56,M_MEM_4_APF,237.6,242,-190,190,-205,190,65,75,77.5,77.5,220,230,-255,230,497.5,SBD,1,M,Multi-ply,,,,,,,,,,,,,,,,,,,,,,
Mike Harrison,54,M_MEM_3_APF,176,181,190,200,-205,200,140,-147.5,-147.5,140,192.5,205,215,215,555,SBD,1,M,Multi-ply,,,,,,,,,,,,,,,,,,,,,,
Chris Garcia,52,M_MEM_3_APF,217.5,220,310,330,340,340,,,,,,,,,,SBD,DQ,M,Multi-ply,,,,,,,,,,,,,,,,,,,,,,
Dana Wiggins,44,M_MEM_1_APF,178,181,80,-92.5,-92.5,80,62.5,-67.5,-67.5,62.5,80,95,105,105,247.5,SBD,1,M,Multi-ply,,,,,,,,,,,,,,,,,,,,,,
Joe Chaney,42,M_MEM_1_APF,193.2,198,-175,-175,-175,,,,,,227.5,250,-255,250,,SBD,DQ,M,Multi-ply,,,,,,,,,,,,,,,,,,,,,,
John Fukuda,44,M_MEM_1_APF,186.2,198,-225,-225,-225,,137.5,-152.5,152.5,152.5,185,202.5,-210,202.5,,SBD,DQ,M,Multi-ply,,,,,,,,,,,,,,,,,,,,,,
Khalid Shadid,45,M_MEM_1_APF,274.8,275,317.5,337.5,-347.5,337.5,185,200,-207.5,200,285,-305,-317.5,285,822.5,SBD,1,M,Multi-ply,,,,,,,,,,,,,,,,,,,,,,
Matt Reynolds,41,M_MEM_1_APF,259.6,275,-270,-270,-277.5,,200,202.5,205,205,215,230,242.5,242.5,,SBD,DQ,M,Multi-ply,,,,,,,,,,,,,,,,,,,,,,
Alex Ortiz,39,M_SEM_APF,202.8,220,250,272.5,-282.5,272.5,150,170,-182.5,170,-205,205,227.5,227.5,670,SBD,1,M,Multi-ply,,,,,,,,,,,,,,,,,,,,,,
Lance Mays,36,M_SEM_APF,213.4,220,145,-182.5,205,205,117.5,-142.5,145,145,165,215,-255,215,565,SBD,2,M,Multi-ply,,,,,,,,,,,,,,,,,,,,,,
Joe Ruiz,21,M_JEM_APF,162.4,165,-125,-130,135,135,117.5,127.5,137.5,137.5,130,145,147.5,147.5,420,SBD,1,M,Multi-ply,,,,,,,,,,,,,,,,,,,,,,
Abe Harrod,23,M_JEM_APF,194.4,198,-300,300,-322.5,300,217.5,232.5,-237.5,232.5,250,272.5,-287.5,272.5,805,SBD,1,M,Multi-ply,,,,,,,,,,,,,,,,,,,,,,
Carlos Mata,23,M_JEM_APF,183.2,198,195,202.5,-210,202.5,-152.5,152.5,165,165,195,215,-227.5,215,582.5,SBD,2,M,Multi-ply,,,,,,,,,,,,,,,,,,,,,,
Josh Jordan,23,M_JEM_APF,239.6,242,227.5,262.5,-287.5,262.5,175,185,-200,185,227.5,265,275,275,722.5,SBD,1,M,Multi-ply,,,,,,,,,,,,,,,,,,,,,,
Tyler Tabor,19,M_TEM_3_APF,209.6,220,-262.5,-262.5,-262.5,,,,,,,,,,,SBD,DQ,M,Multi-ply,,,,,,,,,,,,,,,,,,,,,,
Cameron Medford,16,M_TEM_2_APF,175.6,181,172.5,205,-220,205,125,142.5,150,150,167.5,190,197.5,197.5,552.5,SBD,1,M,Multi-ply,,,,,,,,,,,,,,,,,,,,,,
Mark Ghanayem,28,M_NEM_APF,146.4,148,105,117.5,-130,117.5,70,77.5,82.5,82.5,115,127.5,137.5,137.5,337.5,SBD,1,M,Multi-ply,,,,,,,,,,,,,,,,,,,,,,
Ben Hernandez,38,M_NEM_APF,267.8,275,-210,210,-250,210,142.5,182.5,-195,182.5,142.5,182.5,-215,182.5,575,SBD,1,M,Multi-ply,,,,,,,,,,,,,,,,,,,,,,
Matt Wray,33,M_OEM_APF,181.6,181,-270,,,,,,,,,,,,,SBD,DQ,M,Multi-ply,,,,,,,,,,,,,,,,,,,,,,
Tuan Tran,28,M_OEM_APF,183.2,198,185,207.5,-227.5,207.5,150,-167.5,167.5,167.5,195,215,-250,215,590,SBD,1,M,Multi-ply,,,,,,,,,,,,,,,,,,,,,,
Jeff Allen,27,M_OEM_APF,218,220,-340,-352.5,-352.5,,,,,,,,,,,SBD,DQ,M,Multi-ply,,,,,,,,,,,,,,,,,,,,,,
David Newton,26,M_OEM_APF,234.6,242,352.5,-385,-385,352.5,230,250,-262.5,250,295,-320,320,320,922.5,SBD,1,M,Multi-ply,,,,,,,,,,,,,,,,,,,,,,
Jeremy Brinkley,26,M_OEM_APF,239.2,242,272.5,-287.5,-287.5,272.5,192.5,202.5,212.5,212.5,272.5,287.5,295,295,780,SBD,2,M,Multi-ply,,,,,,,,,,,,,,,,,,,,,,
Khalid Shadid,45,M_OEM_APF,274.8,275,317.5,337.5,-347.5,337.5,185,200,-207.5,200,285,-305,-317.5,285,822.5,SBD,1,M,Multi-ply,,,,,,,,,,,,,,,,,,,,,,
Rosie McGill,35,F_SEM_APF,160.6,165,,,,,77.5,85,-90,85,,,,,85,B,1,F,Multi-ply,,,,,,,,,,,,,,,,,,,,,,
Marilynn Mathis,56,F_OEM_APF,158.4,165,,,,,107.5,112.5,120,120,,,,,120,B,1,F,Multi-ply,,,,,,,,,,,,,,,,,,,,,,
Vince Breaux,63,M_MEM_6_APF,215.2,220,,,,,210,220,227.5,227.5,,,,,227.5,B,1,M,Multi-ply,,,,,,,,,,,,,,,,,,,,,,
Brian Kline,58,M_MEM_4_APF,193.8,198,,,,,180,-187.5,187.5,187.5,,,,,187.5,B,1,M,Multi-ply,,,,,,,,,,,,,,,,,,,,,,
Rocky McCullough,53,M_MEM_3_APF,192,198,,,,,155,162.5,-182.5,162.5,,,,,162.5,B,1,M,Multi-ply,,,,,,,,,,,,,,,,,,,,,,
Roy Thelin,51,M_MEM_3_APF,280.8,308,,,,,-172.5,-177.5,-177.5,,,,,,,B,DQ,M,Multi-ply,,,,,,,,,,,,,,,,,,,,,,
John Burke,42,M_MEM_1_APF,169.4,181,,,,,180,182.5,185,185,,,,,185,B,1,M,Multi-ply,,,,,,,,,,,,,,,,,,,,,,
Patrick Parnell,43,M_MEM_1_APF,252.6,275,,,,,-295,295,-365,295,,,,,295,B,1,M,Multi-ply,,,,,,,,,,,,,,,,,,,,,,
Steve Mata,44,M_MEM_1_APF,314.4,SHW,,,,,227.5,-247.5,-255,227.5,,,,,227.5,B,1,M,Multi-ply,,,,,,,,,,,,,,,,,,,,,,
David Smith,38,M_SEM_APF,164.4,165,,,,,192.5,202.5,207.5,207.5,,,,,207.5,B,1,M,Multi-ply,,,,,,,,,,,,,,,,,,,,,,
Dustin Dees,23,M_JEM_APF,311.8,SHW,,,,,185,217.5,-227.5,217.5,,,,,217.5,B,1,M,Multi-ply,,,,,,,,,,,,,,,,,,,,,,
Ryan Bell,16,M_TEM_2_APF,219.4,220,,,,,120,127.5,-137.5,127.5,,,,,127.5,B,1,M,Multi-ply,,,,,,,,,,,,,,,,,,,,,,
Joe Daigle,35,M_NEM_APF,179.8,181,,,,,100,105,110,105,,,,,105,B,1,M,Multi-ply,,,,,,,,,,,,,,,,,,,,,,
Carlton James Jr,31,M_NEM_APF,231.2,242,,,,,220,227.5,232.5,232.5,,,,,232.5,B,1,M,Multi-ply,,,,,,,,,,,,,,,,,,,,,,
David Smith,38,M_OEM_APF,164.4,165,,,,,192.5,202.5,207.5,207.5,,,,,207.5,B,1,M,Multi-ply,,,,,,,,,,,,,,,,,,,,,,
Craig Murrow,41,M_OEM_APF,253.2,275,,,,,-300,-320,-320,,,,,,,B,DQ,M,Multi-ply,,,,,,,,,,,,,,,,,,,,,,
Matt Broome,29,M_OEM_APF,179.2,181,,,,,,,,,185,207.5,-227.5,207.5,207.5,D,1,M,Raw,,,,,,,,,,,,,,,,,,,,,,
Vince Breaux,63,M_MEM_6_APF,215.2,220,,,,,,,,,240,255,-262.5,255,255,D,1,M,Multi-ply,,,,,,,,,,,,,,,,,,,,,,
