Name,Sex,Age,Division,BodyweightKg,WeightClassKg,Glossbrenner,Bench 1,Bench 2,Bench 3,Bench 4,Best3BenchKg,Deadlift 1,Deadlift 2,Deadlift 3,Deadlift 4,Best3DeadliftKg,TotalKg,Coeff Score,Age  & Coeff,Pl code,Tm Pts,Team,Event,Tested,Equipment,,,,,,,,,,,Place
Chaniece Hill,F,21,F_OR_AAPF,79.1,82.5,0.6949,35,37.5,-42.5,,37.5,90,97.5,102.5,,102.5,140,97.286,99.23172,1,#N/A,,SBD,Yes,Raw,,,,,,,,,,,1
JoAnn Shrier,F,65,F_MR_1_APF,65.1,67.5,0.8042,35,40,-42.5,,40,72.5,80,-85,,80,120,96.504,142.82592,1,#N/A,,SBD,,Raw,,,,,,,,,,,1
JoAnn Shrier,F,65,F_MR_1_AAPF,65.1,67.5,0.8042,35,40,-42.5,,40,72.5,80,-85,,80,120,96.504,142.82592,1,#N/A,,SBD,Yes,Raw,,,,,,,,,,,1
Katlyn Satterfield,F,21,F_JR_AAPF,59.2,60,0.8713,37.5,40,-45,,40,85,92.5,97.5,,97.5,137.5,119.80375,122.199825,1,#N/A,,SBD,Yes,Raw,,,,,,,,,,,1
Jose Garcia Jr,M,14,M_TR_1_AAPF,72.3,75,0.6843,52.5,-62.5,-62.5,,52.5,100,115,137.5,,137.5,190,130.017,159.92091,1,#N/A,,SBD,Yes,Raw,,,,,,,,,,,1
Dave Murphy,M,55,M_MR_4_APF,119.2,125,0.5277,75,110,137.5,,137.5,65,92.5,-182.5,,92.5,230,121.371,148.679475,1,#N/A,,SBD,,Raw,,,,,,,,,,,1
Paul Buckles,M,24,M_OR_AAPF,98.2,100,0.5586,140,155,-165,,155,215,-227.5,-227.5,,215,370,206.682,0,1,#N/A,,SBD,Yes,Raw,,,,,,,,,,,1
Masam Rooshantekr,M,28,M_OR_AAPF,108.7,110,0.5381,152.5,162.5,170,,170,250,265,275,,275,445,239.4545,0,1,#N/A,,SBD,Yes,Raw,,,,,,,,,,,1
Michael Cassin,M,25,M__AAPF,109,110,0.5377,205,-220,-220,,205,-300,0,0,,0,0,0,0,1,0,,SBD,Yes,Raw,,,,,,,,,,,1
Lupe Coronado,M,50,M_OR_APF,75,75,0.6645,160,172.5,182.5,,182.5,210,227.5,-235,,227.5,410,272.445,307.86285,1,#N/A,,SBD,,Raw,,,,,,,,,,,1
Ryan Michie,M,24,M__APF,100.2,110,0.5536,-182.5,-182.5,-182.5,,0,0,0,0,,0,0,0,0,1,0,,SBD,,Raw,,,,,,,,,,,1
Eric Lilliebridge,M,20,M_OR_APF,122.7,125,0.5241,200,215,230,,230,320,342.5,-365,,342.5,572.5,300.04725,309.0486675,1,#N/A,,SBD,,Raw,,,,,,,,,,,1
Allen Shy,M,28,M_OR_APF,139.3,140,0.5042,147.5,155,-165,,155,267.5,275,-285,,275,430,216.806,0,1,#N/A,,SBD,,Raw,,,,,,,,,,,1
Ernie Lilliebridge,M,38,M__APF,136.8,140,0.5069,200,215,-230,,215,0,0,0,,0,0,0,0,1,0,,SBD,,Raw,,,,,,,,,,,1
Allen Engreso,M,37,M_SR_AAPF,74.8,75,0.6659,115,125,-132.5,,125,197.5,212.5,-220,,212.5,337.5,224.74125,0,1,#N/A,,SBD,Yes,Raw,,,,,,,,,,,1
Zach Mayfield,M,20,M__APF,121.2,125,0.5258,-167.5,-167.5,-185,,0,207.5,230,-250,,230,0,0,0,1,0,,SBD,,Raw,,,,,,,,,,,1
Maclovio Hernandez,M,23,M_JR_AAPF,74.4,75,0.6687,117.5,125,-137.5,,125,205,217.5,-225,,217.5,342.5,229.02975,0,1,#N/A,,SBD,Yes,Raw,,,,,,,,,,,1
Ashir Isaakov,M,20,M_JR_AAPF,90.4,100,0.5838,97.5,102.5,-105,,102.5,190,200,202.5,,202.5,305,178.059,183.40077,1,#N/A,,SBD,Yes,Raw,,,,,,,,,,,1
Mike Cooper,M,18,M_TR_3_APF,113.9,125,0.5333,145,-150,-150,,145,220,230,-235,,230,375,199.9875,211.98675,1,#N/A,,SBD,,Raw,,,,,,,,,,,1
Emil Isaakov,M,18,M_TR_2_AAPF,64.6,67.5,0.7557,75,-80,-82.5,,75,127.5,135,-140,,135,210,158.697,168.21882,1,#N/A,,SBD,Yes,Raw,,,,,,,,,,,1
Daniel Herrera,M,17,M__AAPF,73.3,75,0.6767,-125,-125,-125,,0,0,0,0,,0,0,0,0,1,0,,SBD,Yes,Raw,,,,,,,,,,,1
Erich Spiewak,M,19,M_TR_2_AAPF,77.3,82.5,0.6492,107.5,-112.5,112.5,,112.5,155,162.5,-167.5,,162.5,275,178.53,185.6712,1,#N/A,,SBD,Yes,Raw,,,,,,,,,,,1
Fred Bellcastro,M,72,M_MR_5_AAPF,104.8,110,0.5441,102.5,-110,112.5,,112.5,61.21125,105.1609275,1,1-M-M5-A-110,,112.5,,,,,,B,Yes,Raw,,,,,,,,,,,1
Richard Derengowski,M,28,M_OEM_AAPF,85.5,90,0.6045,210,-227.5,227.5,,227.5,137.52375,0,1,1-M-O-A-90,,227.5,,,,,,B,Yes,Multi-ply,,,,,,,,,,,1
Kevin Farley,M,44,M_OEM_AAPF,100,100,0.554,210,217.5,-222.5,,217.5,120.495,125.676285,1,1-M-O-A-100,,217.5,,,,,,B,Yes,Multi-ply,,,,,,,,,,,1
John Lucas,M,53,M_MEM_3_AAPF,123.1,125,0.5236,237.5,247.5,252.5,,252.5,132.209,156.535456,1,1-M-M3-A-125,,252.5,,,,,,B,Yes,Multi-ply,,,,,,,,,,,1
Richard Derengowski,M,28,M_OEM_APF,85.5,90,0.6045,210,-227.5,227.5,,227.5,137.52375,0,1,1-M-O-90,,227.5,,,,,,B,,Multi-ply,,,,,,,,,,,1
Sam Borrego,M,25,M_OEM_APF,96.6,100,0.563,205,215,227.5,,227.5,128.0825,0,1,1-M-O-100,,227.5,,,,,,B,,Multi-ply,,,,,,,,,,,1
Corey Aakers,M,35,M_OEM_APF,108,110,0.5391,307.5,-320,-320,,307.5,165.77325,0,1,1-M-O-110,,307.5,,,,,,B,,Multi-ply,,,,,,,,,,,1
Zak Kroeger,M,34,M_OEM_APF,109.8,110,0.5367,260,-272.5,-272.5,,260,139.542,0,1,2-M-O-110,,260,,,,,,B,,Multi-ply,,,,,,,,,,,2
Pete Arroyo,M,31,M_OEM_APF,121.9,125,0.5261,292.5,-300,300,,300,157.83,0,1,1-M-O-125,,300,,,,,,B,,Multi-ply,,,,,,,,,,,1
Kevin Farley,M,44,M_MEM_1_AAPF,100,100,0.554,210,217.5,-222.5,,217.5,120.495,125.676285,1,1-M-M1-A-100,,217.5,,,,,,B,Yes,Multi-ply,,,,,,,,,,,1
Mike Rooshantekr,M,20,M_JR_AAPF,98.6,100,0.5575,165,175,-182.5,,175,97.5625,100.489375,1,1-M-J-A-100,,175,,,,,,B,Yes,Raw,,,,,,,,,,,1
Lynn Brault,F,30,F_OR_AAPF,64.2,67.5,0.8137,155,-165,-165,,,126.1235,0,1,1-F-O-A-67.5,155,155,,,,,,D,Yes,Raw,,,,,,,,,,,1
Stacey Traylor-Hunt,F,31,F_OR_AAPF,67.6,75,0.7777,102.5,127.5,142.5,,,110.82225,0,1,1-F-O-A-75,142.5,142.5,,,,,,D,Yes,Raw,,,,,,,,,,,1
Gregory Kleyn,M,58,M_MR_4_AAPF,77.9,82.5,0.6517,235,255,-267.5,,,166.1835,214.5428985,1,1-M-M4-A-82.5,255,255,,,,,,D,Yes,Raw,,,,,,,,,,,1
Gregory Kleyn,M,58,M_OR_AAPF,77.9,82.5,0.6517,235,255,-267.5,,,166.1835,214.5428985,1,1-M-O-A-82.5,255,255,,,,,,D,Yes,Raw,,,,,,,,,,,1
Steve Poniatowski,M,54,M_MR_3_APF,91.4,100,0.5801,157.5,190,200,,,116.02,139.68808,1,1-M-M3-100,200,200,,,,,,D,,Raw,,,,,,,,,,,1
Perry Shwachman,M,49,M_MR_2_AAPF,70.1,75,0.7022,137.5,155,162.5,,,114.1075,127.0016475,1,1-M-M2-A-75,162.5,162.5,,,,,,D,Yes,Raw,,,,,,,,,,,1
Ryan Brault,M,33,M_SR_AAPF,97.2,100,0.5613,250,265,-270,,,148.7445,0,1,1-M-SM-A-100,265,265,,,,,,D,Yes,Raw,,,,,,,,,,,1
