29-Oct-11,Rise of the DL Beast Bench -Kg Results,,,,,,,,,,,,,,,,,,,
Name,Age,WtCls (Kg),Best Bench,Best Deadlift,Push Pull Total,Coeff Score,Age  & Coeff,Pl-Div-WtCl,,,,,,,,,,,,
Lynn Bielski,31,67.5,60,160,220,189.266,0,1-F-AOR-67.5,,,,,,,,,,,,
Nicole Wenzel,33,82.5,52.5,117.5,170,115.668,0,1-F-AOR-82.5,,,,,,,,,,,,
Divale Roberson,21,67.5,122.5,215,337.5,245.6325,250.54515,1-M-AJ -67.5,,,,,,,,,,,,
Nick Frazzetta,48,125,167.5,245,412.5,217.59375,238.7003438,1-M-M2R-125,,,,,,,,,,,,
Dave Mueller,41,140,167.5,240,407.5,205.6245,207.680745,1-M-M1R-140,,,,,,,,,,,,
Josh Anderson,33,140,195,260,455,231.9135,0,1-M-SMR-140,,,,,,,,,,,,
Jared Vestal 2,28,75,102.5,250,352.5,235.22325,0,1-M-OR-75,,,,,,,,,,,,
Andrew Dyreson,26,90,147.5,257.5,405,238.0185,0,1-M-OR-90,,,,,,,,,,,,
Tommy Kane,23,100,162.5,265,427.5,240.3405,0,1-M-OR-100,,,,,,,,,,,,
Paul Gonzalez,28,100,142.5,240,382.5,212.67,0,2-M-OR-100,,,,,,,,,,,,
Joe Orsini,23,110,140,245,385,208.1695,0,1-M-OR-110,,,,,,,,,,,,
Lyle Blundell Jr.,25,110,160,190,350,187.775,0,2-M-OR-110,,,,,,,,,,,,
Patrick Regan,31,125,195,265,460,245.686,0,1-M-OR-125,,,,,,,,,,,,
Erik Lewis,26,SHW,212.5,342.5,555,279.1095,0,1-M-OR-SHW,,,,,,,,,,,,
Terry Davis,55,125,147.5,245,392.5,205.7485,252.0419125,1-M-AM4R-125,,,,,,,,,,,,
Michael Large,34,90,115,205,320,187.68,0,1-M-ASMR-90,,,,,,,,,,,,
Michael Robinson 2,50,67.5,120,207.5,327.5,241.26925,272.6342525,1-M-AM3R-67.5,,,,,,,,,,,,
Howard Penrose,45,SHW,145,190,335,165.9925,175.1220875,1-M-AM2R-SHW,,,,,,,,,,,,
Richard Haas,41,140,185,227.5,412.5,213.0975,215.228475,1-M-AM1R-140,,,,,,,,,,,,
Brent Hronik,21,75,95,175,270,182.898,186.55596,1-M-AJR-75,,,,,,,,,,,,
Jordan Hines,21,90,172.5,240,412.5,241.43625,246.264975,1-M-AJR-90,,,,,,,,,,,,
Adam Hines,22,110,157.5,240,397.5,218.7045,220.891545,1-M-AJR-110,,,,,,,,,,,,
Zach Fowler,21,125,150,250,400,209.8,213.996,1-M-AJR-125,,,,,,,,,,,,
Michael Robinson,50,67.5,120,207.5,327.5,241.26925,272.6342525,1-M-AOR-67.5,,,,,,,,,,,,
Jared Vestal,28,75,102.5,250,352.5,235.22325,0,1-M-AOR-75,,,,,,,,,,,,
Maclovio Hernandez,24,75,127.5,200,327.5,221.61925,0,2-M-AOR-75,,,,,,,,,,,,
Jason Dreyer,30,82.5,152.5,232.5,385,243.012,0,1-M-AOR-82.5,,,,,,,,,,,,
Eric Stone,28,82.5,127.5,215,342.5,213.54875,0,2-M-AOR-82.5,,,,,,,,,,,,
Ray Kriz,25,82.5,95,152.5,247.5,156.519,0,3-M-AOR-82.5,,,,,,,,,,,,
Andy Hagans,28,100,95,0,0,0,0,0,,,,,,,,,,,,
Masam Rooshanfekr,29,110,172.5,265,437.5,235.41875,0,1-M-AOR-110,,,,,,,,,,,,
Jeremy Hines,25,125,227.5,327.5,555,291.9855,0,1-M-AOR-125,,,,,,,,,,,,
Mitch Davis,26,125,180,290,470,246.938,0,2-M-AOR-125,,,,,,,,,,,,
Shane Cohan,16,90,120,215,335,199.526,225.46438,1-M-AT3R-90,,,,,,,,,,,,
Austin Pollack,19,140,185,275,460,236.072,245.51488,1-M-AT3R-140,,,,,,,,,,,,
Grant Shea,15,60,80,150,230,197.731,233.32258,1-M-AT1R-60,,,,,,,,,,,,
Gabe Kent,13,100,110,140,250,139.65,#N/A,1-M-AT1R-100,,,,,,,,,,,,
Tony Chirico,41,110,250,292.5,542.5,291.48525,294.4001025,1-M-M1-110,,,,,,,,,,,,
Anthony Suriano,31,90,0,0,0,0,0,0,,,,,,,,,,,,
Tim Filus,29,110,172.5,287.5,460,248.63,0,1-M-O-110,,,,,,,,,,,,
Byron Hicks,34,125,250,300,550,289.19,0,1-M-O-125,,,,,,,,,,,,
Wiley Rung,30,140,237.5,272.5,510,260.253,0,1-M-O-140,,,,,,,,,,,,
Michael Bratta,25,100,237.5,240,477.5,265.49,0,1-M-A0-100,,,,,,,,,,,,
Joe Atef,35,125,297.5,305,602.5,316.37275,0,1-M-A0-125,,,,,,,,,,,,
John Ponzetti,47,75,125,205,330,221.859,240.051438,1-M-AM2-75,,,,,,,,,,,,
Alex Trinidad,18,67.5,112.5,202.5,315,232.0605,245.98413,1-M-AT3-67.5,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
29-Oct-11,Rise of the DL Beast Bench -Kg Results,,,,,,,,,,,,,,,,,,,
Name,Age,WtCls (Kg),Glossbrenner,Best Bench,Coeff Score,Age  & Coeff,Pl-Div-WtCl,,,,,,,,,,,,,
Jaime Hernandez,36,75,0.6835,130,88.855,0,1-M-SMR-75,,,,,,,,,,,,,
Chris Hartman,26,140,0.5061,202.5,102.48525,0,1-M-OR-140,,,,,,,,,,,,,
Paul Maiuzzo,39,SHW,0.4977,0,0,0,0,,,,,,,,,,,,,
Iosif Plagov,76,67.5,0.7327,87.5,64.11125,120.272705,1-M-AM6R-67.5,,,,,,,,,,,,,
Fredrick Shubayev,72,90,0.5918,102.5,60.6595,104.213021,1-M-AM5R--90,,,,,,,,,,,,,
Paul Rupright,57,SHW,0.4926,222.5,109.6035,138.977238,1-M-AM4R-SHW,,,,,,,,,,,,,
