Name,Sex,Division,,WeightClassKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Equipment,Event,Tested,Place
Gabriel Lewin,M,M_JR_APF,JR,75,95,90,150,335,Raw,SBD,,1
Gabriel Lewin,M,M_JR_AAPF,JR,75,95,90,150,335,Raw,SBD,Yes,1
Corey Grund,M,M_OR_APF,OR,90,202.5,155,235,592.5,Raw,SBD,,1
Bryan Torres,M,M_JR_APF,JR,90,170,105,200,475,Raw,SBD,,1
Bryan Torres,M,M_JR_AAPF,JR,90,170,105,200,475,Raw,SBD,Yes,1
Cody Fanner,M,M_JR_APF,JR,110,200,120,215,535,Raw,SBD,,1
Cody Fanner,M,M_JR_AAPF,JR,110,200,120,215,535,Raw,SBD,Yes,1
Arthur Papiyan,M,M_TR_2_APF,TR_2,110,130,95,185,410,Raw,SBD,,1
Arthur Papiyan,M,M_TR_2_AAPF,TR_2,110,130,95,185,410,Raw,SBD,Yes,1
Steve Tamerius,M,M_MEM_5_APF,MEM_5,67.5,,110,,110,Multi-ply,B,,1
Steve Tamerius,M,M_MEM_5_AAPF,MEM_5,67.5,,110,,110,Multi-ply,B,Yes,1
Jimmy Taylor,M,M_TR_1_APF,TR_1,67.5,,87.5,,87.5,Raw,B,,1
Jimmy Taylor,M,M_TR_1_AAPF,TR_1,67.5,,87.5,,87.5,Raw,B,Yes,1
Ken Thunberg,M,M_MR_2_APF,MR_2,100,,182.5,,182.5,Raw,B,,1
Ken Thunberg,M,M_MR_2_AAPF,MR_2,100,,182.5,,182.5,Raw,B,Yes,1
Ken Tawzer,M,M_MEM_4_APF,MEM_4,125,,200,,200,Multi-ply,B,,1
Ken Tawzer,M,M_MEM_4_AAPF,MEM_4,125,,200,,200,Multi-ply,B,Yes,1
Bruce Darley,M,M_MEM_2_APF,MEM_2,140,,230,,230,Multi-ply,B,,1
Bruce Darley,M,M_MEM_2_AAPF,MEM_2,140,,230,,230,Multi-ply,B,Yes,1
Robert Bullock,M,M_MEM_2_APF,MEM_2,140+,,205,,205,Multi-ply,B,,1
Greg Friedman,M,M_OR_APF,OR,82.5,,,230,230,Raw,D,,1
Greg Friedman,M,M_OR_AAPF,OR,82.5,,,230,230,Raw,D,Yes,1
Joe Segura,M,M_JR_APF,JR,100,,,197.5,197.5,Raw,D,,1
