Name,Sex,Division,Equipment,Event,WeightClassLBS,Best3SquatLBS,Best3BenchLBS,Best3DeadliftLBS,TotalLBS,Place
William Clark,M,16-17,Raw,B,308+,,430,,430,1
Devlin McMannis,M,40-44,Raw,B,220,,430,,430,1
John Kelly,M,45-49,Multi-ply,B,308,,500,,500,1
Kenneth Chambliss,M,Junior,Multi-ply,B,181,,400,,400,1
Brian Carter,M,Junior,Raw,B,148,,250,,250,2
Robert Vogelsang,M,Junior,Raw,B,275,,320,,320,1
Dale Menefee,M,Open,Multi-ply,B,220,,500,,500,1
Greg Mullins,M,Open,Raw,B,181,,405,,405,1
Homer Hardbarger,M,Open,Raw,B,275,,430,,430,1
Jon Elick,M,Open,Raw,B,220,,465,,465,1
Jon Elick,M,Submaster,Raw,B,220,,465,,465,1
Dale Menefee,M,40-44,Multi-ply,D,220,,,550,550,1
Robert Vogelsang,M,Junior,Raw,D,275,,,450,450,2
Kenneth Chambliss,M,Junior,Raw,D,181,,,465,465,1
