Name,Age,Division,BodyweightLBS,WeightClassLBS,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Sex,Event,Tested,Equipment,Place
Stephanie Meinke,23,F-J,119.8,123,127.5,87.5,120,335,F,SBD,,Wraps,1
Heather Young,23,F-JRA,189.4,198,105,55,117.5,277.5,F,SBD,Yes,Raw,1
Yuxin Hao,44,F-M1,105,105,,82.5,,82.5,F,B,,Raw,1
Yuxin Hao,44,F-M1,105,105,,,137.5,137.5,F,D,,Raw,1
DeLeigh Haley,41,F-M1R,143,148,75,45,115,235,F,SBD,,Raw,1
Dana Wiggins,47,F-M2A,176.2,181,,67.5,,67.5,F,B,Yes,Raw,1
Dana Wiggins,47,F-M2A,176.2,181,,,97.5,97.5,F,D,Yes,Raw,1
Cher Smalling,45,F-M2R,123,123,57.5,32.5,92.5,182.5,F,SBD,,Raw,1
Robin Pacholder,45,F-M2RA,122,123,100,62.5,142.5,305,F,SBD,Yes,Raw,1
Cindy Sermeno,30,F-OR,173.4,181,130,77.5,150,357.5,F,SBD,,Raw,1
Robin Pacholder,45,F-ORA,122,123,100,62.5,142.5,305,F,SBD,Yes,Raw,1
Cindy Sermeno,30,F-ORA,173.4,181,130,77.5,150,357.5,F,SBD,Yes,Raw,1
Vana Springer,18,F-T3,112.2,114,135,70,115,320,F,SBD,,Wraps,1
Blaine Macias,11,M-G,99.8,114,75,35,92.5,202.5,M,SBD,,Wraps,1
John Rendon,21,M-J,198.2,198,215,112.5,192.5,520,M,SBD,,Wraps,1
Donald Watson,41,M-M1,176.2,181,172.5,165,192.5,530,M,SBD,,Wraps,1
Fred Choate,42,M-M1,192,198,,,,,M,SBD,,Wraps,DQ
Thomas Dugan,41,M-M1,219.6,220,240,157.5,227.5,625,M,SBD,,Wraps,2
Mike Dugan,44,M-M1,219,220,292.5,215,280,787.5,M,SBD,,Wraps,1
Tim Nack,43,M-M1,232.4,242,260,172.5,255,687.5,M,SBD,,Wraps,1
Alan Borden,44,M-M1,277,308,,170,,170,M,B,,Raw,1
Darren Turley,44,M-M1A,289.6,308,455,292.5,300,1047.5,M,SBD,Yes,Wraps,1
Paul Slusser,40,M-M1R,240,242,185,102.5,250,537.5,M,SBD,,Raw,1
Dan Foreman,41,M-M1R,364.4,308+,220,150,250,620,M,SBD,,Raw,1
Chris Young,42,M-M1RA,181,181,152.5,102.5,205,460,M,SBD,Yes,Raw,1
Jerry Torres,45,M-M2,240.8,242,185,102.5,192.5,480,M,SBD,,Wraps,1
Mark Nussell,45,M-M2A,176.8,181,,150,,150,M,B,Yes,Raw,1
Bob Doan,46,M-M2R,163.6,165,115,75,155,345,M,SBD,,Raw,1
Benny Jaramillo,45,M-M2R,271.6,275,182.5,125,182.5,490,M,SBD,,Raw,1
John Solleder,51,M-M3,272.4,275,,152.5,,152.5,M,B,,Raw,1
Mike Mercer,54,M-M3R,219.4,220,,195,,195,M,B,,Raw,1
Mike Mercer,54,M-M3RA,219.4,220,,195,,195,M,B,Yes,Raw,1
Roy Thelin,54,M-M3RA,285.4,308,,165,,165,M,B,Yes,Raw,1
Ralph Eckley,61,M-M5,226.8,242,175,92.5,152.5,420,M,SBD,,Wraps,1
Warnie Daniel,26,M-O,131.8,132,182.5,87.5,190,460,M,SBD,,Wraps,1
Levi Bamber,19,M-O,146,148,280,185,227.5,692.5,M,SBD,,Wraps,1
Bryan Chatwell,33,M-O,164.8,165,220,155,215,590,M,SBD,,Wraps,1
Chad Buckles,34,M-O,181,181,257.5,175,260,692.5,M,SBD,,Wraps,1
Adam Korenke,32,M-O,198,198,322.5,205,272.5,800,M,SBD,,Wraps,1
Tim Mattison,38,M-O,268.6,275,250,225,227.5,702.5,M,SBD,,Wraps,2
Matthew Nelson,26,M-O,268.8,275,340,205,285,830,M,SBD,,Wraps,1
Jeremy Schraw,24,M-O,273.4,275,,,,,M,SBD,,Wraps,DQ
Henry Thomason,33,M-O,308.4,308,,,,,M,SBD,,Wraps,DQ
Matt Hinkle,24,M-O,386.6,308+,280,150,255,685,M,SBD,,Wraps,1
Mike Gonzalez,35,M-OA,258,275,237.5,175,265,677.5,M,SBD,Yes,Wraps,1
Stephen Ancira,32,M-OA,260.4,275,365,,250,,M,SBD,Yes,Wraps,DQ
Chuck Krutilis,32,M-OR,198,198,285,170,295,750,M,SBD,,Raw,1
Nicholas Tuttle,29,M-OR,195.6,198,137.5,,192.5,,M,SBD,,Raw,DQ
Isaac Lopez,32,M-OR,221.7,242,150,115,177.5,442.5,M,SBD,,Raw,1
Jonathan Helm,26,M-OR,349.8,308+,235,175,300,710,M,SBD,,Raw,1
Zachary Lewis,24,M-ORA,144,148,165,125,182.5,472.5,M,SBD,Yes,Raw,1
Jon Oplotnik,29,M-ORA,198,198,170,100,232.5,502.5,M,SBD,Yes,Raw,3
Bill Sermeno,32,M-ORA,196.2,198,187.5,117.5,232.5,537.5,M,SBD,Yes,Raw,2
Craig Koffler,32,M-ORA,198,198,197.5,182.5,237.5,617.5,M,SBD,Yes,Raw,1
Max Trevino,38,M-SR,239.6,242,,125,,125,M,B,,Raw,1
Max Trevino,38,M-SRA,239.6,242,,125,,125,M,B,Yes,Raw,1
Alex Gay,15,M-T1R,176.8,181,,97.5,,97.5,M,B,,Raw,1
Alex Gay,15,M-T1R,176.8,181,,,182.5,182.5,M,D,,Raw,1
Austin Ellis,16,M-T2A,130.8,132,137.5,77.5,162.5,377.5,M,SBD,Yes,Wraps,1
Damon Jaramillo,17,M-T2RA,307.4,308,,127.5,182.5,,M,SBD,Yes,Raw,DQ
Marc Gresham,19,M-T3R,278.8,308,220,152.5,265,637.5,M,SBD,,Raw,1
Chris Choate,19,M-T3RA,174.6,181,115,90,162.5,367.5,M,SBD,Yes,Raw,1
