Name,Age,Equipment,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Event,Tested,Sex
Ally Peterson,20,Raw,F_NR_APF,58.29,60,,,,,,,,,112.5,122.5,127.5,127.5,127.5,D,,F
Michele Grove,20,Raw,F_NR_APF,80.29,82.5,,,,,,,,,127.5,137.5,142.5,142.5,142.5,D,,F
David Bracken,50,Raw,M_MR_3_AAPF,58.97,60,112.5,122.5,132.5,132.5,72.5,85,90,90,137.5,142.5,150,150,372.5,SBD,Yes,M
David Bracken,50,Raw,M_MR_3_AAPF,58.97,60,112.5,122.5,132.5,132.5,72.5,85,90,90,137.5,142.5,150,150,372.5,B,Yes,M
David Bracken,50,Raw,M_OR_AAPF,58.97,60,112.5,122.5,132.5,132.5,72.5,85,90,90,137.5,142.5,150,150,372.5,SBD,Yes,M
David Bracken,50,Raw,M_OR_AAPF,58.97,60,112.5,122.5,132.5,132.5,72.5,85,90,90,137.5,142.5,150,150,372.5,B,Yes,M
Jake Belnap,19,Raw,M_TR_3_AAPF,64.64,67.5,135,142.5,150,150,90,100,110,110,-170,-170,170,170,430,SBD,Yes,M
Pamola Kennedy,41,Raw,F_MR_1_AAPF,112.26,90+,125,142.5,-155,142.5,72.5,82.5,87.5,87.5,147.5,165,-182.5,165,395,SBD,Yes,F
Jason Gonzalez,22,Raw,M_JR_AAPF,65.09,67.5,142.5,-162.5,-162.5,142.5,112.5,127.5,-130,127.5,150,165,-182.5,165,435,SBD,Yes,M
Remick Underwood,28,Raw,M_NR_APF,81.19,82.5,130,150,170,170,93,105,-125,105,165,175,-185,175,450,SBD,,M
Jon Cunningham,52,Raw,M_MR_3_APF,78.93,82.5,,,,,140,145,147.5,147.5,165,185,190,190,337.5,,,M
Jon Cunningham,52,Raw,M_OR_APF,78.93,82.5,,,,,140,145,147.5,147.5,165,185,190,190,337.5,BD,,M
Calvin Ho,19,Raw,M_NR_APF,81.65,82.5,155,162.5,182.5,182.5,112.5,122.5,-130,122.5,195,212.5,-220,212.5,517.5,SBD,,M
Joshua Maw,20,Raw,M_NR_APF,94.35,100,182.5,-197.5,197.5,197.5,125,-137.5,132.5,132.5,227.5,242.5,250,250,580,SBD,,M
Jon Skinner,30,Raw,M_OR_AAPF,139.25,140,205,227.5,245,245,200,-210,-210,200,250,282.5,-287.5,282.5,727.5,SBD,Yes,M
Jon Skinner,30,Raw,M_OR_AAPF,139.25,140,,,,,200,-210,-210,200,,,,,200,B,Yes,M
Jon Skinner,30,Raw,M_OR_AAPF,139.25,140,,,,,,,,,250,282.5,-287.5,282.5,282.5,D,Yes,M
Arron Chavez,42,Raw,M_MR_1_AAPF,142.2,140+,,,,,,,,,265,-295,295,295,295,D,Yes,M
Arron Chavez,42,Raw,M_MR_1_APF,142.2,140+,,,,,,,,,265,-295,295,295,295,D,,M
Brett Cutler,23,Raw,M_JR_APF,103.65,110,182.5,200,,200,135,-150,-155,135,207.5,215,,215,550,SBD,,M
Alan Ford,49,Raw,M_MR_2_AAPF,78.93,82.5,,,,,-102.5,110,-115,110,,,,,110,B,Yes,M
Chris Williams,55,Raw,M_MR_4_AAPF,80.51,82.5,,,,,122.5,-127.5,-127.5,122.5,,,,,122.5,B,Yes,M
Ti Dyphilane,37,Raw,M_OR_AAPF,72.8,75,,,,,-135,-137.5,140,140,,,,,140,B,Yes,M
Anthony Whytock,28,Raw,M_OR_APF,79.38,82.5,,,,,137.5,147.5,-152.5,147.5,,,,,147.5,B,,M
Zach Sanders,29,Raw,M_OR_AAPF,96.62,100,,,,,-172.5,-172.5,-172.5,,,,,,0,B,Yes,M
Carson Stroh,18,Raw,M_TR_3_AAPF,121.56,125,,,,,-165,165,-175,165,,,,,165,B,Yes,M
Paul Andrus,37,Raw,M_OR_APF,92.76,100,,,,,190,-197.5,-200,190,,,,,190,B,,M
