Name,Sex,BodyweightKg,Best3SquatLBS,Best3BenchLBS,Best3DeadliftLBS,TotalLBS,Place,Equipment,Event
Brittney Durant,F,54.1,85,95,195,375,1,Single-ply,SBD
Savannah Lavergne,F,56.7,135,65,135,335,1,Single-ply,SBD
Sawyer Ryder,F,67.5,300,125,335,760,1,Single-ply,SBD
Bailey Spurgeon,F,70.7,265,100,305,670,1,Single-ply,SBD
Hailey Taylor,F,75.4,245,130,280,655,1,Single-ply,SBD
Madison Feazell,F,95.5,300,105,320,725,1,Single-ply,SBD
Blair Norris,F,43.7,200,115,215,530,1,Single-ply,SBD
Alexis Wiley,F,47.8,270,120,265,655,1,Single-ply,SBD
Alexis Adams,F,47.2,225,135,285,645,2,Single-ply,SBD
Amber Laborde,F,46.3,250,110,245,605,3,Single-ply,SBD
Charity Winfield,F,46.6,220,90,225,535,4,Single-ply,SBD
Olivia Nev,F,48,185,85,220,490,5,Single-ply,SBD
Lynnsey Lioret,F,46.8,165,100,205,470,6,Single-ply,SBD
Skylar Hebert,F,47.2,155,80,195,430,7,Single-ply,SBD
Catherine Bonaventure,F,45.8,160,55,115,330,8,Single-ply,SBD
Elise Wellinger,F,51.9,175,90,220,485,1,Single-ply,SBD
Rebekah Ryder,F,50.8,160,100,220,480,2,Single-ply,SBD
Haley Lejeune,F,51.1,160,80,220,460,3,Single-ply,SBD
Alyssa Kline,F,54.4,255,115,270,640,1,Single-ply,SBD
Alexis Joffrion,F,55.4,200,100,260,560,2,Single-ply,SBD
Jillian Chenevert,F,54.1,125,80,180,385,3,Single-ply,SBD
Claire Chenever,F,54.4,130,75,165,370,4,Single-ply,SBD
Ashtyn Knapp,F,54,,,,,DQ,Single-ply,SBD
Abbi Turner,F,59.8,245,125,215,585,1,Single-ply,SBD
Leah Eichehaver,F,59.3,245,110,210,565,2,Single-ply,SBD
Morgan Boudreaux,F,58.2,200,110,195,505,3,Single-ply,SBD
Tyler Grezaffi,F,59,200,85,205,490,4,Single-ply,SBD
Sarah Potts,F,58,175,80,200,455,5,Single-ply,SBD
Reagan Cress,F,63.4,350,200,330,880,1,Single-ply,SBD
Bobbi Mills,F,64.5,300,180,295,775,2,Single-ply,SBD
Cheyenne Joffrion,F,63.7,300,180,285,765,3,Single-ply,SBD
Jaquan Collins,F,63.2,235,100,255,590,4,Single-ply,SBD
Heather Smith,F,64.1,220,110,255,585,5,Single-ply,SBD
Charlie Chenevert,F,61.6,200,120,215,535,6,Single-ply,SBD
Brianna Hutson,F,66.5,165,90,185,440,7,Single-ply,SBD
Raegan Willis,F,69.5,405,200,420,1025,1,Single-ply,SBD
Destiny Barragan,F,71.4,275,165,300,740,2,Single-ply,SBD
Molly Leonards,F,71.5,225,190,215,630,3,Single-ply,SBD
Madison Bryant,F,73,225,115,240,580,4,Single-ply,SBD
Carley Norris,F,73.9,220,115,235,570,5,Single-ply,SBD
Blayne Butter,F,69.3,195,100,200,495,6,Single-ply,SBD
Rebecca Brown,F,72.2,115,85,170,370,7,Single-ply,SBD
Lakeisha Wheeler,F,77.1,270,130,260,660,1,Single-ply,SBD
Sydney Beauvais,F,76.4,205,105,180,490,2,Single-ply,SBD
Chandler Lejeune,F,88.7,340,155,315,810,1,Single-ply,SBD
Victoria Lavespere,F,86.3,265,115,250,630,2,Single-ply,SBD
Chloe Howard,F,88.3,240,120,250,610,3,Single-ply,SBD
Sarah Livingston,F,88.4,220,115,225,560,4,Single-ply,SBD
Miranda Miller,F,83.6,,,,,DQ,Single-ply,SBD
Sarha Novak,F,91.6,405,205,315,925,1,Single-ply,SBD
Kenyeshia Williams,F,99.9,305,150,285,740,2,Single-ply,SBD
Daphney Jarreau,F,98.4,250,115,315,680,3,Single-ply,SBD
Breanna Gurzynshi,F,142.6,505,250,355,1110,1,Single-ply,SBD
Casey Riche,F,111.3,360,155,345,860,2,Single-ply,SBD
Tylee Deville,F,128.3,315,100,285,700,3,Single-ply,SBD
Megan Potts,F,137.4,215,,,,DQ,Single-ply,SBD
Connor Martin,M,44.9,180,75,205,460,1,Single-ply,SBD
Tyler Melancon,M,46,160,80,190,430,2,Single-ply,SBD
Garrett Lofton,M,67,270,135,350,755,1,Single-ply,SBD
Ryan Jordan,M,73.2,360,175,340,875,1,Single-ply,SBD
Sid Ridgell,M,72.3,290,140,295,725,2,Single-ply,SBD
Tyler Flynn,M,86.2,305,160,365,830,1,Single-ply,SBD
Bryce Clark,M,89.2,230,155,225,610,2,Single-ply,SBD
Austin Souiler,M,114.4,365,300,455,1120,1,Single-ply,SBD
Tanner Bolton,M,130.8,420,215,450,1085,1,Single-ply,SBD
Matt Leleux,M,51.6,315,155,315,785,1,Single-ply,SBD
Jude Ringo,M,48.4,230,130,220,580,2,Single-ply,SBD
Tyler Adams,M,55.4,320,190,370,880,1,Single-ply,SBD
Landon Benton,M,54.2,255,140,255,650,2,Single-ply,SBD
Jimmy Clarius,M,58.3,300,150,375,825,1,Single-ply,SBD
