Name,Tested,Age,WeightClassKg,BodyweightKg,Division,Equipment,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Event,Sex,Place
Bethany Barrett,,19,56,52.4,F-RT3-APF,Raw,65,50,,,SBD,F,DQ
Alyssa Kroll,Yes,19,67.5,63.4,F-RT3-AAPF,Raw,85,80,125,290,SBD,F,1
Collette Smith,Yes,22,52,51.4,F-RJR-AAPF,Raw,75,52.5,120,247.5,SBD,F,1
Katelyn Prawitt,,23,75,71.8,F-RJR-APF,Raw,100,60,137.5,297.5,SBD,F,1
Collette Smith,Yes,30,52,51.4,F-RO-AAPF,Raw,75,52.5,120,247.5,SBD,F,1
Kasey Smith,,26,56,55,F-RO-APF,Raw,95,75,140,310,SBD,F,1
Daniela Des Islets,Yes,26,67.5,63,F-RO-AAPF,Raw,100,60,115,275,SBD,F,2
Heather Otto,Yes,35,67.5,64.6,F-RO-AAPF,Raw,85,67.5,127.5,280,SBD,F,1
Heidi Saavedra,,34,82.5,79.6,F-RO-APF,Raw,112.5,70,145,327.5,SBD,F,2
Jamie Toone,,26,82.5,81.2,F-RO-APF,Raw,77.5,77.5,107.5,262.5,SBD,F,3
Taylor Porter,,30,82.5,80,F-RO-APF,Raw,152.5,80,147.5,380,SBD,F,1
Joshua LaRe,Yes,19,67.5,66.3,M-RT3-AAPF,Raw,135,100,195,430,SBD,M,1
Joseph Harbold,Yes,21,82.5,80.3,M-RJR-AAPF,Raw,172.5,105,260,537.5,SBD,M,1
Joseph Harbold,,21,82.5,80.3,M-RJR-APF,Raw,172.5,105,260,537.5,SBD,M,1
Joseph Kasongo,,24,82.5,79.1,M-RO-APF,Raw,105,102.5,170,377.5,SBD,M,1
Tanner Wendel,Yes,21,90,86.1,M-RJR-AAPF,Raw,200,145,257.5,602.5,SBD,M,1
Jacob Lucas,,22,90,88.6,M-RJR-APF,Raw,282.5,177.5,295,755,SBD,M,1
Houstin Schroff,Yes,21,100,95.5,M-RJR-AAPF,Raw,197.5,152.5,227.5,577.5,SBD,M,1
Houstin Schroff,,21,100,95.5,M-RJR-APF,Raw,197.5,152.5,227.5,577.5,SBD,M,2
John Jensen,,21,100,97.1,M-RJR-APF,Raw,230,125,265,620,SBD,M,1
Carlos Longo,,22,110,102.9,M-RJR-APF,Raw,125,75,197.5,397.5,SBD,M,1
Ethan Radin,Yes,25,75,73.5,M-RO-AAPF,Raw,200,147.5,240,587.5,SBD,M,1
Jacob Lucas,,30,90,88.6,M-RO-APF,Raw,282.5,177.5,295,755,SBD,M,1
Devon Parcell,Yes,37,100,98.1,M-RO-AAPF,Raw,182.5,157.5,220,560,SBD,M,1
Devon Parcell,,37,100,98.1,M-RO-APF,Raw,182.5,157.5,220,560,SBD,M,1
Scott Almquist,,28,100,91.5,M-RO-APF,Raw,172.5,102.5,242.5,517.5,SBD,M,2
Devon Parcell,Yes,37,100,98.1,M-RSM-AAPF,Raw,182.5,157.5,220,560,SBD,M,1
Devon Parcell,,37,100,98.1,M-RSM-AAPF,Raw,182.5,157.5,220,560,SBD,M,2
Yennhi Hoang,Yes,20,67.5,61.2,F-CRJR-AAPF,Wraps,80,52.5,120,252.5,SBD,F,1
Morgan Reiley,,20,75,73.7,F-CRJR-APF,Wraps,125,57.5,127.5,310,SBD,F,1
Abby Christensen,Yes,37,67.5,67.4,F-CRO-AAPF,Wraps,110,67.5,135,312.5,SBD,F,1
Elsie Christensen,,35,67.5,67.2,F-CRO-APF,Wraps,100,52.5,137.5,290,SBD,F,1
Amber Skewes,Yes,35,60,59.8,F-CRSM-AAPF,Wraps,100,55,140,295,SBD,F,1
Melissa Lefler,,38,60,59.2,F-CRSM-APF,Wraps,110,57.5,130,297.5,SBD,F,1
Leslie Faragher,,33,67.5,65.8,F-CRSM-APF,Wraps,130,70,132.5,332.5,SBD,F,1
Angie Adams,,42,67.5,65.4,F-CRM1-APF,Wraps,90,55,,,SBD,F,DQ
Jeremy Evans,Yes,20,82.5,79.7,M-CRJR-AAPF,Wraps,135,122.5,185,442.5,SBD,M,1
Colton Powell,Yes,22,90,87.7,M-CRJR-AAPF,Wraps,175,120,180,475,SBD,M,1
