Place,Name,Sex,Division,BodyWeightKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Event,Division,Equipment
1,Jordan Hagstette,F,F_OR_APF,54.3,87.5,35,100,222.5,SBD,F,Raw
1,Ashia Lavergne,F,F_OR_APF,65,87.5,42.5,112.5,242.5,SBD,F,Raw
2,Dalgis Mesa,F,F_OR_APF,62.3,87.5,42.5,102.5,232.5,SBD,F,Raw
1,Sarah Crews,F,F_OCR_APF,76.8,112.5,62.5,150,325,SBD,F,Wraps
1,Debrina Cox,F,F_MCR_4_APF,62,77.5,50,92.5,220,SBD,F,Wraps
1,Joanne Barnes,F,F_MCR_4_APF,80.6,80,55,110,245,SBD,F,Wraps
1,Reagan Cress,F,F_OEM_APF,63.1,,,155,155,D,F,Multi-ply
1,John Clay,M,M_OEM_APF,108.7,285,187.5,235,707.5,SBD,M,Multi-ply
1,Mathew Warr,M,M_OEM_APF,89.3,,170,,170,B,M,Multi-ply
1,John Clay,M,M_OEM_APF,108.7,,187.5,,187.5,B,M,Multi-ply
1,Coty Rodriguez,M,M_OEM_APF,112.8,,,287.5,287.5,D,M,Multi-ply
1,Mel Lee,M,M_OEM_APF,145.3,,,297.5,297.5,D,M,Multi-ply
2,Blasé Courville,M,M_OEM_APF,159,,,272.5,272.5,D,M,Multi-ply
1,Shane Ferran,M,M_OR_APF,71.7,110,80,145,335,SBD,M,Raw
1,Dustin Knight,M,M_OR_APF,89.3,155,110,182.5,447.5,SBD,M,Raw
2,Thomas Leigh,M,M_OR_APF,88.3,140,107.5,162.5,410,SBD,M,Raw
1,Brandon Langlois,M,M_OR_APF,99.6,192.5,110,212.5,515,SBD,M,Raw
1,Cole Lavergne,M,M_OCR_APF,66.3,187.5,132.5,225,545,SBD,M,Wraps
1,Dayton Craig,M,M_OCR_APF,81.5,225,140,225,590,SBD,M,Wraps
1,Armond Benoit,M,M_OCR_APF,89.8,192.5,175,252.5,620,SBD,M,Wraps
1,Rusty Bordelon,M,M_OCR_APF,98.6,242.5,190,292.5,725,SBD,M,Wraps
2,Chad Ridgell,M,M_OCR_APF,92.6,207.5,92.5,245,545,SBD,M,Wraps
1,Daron Cressionnie,M,M_OCR_APF,150.6,272.5,192.5,255,720,SBD,M,Wraps
1,Rusty Bordelon,M,M_OR_APF,98.6,,190,,190,B,M,Raw
1,James Berza,M,M_MCR_2_APF,89.7,207.5,165,242.5,615,SBD,M,Wraps
1,Craig Hubbs,M,M_MR_6_APF,89.4,,125,,125,B,M,Raw
