Name,Age,Division,WeightClassKg,BodyweightKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Place,Event,Sex,Equipment,Team
Ana Alvarez,53,F-M3-R,67.5,63.7,100,62.5,137.5,300,1,SBD,F,Raw,Hillybilly Power
Melinda Fischl,44,F-M1-R,90+,102.1,130,85,165,380,1,SBD,F,Raw,
Patti Fuchs,42,F-M1-R,90+,106.8,82.5,60,110,252.5,2,SBD,F,Raw,
Matti Marsee,12,F-T1-R,44,44.0,62.5,45,75,182.5,1,SBD,F,Raw,
Ashlian Hall,20,F-J-R,56,54.7,92.5,57.5,115,265,1,SBD,F,Raw,
Casey Keough,20,F-J-R,60,59.4,107.5,70,115,292.5,1,SBD,F,Raw,
Mary Babcock,22,F-J-R,60,59.4,85,62.5,120,267.5,2,SBD,F,Raw,Raw Unity Barbell Club
Chelsea Barbosa,20,F-J-R,67.5,66.2,72.5,42.5,,,DQ,SBD,F,Raw,
Jordan Masters,22,F-J-R,75,73.7,95,75,150,320,1,SBD,F,Raw,Hillybilly Power
Destiny Buch,20,F-J-R,75,70.5,102.5,57.5,130,290,2,SBD,F,Raw, 
Matti Marsee,12,F-O-R,44,44.0,62.5,45,75,182.5,1,SBD,F,Raw,
Megan Minter,25,F-O-R,75,73.3,160,87.5,170,417.5,1,SBD,F,Raw,
Ashley Gaulden,28,F-O-R,90+,96.6,92.5,57.5,130,280,1,SBD,F,Raw,
Nicole Scott,25,F-O-R,67.5,65.3,107.5,77.5,137.5,322.5,1,SBD,F,Raw,
Tanya Peterban,24,F-O-RC,75,72.6,172.5,95,172.5,440,1,SBD,F,Wraps,
Crystal LoRusso,26,F-O-RC,75,71.9,120,60,122.5,302.5,2,SBD,F,Wraps,
Ann Vanderbush,29,F-O,90,85.7,252.5,162.5,255,670,1,SBD,F,Multi-ply,The Weight Pile
Jared O'Grady,38,M-SM-R,52,51.3,92.5,95,160,347.5,1,SBD,M,Raw,
Robert Crawford,39,M-SM-R,125,121.6,205,120,237.5,562.5,1,SBD,M,Raw,CTX
Jeffery Faber,45,M-M2-R,90,89.8,225,145,205,575,1,SBD,M,Raw,
Jason Rosario,30,M-O-R,82.5,81.6,205,145,242.5,592.5,1,SBD,M,Raw,
Kaveh Albekord,34,M-O-R,90,86.0,155,112.5,205,472.5,1,SBD,M,Raw,
Kitt Hildreth,36,M-O-R,100,94.6,200,155,210,565,1,SBD,M,Raw,CTX
Garry Stevens,31,M-O-R,100,98.0,175,,,,DQ,SBD,M,Raw,
Kyle Smith,25,M-O-R,110,107.0,177.5,132.5,205,515,1,SBD,M,Raw,
Dan Marsee,43,M-M1-RC,110,106.1,182.5,167.5,230,580,1,SBD,M,Wraps,
Lucas Vogel,40,M-M1-RC,140,127.0,227.5,152.5,227.5,607.5,2,SBD,M,Wraps,
Lee Lichtle,71,M-M5-RC,82.5,81.6,145,130,185,460,1,SBD,M,Wraps,
Al Reiss,60,M-M5-RC,100,98.0,165,102.5,155,422.5,2,SBD,M,Wraps,
Alden Harlac,17,M-T2-RC,90,84.1,200,142.5,250,592.5,1,SBD,M,Wraps,
Yudai Katsumata,16,M-T2-RC,100,97.3,190,112.5,195,497.5,1,SBD,M,Wraps,Montverde
Michael Francis Sr,56,M-M4-RC,125,122.2,355,182.5,327.5,865,1,SBD,M,Wraps,
Brandon Chapman,21,M-J-RC,90,85.7,160,102.5,215,477.5,1,SBD,M,Wraps,Hillybilly Power
Caleb Ferguson,22,M-J-RC,100,99.3,227.5,145,215,587.5,1,SBD,M,Wraps,
Eugene Bonilla,29,M-O-RC,82.5,80.7,177.5,125,225,527.5,1,SBD,M,Wraps,
Gregory Wilkinson,27,M-O-RC,90,84.8,192.5,115,237.5,545,1,SBD,M,Wraps,CTX
Steven Rohrbacher,25,M-O-RC,100,98.0,310,182.5,290,782.5,1,SBD,M,Wraps,The Weight Pile
Orlando Garcia Jr,34,M-O-RC,110,109.3,292.5,210,315,817.5,1,SBD,M,Wraps,
Chad Robison,27,M-O-RC,110,108.9,205,152.5,260,617.5,2,SBD,M,Wraps,
Brad Trafton,28,M-O-RC,110,108.0,192.5,147.5,225,565,3,SBD,M,Wraps,
Chris Kyttle,32,M-O-RC,110,102.5,192.5,132.5,227.5,552.5,4,SBD,M,Wraps,CTX
Ethen Norton,33,M-SM-RC,110,105.9,225,165,267.5,657.5,1,SBD,M,Wraps,
Chase Yamin,19,M-T3-RC,82.5,81.4,192.5,140,235,567.5,1,SBD,M,Wraps,
Shawn O'Malley,53,M-M3,90,89.1,310,197.5,247.5,755,1,SBD,M,Multi-ply,
Gregory Hayes,54,M-M3,100,94.6,227.5,160,,,DQ,SBD,M,Multi-ply,Glycoforce
Patrick O'Grady,46,M-M2,75,74.4,182.5,147.5,237.5,567.5,1,SBD,M,Multi-ply,
Jun Yang,17,M-T3,60,58.7,127.5,70,150,347.5,1,SBD,M,Multi-ply,Montverde
Michael Megler,17,M-T2,75,71.4,190,120,232.5,542.5,1,SBD,M,Multi-ply,Montverde
John Zak,17,M-T2,75,74.2,102.5,75,120,297.5,2,SBD,M,Multi-ply,Montverde
Jude Kinkead,16,M-T2,82.5,76.2,117.5,77.5,157.5,352.5,1,SBD,M,Multi-ply,Montverde
Alejandro Ruiz,16,M-T2,100,95.7,207.5,55,55,317.5,1,SBD,M,Multi-ply,Montverde
BoTao Dai,15,M-T1,56,53.3,62.5,45,85,192.5,1,SBD,M,Multi-ply,Montverde
Tyler Fields,13,M-T1,82.5,76.9,92.5,65,125,282.5,1,SBD,M,Multi-ply,Montverde
Nikhil Vashist,24,M-O,48,46.7,67.5,67.5,100,235,1,SBD,M,Multi-ply,Montverde
Andrew Kreidler,30,M-O,110,107.5,320,192.5,272.5,785,1,SBD,M,Multi-ply,The Weight Pile
Allen Pilley,33,M-O,125,122.2,440,,,,DQ,SBD,M,Multi-ply,
Bert Underwood,41,M-O,140,139.0,387.5,,,,DQ,SBD,M,Multi-ply,The Weight Pile
Kailey Spires,15,F-T1-R,60,58.5,,62.5,,62.5,1,B,F,Raw,
Brett Brown,30,M-O-R,110,107.5,,210,,210,1,B,M,Raw,
Lee Lichtle,71,M-M5-RC,82.5,81.6,,130,,130,1,B,M,Raw,
Eric Pauli,56,M-M4,140,127.5,,180,,180,1,B,M,Multi-ply,Montverde
Sung-Yueh Chang,19,M-T3,67.5,66.7,,115,,115,1,B,M,Multi-ply,Montverde
Qinyi Wang,19,M-T3,75,71.9,,120,,120,1,B,M,Multi-ply,Montverde
Bret Gainsford,34,M-SM-R,82.5,80.7,,,230,230,1,D,M,Raw,
Arthur Jay Goebel,65,M-M6-R,100,98.0,,,157.5,157.5,1,D,M,Raw,
Tanner Sturgill,23,M-J,100,93.9,,,230,230,1,D,M,Multi-ply,
Vaughn Krasovitzky-Chambers,42,F-M1-R,90+,113.4,,72.5,85,157.5,1,BD,F,Raw,
Jade Murray,32,F-O-R,67.5,66.2,,70,157.5,227.5,1,BD,F,Raw,
