Name,Age,Sex,Division,Equipment,BodyweightKg,WeightClassKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Event
April Wells,22,F,FJ-R,Raw,55.78,56,97.5,105,110,117.5,110,110,2,D
Heidi Griffiths,22,F,FJ-R,Raw,78.3,82.5,125,135,-140,,135,135,3,D
Sheryl-Ann Kaye-Bourne,23,F,FJ-R,Raw,138.8,90+,200,217.5,-220,,217.5,217.5,1,D
Coralie Weir,55,F,FM-R,Raw,51.68,52,155,-162.5,-162.5,,155,155,1,D
Daniela Frisina,40,F,FM-R,Raw,55.1,56,105,115,-120,,115,115,3,D
Andrea Pearce,50,F,FM-R,Raw,59.8,60,135,142.5,145,147.5,145,145,2,D
Bev Morgan,54,F,FM-R,Raw,64.7,67.5,142.5,152.5,-160,,152.5,152.5,2,D
Leonie Robertson,60,F,FM-R,Raw,64.8,67.5,95,100,105,-110,105,105,3,D
Janet Smith,48,F,FM-R,Raw,74.3,75,165,175,185,-190,185,185,1,D
Pauline Magri,68,F,FM-R,Raw,79.6,82.5,110,120,130,132.5,130,130,1,D
Amanda Hart,43,F,FM-R,Raw,101.4,90+,130,-137.5,137.5,,137.5,137.5,2,D
Janet Hammel,77,F,FM-R,Raw,102.1,90+,67.5,72.5,-77.5,,72.5,72.5,3,D
Michelina Weatherall,42,F,FM-SP,Single-ply,58.8,60,172.5,-180,-180,,172.5,172.5,1,D
Lauren Nowak,30,F,FO-R,Raw,48,48,110,117.5,122.5,127.5,122.5,122.5,4,D
Bec Carrick,28,F,FO-R,Raw,55.7,56,125,-130,-130,,125,125,1,D
Lily Chan,34,F,FO-R,Raw,56.1,60,140,147.5,157.5,160,157.5,157.5,1,D
Amber Stephens,16,F,FT-R,Raw,58.9,60,110,122.5,-132.5,,122.5,122.5,1,D
Jessica Taylor,19,F,FT-R,Raw,59.3,60,100,-102.5,,,100,100,3,D
Emma Jenson,25,F,FO-R,Raw,65.7,67.5,155,165,-172.5,,165,165,2,D
Sarah Morris,28,F,FO-R,Raw,64.5,67.5,140,142.5,147.5,,147.5,147.5,6,D
Amanda Woods,38,F,FO-R,Raw,64,67.5,130,140.5,145,147.5,145,145,8,D
Gemma Richardson,27,F,FO-R,Raw,64.9,67.5,115,120,125,,125,125,9,D
Viki Hokai,29,F,FO-R,Raw,66.3,67.5,107.5,112.5,117.5,,117.5,117.5,2,D
Brianna Harvey,19,F,FT-R,Raw,63.5,67.5,95,102.5,105,,105,105,4,D
Lauren Tyrrell,35,F,FO-R,Raw,72.6,75,150,157.5,162.5,165,162.5,162.5,5,D
Jade Jakobson,31,F,FO-R,Raw,70.6,75,150,157.5,-160,,157.5,157.5,7,D
Candace Ramos,28,F,FO-R,Raw,71.1,75,115,125,130,,130,130,11,D
Chole Smallman,15,F,FT-R,Raw,71.9,75,110,122.5,-130,,122.5,122.5,2,D
Carmen Daldry,33,F,FO-R,Raw,80.8,82.5,170,185,-200,,185,185,3,D
Melissa Walton,25,F,FO-R,Raw,78,82.5,115,125,130,,130,130,3,D
Natasha Nhau,33,F,FO-R,Raw,89,90,147.5,152.5,-157.5,,152.5,152.5,10,D
Ming Su,22,M,MJ-R,Raw,54,56,150,165,180,-190,180,180,1,D
Peter Chien,20,M,MJ-R,Raw,54.62,56,100,115,130,140,130,130,1,D
