Name,Sex,Equipment,Division,BodyweightLBS,WeightClassLBS,Best3SquatLBS,Best3BenchLBS,Best3DeadliftLBS,TotalLBS,Event,Place
Grace Meloy,F,Multi-ply,Open,147.8,148,,300,,300,B,1
Andrea Michelle Corder,F,Multi-ply,Open,165.3,165,,,585,585,D,1
Laura Vilardo,F,Wraps,Open,116.4,123,115,75,205,395,SBD,1
Anna Catherine Starr,F,Wraps,Open,172.6,181,225,125,320,670,SBD,1
Katey Brent,F,Multi-ply,Open,185.6,198,550,350,425,1325,SBD,1
Alison Crowdus,F,Multi-ply,Open,263.8,198+,,,450,450,D,1
Julie Vilardo,F,Wraps,Open,216,198+,275,145,325,745,SBD,1
Colton Zeinner,M,Wraps,Junior,220.2,220,420,270,495,1185,SBD,1
David Brockmeier,M,Single-ply,Junior,233.2,242,650,500,555,1705,SBD,1
Mike Lelasher,M,Multi-ply,Masters 40-44,218,220,,,,,SBD,DQ
Michael Bunner,M,Wraps,Masters 40-44,271.2,275,595,430,600,1625,SBD,1
Randy Edwards,M,Multi-ply,Masters 45-49,282.4,308,,,,,B,DQ
Simon Kretchik,M,Wraps,Open,194.2,198,255,235,450,940,SBD,2
Nick Henwood,M,Wraps,Open,193.2,198,525,380,570,1475,SBD,1
Leo Olding,M,Wraps,Open,217,220,465,315,550,1330,SBD,2
Corey Johnson,M,Wraps,Open,216.6,220,530,380,585,1495,SBD,1
Justin Stewart,M,Multi-ply,Open,219.8,220,675,475,550,1700,SBD,2
Logan Kunkel,M,Multi-ply,Open,219.8,220,800,480,680,1960,SBD,1
Joseph Lindsay,M,Multi-ply,Open,228,242,,645,605,1250,BD,1
Travis Agee,M,Wraps,Open,236.8,242,480,320,525,1325,SBD,1
Brian Yourist,M,Multi-ply,Open,237,242,680,425,700,1805,SBD,1
Andrew Isfort,M,Multi-ply,Open,265.6,275,725,,,,SBD,DQ
Alex Milternberger,M,Wraps,Open,282.2,308,535,325,565,1425,SBD,1
James Ray Lynch,M,Wraps,Open,198,198,575,320,695,1590,SBD,1
Kyle Hoyt,M,Multi-ply,Open,197,198,,,,,SBD,DQ
Joe Jester,M,Multi-ply,Open,210.2,220,750,600,550,1900,SBD,2
Kyle Miller,M,Multi-ply,Open,219.4,220,830,475,700,2005,SBD,1
Anthony Olivera,M,Multi-ply,Open,257.6,259,,620,740,1360,BD,2
Patrick Mihalik,M,Multi-ply,Open,249.4,259,815,550,650,2015,SBD,1
Trevor Brown,M,Multi-ply,Open,270,275,905,670,605,2180,SBD,1
Ethan Russell,M,Multi-ply,Open,260.4,275,700,,,,SBD,DQ
Mason Vilardo,M,Wraps,Open,306.6,308,405,345,545,1295,SBD,1
