Name,Age,Sex,Division,Tested,Equipment,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Event,Place
Daulton Lowry,25,M,M-OCR-APF,,Wraps,156.9,140+,565,-615,615,615,345,385,410,410,585,635,665,665,1690,SBD,1
Amy Clough,48,F,F-MR-2-APF,,Raw,59,60,200,-225,-225,200,,,,,245,260,-270,260,460,SD,1
Maggie Keeran,28,F,F-OCR-APF,,Wraps,137.5,90+,390,420,440,440,180,205,-225,205,410,445,460,460,1105,SBD,1
Dalton Nolte,24,M,M-OR-APF,,Raw,80.9,82.5,370,385,-405,385,270,-285,-285,270,530,-570,570,570,1225,SBD,1
Trent Compton,19,M,M-TEM-3-APF,,Multi-play,93.1,100,-625,625,675,675,-365,385,400,400,465,485,500,500,1575,SBD,1
Greyson Loweecy,25,M,M-OR-APF,,Raw,95.5,100,,,,,,,,,625,-670,-670,625,625,D,1
Mason Ogle,17,M,M-TR-2-APF,,Raw,99.4,100,485,510,-535,510,300,320,-340,320,485,510,-520,510,1340,SBD,1
Eric Gilbert,51,M,M-MR-3-APF,,Raw,100.8,110,,,,,315,330,360,360,,,,,360,B,1
DJ Williamson,31,M,M-OCR-APF,,Wraps,108.9,110,485,515,-545,515,345,365,-375,365,535,565,-585,565,1445,SBD,1
Faron Parker,36,M,M-SR-APF,,Raw,117.1,125,,,,,420,,,420,550,600,650,650,1070,BD,1
Joseph Wippel,32,M,M-OCR-APF,,Wraps,119.8,125,-405,405,430,430,175,210,-230,210,405,430,-460,430,1070,SBD,1
Trey Duncan,25,M,M-OEM-APF,,Multi-play,121.5,125,585,625,-640,625,380,415,-425,415,470,-500,500,500,1540,SBD,1
Isaac Dumolt,19,M,M-TR-3-APF,,Raw,123.6,125,525,560,600,600,340,365,380,380,400,455,470,470,1450,SBD,1
Nathaniel French,20,M,M-JR-AAPF,Yes,Raw,51.3,52,-250,250,-295,250,165,175,-195,175,260,280,310,310,735,SBD,1
Jeffrey Wippel,36,M,M-SCR-APF,,Wraps,125.2,140,585,605,630,630,315,330,-365,330,550,580,-600,580,1540,SBD,1
Jeff Chambers,29,M,M-OES-APF,,Single-ply,146.6,140+,600,650,690,690,350,-600,-600,350,475,505,,505,1545,SBD,1
Courtney Grant,30,F,F-OR-APF,,Raw,59.9,60,225,285,305,305,150,160,170,170,325,375,-385,375,850,SBD,1
Matt Christ,26,M,M-OEM-APF,,Multi-play,108,110,610,660,705,705,410,455,-470,455,600,655,700,700,1860,SBD,1
