Name,Team,BodyweightKg,Best3SquatKg,Best3BenchKg,Bench4Kg,Best3DeadliftKg,TotalKg,WeightClassKg,Sex,Division,Event,AgeClass,Place
Nicky Gifford,SE,47.5,115,52.5,,132.5,300,48,F,Masters 1,SBD,39.5-49.5,1
Jenny Hunter,EM,55.8,145,92.5,,155,392.5,56,F,Masters 1,SBD,39.5-49.5,1
G. Lesting,SE,55.1,100,60,,127.5,287.5,56,F,Masters 1,SBD,39.5-49.5,2
Toni Hollis,SM,58.4,157.5,97.5,,155,410,60,F,Masters 1,SBD,39.5-49.5,1
J. Banks,YNE,60,95,40,,125,260,60,F,Masters 1,SBD,39.5-49.5,2
S. Bradley,SC,59.6,105,50,,102.5,257.5,60,F,Masters 1,SBD,39.5-49.5,3
C. Wass,EM,73,120,70,,130,320,75,F,Masters 1,SBD,39.5-49.5,1
P. Reeves,WM,118,,,,,,90+,F,Masters 1,SBD,39.5-49.5,DQ
Pat Reeves,WM,42.4,50,40,,90,180,44,F,Masters 2,SBD,49.5-59.5,1
Enid Dixon,YNE,45.3,62.5,40,,90,192.5,48,F,Masters 2,SBD,49.5-59.5,1
Doreen Dowsett,NM,66.2,115,55,58,155,325,67.5,F,Masters 2,SBD,49.5-59.5,1
H. Richards,SC,73,65,70,,142.5,277.5,75,F,Masters 2,SBD,49.5-59.5,1
Sue Hollands,YNE,82,170.5,76,,167.5,414,82.5,F,Masters 2,SBD,49.5-59.5,1
S. Brown,YNE,59.8,165,95,,205,465,60,M,Masters 1,SBD,39.5-49.5,2
Steve Walker,EM,74.6,250,175,,260,685,75,M,Masters 1,SBD,39.5-49.5,1
Allen Ottolangui,EM,73.2,205,127.5,,232.5,565,75,M,Masters 1,SBD,39.5-49.5,2
J. Singh,WM,73.8,220,125,,220,565,75,M,Masters 1,SBD,39.5-49.5,3
R. Wylie,SC,80.7,245,157.5,,240,642.5,82.5,M,Masters 1,SBD,39.5-49.5,1
P. Williams,NM,82.5,230,150,,245,625,82.5,M,Masters 1,SBD,39.5-49.5,2
Philip Guise,WM,81.5,225,165,,230,620,82.5,M,Masters 1,SBD,39.5-49.5,3
I. Johnston,NI,81.7,210,125,,250,585,82.5,M,Masters 1,SBD,39.5-49.5,4
C. Ramshaw,YNE,81.1,225,135,,220,580,82.5,M,Masters 1,SBD,39.5-49.5,5
M. Macey,SE,82.3,227.5,125,,215,567.5,82.5,M,Masters 1,SBD,39.5-49.5,6
J. Banks,YNE,82.4,195,125,,230,550,82.5,M,Masters 1,SBD,39.5-49.5,7
D. Mccann,SC,81.2,185,132.5,,215,532.5,82.5,M,Masters 1,SBD,39.5-49.5,8
D. Barnes,NM,86.6,260,150,,310,720,90,M,Masters 1,SBD,39.5-49.5,1
Arthur Cowley,SC,89.8,250,162.5,,262.5,675,90,M,Masters 1,SBD,39.5-49.5,2
S. Porter,NI,88,255,167.5,,245,667.5,90,M,Masters 1,SBD,39.5-49.5,3
I. Atkinson,NW,89,245,147.5,,270,662.5,90,M,Masters 1,SBD,39.5-49.5,4
S. Mckay,YNE,88,240,152.5,,260,652.5,90,M,Masters 1,SBD,39.5-49.5,5
S. Hayward,WM,88.1,235,180,,235,650,90,M,Masters 1,SBD,39.5-49.5,6
K. Baxter,EM,89.4,215,170,,270,655,90,M,Masters 1,SBD,39.5-49.5,7
S. Clifford,WM,85.1,225,142.5,,255,622.5,90,M,Masters 1,SBD,39.5-49.5,8
P. Horton,NM,88.3,200,137.5,,205,542.5,90,M,Masters 1,SBD,39.5-49.5,9
S. Mcnally,NW,96.9,270,180,,280,730,100,M,Masters 1,SBD,39.5-49.5,1
P. Hooker,SW,97,270,180,,272.5,722.5,100,M,Masters 1,SBD,39.5-49.5,2
S. Blackwell,SE,98.2,235,160,,282.5,677.5,100,M,Masters 1,SBD,39.5-49.5,3
C. Smith,WM,93.5,255,172.5,,242.5,670,100,M,Masters 1,SBD,39.5-49.5,4
I. Kinghorn,EM,96.5,200,162.5,,235,597.5,100,M,Masters 1,SBD,39.5-49.5,5
T. Stevenson,YNE,93,220,155,,220,595,100,M,Masters 1,SBD,39.5-49.5,6
Steve Leigh,NW,107.8,290,232.5,,290,812.5,110,M,Masters 1,SBD,39.5-49.5,1
B. Lee,YNE,109.7,270,185,,290,745,110,M,Masters 1,SBD,39.5-49.5,2
G. Bellinger,GL,110.4,265,162.5,,297.5,725,125,M,Masters 1,SBD,39.5-49.5,1
A. Moses,GL,121.1,277.5,172.5,,275,725,125,M,Masters 1,SBD,39.5-49.5,2
J. Hall,SE,118.9,272.5,160,,290,722.5,125,M,Masters 1,SBD,39.5-49.5,3
R. Simon,GL,187,290,225,,275,790,125+,M,Masters 1,SBD,39.5-49.5,1
R. Fricker,SW,156.2,300,202.5,,277.5,780,125+,M,Masters 1,SBD,39.5-49.5,2
D. Turner,NM,137,332.5,175,,250,757.5,125+,M,Masters 1,SBD,39.5-49.5,3
K. Gorman,NW,55.8,120,100,,160,380,125+,M,Masters 2,SBD,49.5-59.5,4
R. Fraser,SC,67.1,185,125,,240,550,67.5,M,Masters 2,SBD,49.5-59.5,1
M. James,SM,66.3,190,137.5,,220,547.5,67.5,M,Masters 2,SBD,49.5-59.5,2
M. Mcbride,SC,65.9,160,95,,215,470,67.5,M,Masters 2,SBD,49.5-59.5,3
T. Harvey,NI,65.3,142.5,85,,190,417.5,67.5,M,Masters 2,SBD,49.5-59.5,4
J. Hibbert,SE,73.8,225,162.5,,257.5,645,75,M,Masters 2,SBD,49.5-59.5,1
Stan Macrow,WM,72.9,195,135,,212.5,542.5,75,M,Masters 2,SBD,49.5-59.5,2
J. Watson,SC,74.4,200,100,,205,505,75,M,Masters 2,SBD,49.5-59.5,3
A. Singh,YNE,73.2,190,112.5,,177.5,480,75,M,Masters 2,SBD,49.5-59.5,4
Mick Amey,EM,73.7,175,95,,210,480,75,M,Masters 2,SBD,49.5-59.5,5
