Name,BodyweightKg,Squat1Kg,Squat2Kg,Squat3Kg,Bench1Kg,Bench2Kg,Bench3Kg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,TotalKg,Event,Equipment,WeightClassKg,Sex,Place
Pat Constantine,51.8,172.5,-190,-190,95,97.5,100,192.5,210,-225.5,482.5,SBD,Single-ply,52,M,1
G. Kelly,50,115,-125,125,75,80,-85,170,175,,380,SBD,Single-ply,52,M,2
C. Mitchell,55.5,165,177.5,185,92.5,97.5,102.5,165,172.5,177.5,465,SBD,Single-ply,56,M,1
P. Kemp,55,225,235,240.5,92.5,-100,100,90,-100,-100,430,SBD,Single-ply,56,M,2
N. Patrick,58.5,160,170,182.5,85,-92.5,92.5,185,195,,470,SBD,Single-ply,60,M,1
R. Banham,56.3,155,-165,-165,70,82.5,90,160,172.5,175,420,SBD,Single-ply,60,M,2
Phil Richard,67.4,257.5,277.5,,165,-170,-170,-230,230,-240,672.5,SBD,Single-ply,60,M,3
R. Peach,66.3,220,-240,240,155,160,-170,200,210,212.5,592.5,SBD,Single-ply,60,M,4
S. Rowlands,67.3,200,-202.5,220,120,-130,130,210,220,225,575,SBD,Single-ply,60,M,5
O. Gilbert,67,195,210,215,135,-142.5,142.5,200,210,215,572.5,SBD,Single-ply,60,M,6
B. Shearing,66.9,175,-185,-190,130,140,-145,210,220,230,545,SBD,Single-ply,60,M,7
M. Toland,66.6,180,187.5,-192.5,120,125,-127.5,210,220,225,537.5,SBD,Single-ply,60,M,8
K. Neal,67.5,200,212.5,-220,100,110,-122.5,200,210,215,537.5,SBD,Single-ply,60,M,9
M. Niles,75,230,250,260,140,150,160,240,250,260,680,SBD,Single-ply,75,M,1
T. Swallow,74.4,235,247.5,252.5,137.5,-142.5,142.5,245,260,275,670,SBD,Single-ply,75,M,2
G. Mckenna,74.8,235,250,252.5,150,-155,157.5,235,-245,245,655,SBD,Single-ply,75,M,3
W. Clarke,74.8,220,230,235,155,-160,-160,240,257.5,-267.5,647.5,SBD,Single-ply,75,M,4
Manoj Chahal,74.3,220,230,240,145,152.5,157.5,220,235,247.5,645,SBD,Single-ply,75,M,5
B. Leadbetter,74.75,190,200,205,175,182.5,-187.5,230,240,247.5,635,SBD,Single-ply,75,M,6
J. Singh,82.5,275,290,300,192.5,197.5,-200,275,290,-300,787.5,SBD,Single-ply,82.5,M,1
G. Bowman,79.9,260,270,282.5,180,187.5,190,280,295,,767.5,SBD,Single-ply,82.5,M,2
TS Adewale,81.9,262.5,-282.5,-282.5,155,162.5,-167.5,302.5,-312.5,-317.5,727.5,SBD,Single-ply,82.5,M,3
Ian Shaw,80.8,245,257.5,262.5,130,-140,140,270,290,295,697.5,SBD,Single-ply,82.5,M,4
Joe Bullock,81.8,255,262.5,270,155,162.5,167.5,245,-255,-255,682.5,SBD,Single-ply,82.5,M,5
William Lincoln,82.2,235,247.5,-255,160,165,170,235,252.5,257.5,675,SBD,Single-ply,82.5,M,6
Dave Carter,88.3,265,280,-290,152.5,-165,165,310,335,-351,780,SBD,Single-ply,90,M,1
Kevin Jane,90,260,272.5,277.5,155,160,162.5,275,287.5,292.5,732.5,SBD,Single-ply,90,M,2
N. Milner,85.8,-245,245,275,140,147.5,155,250,277.5,287.5,717.5,SBD,Single-ply,90,M,3
J. Burke,97.2,-290,290,320,190,200,210,260,280,-300,810,SBD,Single-ply,100,M,1
S. Keenan,98.5,-270,-270,270,160,167.5,172.5,287.5,300,307.5,750,SBD,Single-ply,100,M,2
G. Mitchell,99.5,275,290,295,160,170,-175,260,280,-295,750,SBD,Single-ply,100,M,3
S. Ogg,97.4,270,280,-285,-160,-160,160,270,285,310,725,SBD,Single-ply,100,M,4
D. Roast,95.4,245,-260,-260,175,185,-190,270,-290,290,720,SBD,Single-ply,100,M,5
A. Rodney,109.3,302.5,322.5,332.5,175,-187.5,-187.5,297.5,-307.5,315,822.5,SBD,Single-ply,110,M,1
J. Jack,109.8,290,-310,330,185,200,-210,280,300,312.5,822.5,SBD,Single-ply,110,M,2
Simon Norcup,106.9,275,285,295,185,195,205,-300,300,-320,800,SBD,Single-ply,110,M,3
A. White,109.2,230,250,-270,130,145,155,300,-340,-340,705,SBD,Single-ply,110,M,4
Clive Henry,122.5,390,415,-430,240,245,-250,300,320,330,990,SBD,Single-ply,125,M,1
Dean Bowring,124.5,350,370,-377.5,-250,250,-255,250,300,-332,920,SBD,Single-ply,125,M,2
A. Hawkins,121.2,290,305,312.5,205,212.5,217.5,280,295,-300,825,SBD,Single-ply,125,M,3
Jim Blanchflower,165.9,360,382.5,,-230,230,240,280,300,307.5,930,SBD,Single-ply,125+,M,1
A. Thompson,154.6,320,335,347.5,230,242.5,250,315,325,-332.5,922.5,SBD,Single-ply,125+,M,2
M. Ashurst,127.5,325,342.5,-350,180,190,195,310,327.5,-335,865,SBD,Single-ply,125+,M,3
