Name,Team,BodyweightKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,WeightClassKg,Sex,Event,Equipment,Place
K. Mccracken,N Ireland,511,95,375,110,2425,52,F,SBD,Single-ply,1
A. Arbon,England,558,1225,725,1325,3275,56,F,SBD,Single-ply,1
L. Fennel,N Ireland,556,1075,525,100,260,56,F,SBD,Single-ply,2
Jenny Hunter,England,566,145,95,155,395,56,F,SBD,Single-ply,1
M. Dougan,N Ireland,597,70,45,105,220,60,F,SBD,Single-ply,2
K. Bellew,N Ireland,573,625,35,85,1825,60,F,SBD,Single-ply,3
G. Wright,England,672,160,100,185,445,67.5,F,SBD,Single-ply,1
S. Tyson,England,749,155,100,155,410,75,F,SBD,Single-ply,1
M. Porter,England,822,205,1175,210,5325,82.5,F,SBD,Single-ply,1
G. Kelly,N Ireland,49.8,127.5,90,170,387.5,82.5,M,SBD,Single-ply,1
Pat Constantine,England,52.5,190,100,210,500,56,M,SBD,Single-ply,1
T. Swallow,England,74.5,260,147.5,260,667.5,75,M,SBD,Single-ply,1
W. Clarke,N Ireland,74.8,240,160,260,660,75,M,SBD,Single-ply,2
D.Geoge,Wales,77.7,170,130,210,510,82.5,M,SBD,Single-ply,1
G. Paul,N Ireland,80.2,160,100,190,450,82.5,M,SBD,Single-ply,2
R. Harkins,N Ireland,81.6,,,,,82.5,M,SBD,Single-ply,DQ
Ian Shaw,England,82.4,,,,,82.5,M,SBD,Single-ply,DQ
A. Paul,N Ireland,88.6,235,155,250,640,90,M,SBD,Single-ply,1
S. Murphy,Wales,87.2,172.5,105,160,437.5,90,M,SBD,Single-ply,2
P. Watkins,Wales,89.5,270,,,,90,M,SBD,Single-ply,3
C. Davies,Wales (guest),87.4,200,150,205,555,90,M,SBD,Single-ply,G
K. Williams,Wales,93.3,210,140,220,570,100,M,SBD,Single-ply,1
J. Talbot,England,106,290,212.5,270,772.5,110,M,SBD,Single-ply,1
A. Hawkins,England,122.1,315,225,295,835,125,M,SBD,Single-ply,1
Ricky Mullen,N Ireland,118,315,200,290,805,125,M,SBD,Single-ply,2
