Name,BodyweightKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Event,Equipment
A Brown,43.6,85,40,125,250,SBD,Single-ply
J Gray,41.8,55,25,77.5,157.5,SBD,Single-ply
J Blackford,45.6,70,40,87.5,197.5,SBD,Single-ply
S Smith,50.1,100,65,115,280,SBD,Single-ply
C Bennett,49.7,95,67.5,110,272.5,SBD,Single-ply
D Bevis,51.6,90,40,100,230,SBD,Single-ply
J Starnes,51.4,75,35,105,215,SBD,Single-ply
A Webb,51.7,62.5,40,107.5,210,SBD,Single-ply
S Jones,50.6,100,,,,SBD,Single-ply
G Russell,54.2,85,52.5,125,262.5,SBD,Single-ply
D Flahavan,55.7,100,45,115,260,SBD,Single-ply
T May,53,72.5,37.5,100,210,SBD,Single-ply
R Bass,59.1,140,72.5,162.5,375,SBD,Single-ply
C Sheppard,57.8,70,40,112.5,222.5,SBD,Single-ply
J Mitchell,56.1,72.5,45,90,207.5,SBD,Single-ply
P Bashford,56.7,72.5,37.5,80,190,SBD,Single-ply
D Webb,63.1,150,67.5,172.5,390,SBD,Single-ply
S Selling,64.4,105,47.5,140,292.5,SBD,Single-ply
C Bodnar,64.6,,,,,SBD,Single-ply
J Oakes,76.3,180,95,185,460,SBD,Single-ply
J Pepper,81.7,,,,,SBD,Single-ply
J Kerr,88.5,150,90,177.5,417.5,SBD,Single-ply
J Jackson,83.1,152.5,75,155,382.5,SBD,Single-ply
