Name,BodyweightKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Event,Equipment,Sex
P Oates,43 1,60,37 5,85,182 5,SBD,Single-ply,F
S Smith,47 2,120,67 5,110,297 5,SBD,Single-ply,F
C Bennett,47,95,67 5,120,282 5,SBD,Single-ply,F
Jenny Hunter,47,90,52 5,127 5,270,SBD,Single-ply,F
J White,44 6,92 5,52 5,105,250,SBD,Single-ply,F
J Mardenboro,46,65,40,105,210,SBD,Single-ply,F
P Kennard,47 7,75,35,90,200,SBD,Single-ply,F
L Steggles,51 4,110,57.5,132.5,300,SBD,Single-ply,F
M Green,49 2,105,50,125,280,SBD,Single-ply,F
B Hibbert,51 8,100,47.5,112.5,260,SBD,Single-ply,F
P Gasson,50,87.5,50,115,252.5,SBD,Single-ply,F
L Manester,52,80,45,107.5,232.5,SBD,Single-ply,F
S Towns,51,75,45,105,225,SBD,Single-ply,F
D Stephenson,50 2,70,42.5,105,217.5,SBD,Single-ply,F
D Beavis,54 5,125,50,145,320,SBD,Single-ply,F
T May,52 4,120,50,140,310,SBD,Single-ply,F
D Tysell,55,130,50,125,305,SBD,Single-ply,F
G Russell,56,102.5,52.5,140,295,SBD,Single-ply,F
J Jones,55,100,52.5,110,262.5,SBD,Single-ply,F
Z Taylor,55 2,95,47.5,120,262.5,SBD,Single-ply,F
T Utting,53 8,80,37.5,115,232.5,SBD,Single-ply,F
L Smith,54,80,37.5,100,217.5,SBD,Single-ply,F
D Clay,55 6,55,42.5,105,202.5,SBD,Single-ply,F
H Smith,55 6,70,,,,SBD,Single-ply,F
R Bass,59 8,150,77.5,172.5,400,SBD,Single-ply,F
Y Thomas,56 1,110,52.5,140,302.5,SBD,Single-ply,F
D Bates,57 4,100,45,145,290,SBD,Single-ply,F
N Forster,57 6,90,47.5,127.5,265,SBD,Single-ply,F
S Jones,58 8,102.5,47.5,115,265,SBD,Single-ply,F
T Salone,58 9,80,50,122.5,252.5,SBD,Single-ply,F
C Sando,59 4,82.5,47.5,120,250,SBD,Single-ply,F
P Smith,59 4,80,45,120,245,SBD,Single-ply,F
J Mitchell,57 2,77.5,47.5,102.5,227.5,SBD,Single-ply,F
D Webb,60 4,150,60,145,355,SBD,Single-ply,F
S Selling,64 6,122.5,50,152.5,325,SBD,Single-ply,F
A Singleton,66,105,55,152.5,312.5,SBD,Single-ply,F
C Smith,64 2,102.5,50,127.5,280,SBD,Single-ply,F
S Chesson,71,100,45,122.5,267.5,SBD,Single-ply,F
J Oakes,77,195,107.5,192.5,495,SBD,Single-ply,F
Jackie Pepper,82 4,125,70,155,350,SBD,Single-ply,F
J Jackson,84,165,77.5,170,412.5,SBD,Single-ply,F
J Kerr,87 4,142.5,90,165,397.5,SBD,Single-ply,F
