Name,WeightClassKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Event,Equipment,Sex
J White,44,105,57.5,112.5,275,SBD,Single-ply,F
G Charles,44,75,37.5,110,222.5,SBD,Single-ply,F
C Dar,44,62.5,47.5,90,200,SBD,Single-ply,F
S Smith,48,115,65,115,295,SBD,Single-ply,F
Jenny Hunter,52,122.5,65,152.5,340,SBD,Single-ply,F
M Green,52,137.5,60,135,332.5,SBD,Single-ply,F
B Hibbert,52,107.5,42.5,122.5,272.5,SBD,Single-ply,F
C Douglas,52,65,35,120,220,SBD,Single-ply,F
J Clark,52,65,35,100,200,SBD,Single-ply,F
J Powell,52,62.5,42.5,87.5,192.5,SBD,Single-ply,F
D Mears,56,130,57.5,150,337.5,SBD,Single-ply,F
L Manester,56,115,57.5,125,297.5,SBD,Single-ply,F
S Touns,56,115,50,125,290,SBD,Single-ply,F
A Storrie,56,82.5,47.5,145,275,SBD,Single-ply,F
S Chaplin,56,100,45,127.5,272.5,SBD,Single-ply,F
J Jones,56,115,50,105,270,SBD,Single-ply,F
Jackie Blasberry,56,97.5,42.5,127.5,267.5,SBD,Single-ply,F
T Saunders,56,95,35,110,240,SBD,Single-ply,F
R Bass,60,152.5,75,175,402.5,SBD,Single-ply,F
D Webb,60,150,65,177.5,392.5,SBD,Single-ply,F
V Smith,60,97.5,47.5,125,270,SBD,Single-ply,F
S Lytle,60,90,55,120,265,SBD,Single-ply,F
M Evans,60,85,42.5,135,262.5,SBD,Single-ply,F
W Samways,60,95,42.5,125,262.5,SBD,Single-ply,F
M Maskell,60,90,40,120,250,SBD,Single-ply,F
S Selling,68,137.5,60,160,357.5,SBD,Single-ply,F
P Godwin,68,125,57.5,145,327.5,SBD,Single-ply,F
B Bullock,68,107.5,47.5,130,285,SBD,Single-ply,F
P Morgan,75,192.5,85,175,452.5,SBD,Single-ply,F
Y Clarke,75,140,60,165,365,SBD,Single-ply,F
J Morgan,75,130,60,145,335,SBD,Single-ply,F
H Williams,75,127.5,55,147.5,330,SBD,Single-ply,F
D Teague,75,85,60,145,290,SBD,Single-ply,F
R Wetherall,75,85,45,135,265,SBD,Single-ply,F
K Gandon,75,105,45,105,255,SBD,Single-ply,F
J Oakes,83,195,110,205,510,SBD,Single-ply,F
J Pepper,83,135,77.5,165,377.5,SBD,Single-ply,F
S Chesson,83,122.5,52.5,145,320,SBD,Single-ply,F
V Higgs,83,110,45,125,280,SBD,Single-ply,F
Y Nortey,90,135,72.5,180,387.5,SBD,Single-ply,F
