Name,Team,BodyweightKg,Best3SquatKg,Best3BenchKg,SubTotal,Best3DeadliftKg,TotalKg,Event,Equipment
H Wolsey,WAL,44,87.5,42.5,130,115,245,SBD,Single-ply
S Jones,EM,44,90,40,130,110,240,SBD,Single-ply
S Harris,SE,44,70,40,110,100,210,SBD,Single-ply
C Darr,SW,44,65,50,115,92.5,207.5,SBD,Single-ply
K Ramsey,SE,48,100,52.5,152.5,127.5,280,SBD,Single-ply
G Dean,WM,48,75,35,110,112.5,222.5,SBD,Single-ply
A Pearce,SE,48,65,40,105,92.5,197.5,SBD,Single-ply
S Stapleton,NM,48,105,,,,,SBD,Single-ply
J Hunter,EM,52,135,80,215,172.5,387.5,SBD,Single-ply
L Manester,SE,52,110,65,175,130,305,SBD,Single-ply
I Webster,SM,52,105,57.5,162.5,112.5,275,SBD,Single-ply
M Thomas,NM,52,100,40,140,125,265,SBD,Single-ply
D Hopkins,WAL,52,90,40,130,105,235,SBD,Single-ply
D Santoz,WM,52,77.5,30,107.5,110,217.5,SBD,Single-ply
C Monnox,WM,52,62.5,35,97.5,112.5,210,SBD,Single-ply
Jackie Blasbery,EM,56,137.5,55,192.5,157.5,350,SBD,Single-ply
M Green,SW,56,135,67.5,202.5,140,342.5,SBD,Single-ply
J Dewhalley,SE,56,120,52.5,172.5,150,322.5,SBD,Single-ply
S Towns,NM,56,115,55,170,145,315,SBD,Single-ply
L Steggles,SW,56,115,62.5,177.5,135,312.5,SBD,Single-ply
S Williams,SE,56,110,52.5,162.5,147.5,310,SBD,Single-ply
D Thomas,NM,56,125,45,170,140,310,SBD,Single-ply
S Rowlands,NM,56,82.5,55,137.5,120,257.5,SBD,Single-ply
L Sandom,WM,56,110,,,,,SBD,Single-ply
R Bass,GL,60,160,82.5,242.5,165,407.5,SBD,Single-ply
J Jones,SM,60,145,60,205,120,325,SBD,Single-ply
V Smith,SE,60,120,55,175,142.5,317.5,SBD,Single-ply
S Tarrant,SE,60,120,55,175,140,315,SBD,Single-ply
Doreen Dowsett,NM,60,110,50,160,147.5,307.5,SBD,Single-ply
T Saunders,SE,60,125,50,175,130,305,SBD,Single-ply
E Haynes,EM,60,112.5,47.5,160,145,305,SBD,Single-ply
C Slater,SM,60,115,55,170,135,305,SBD,Single-ply
P Jeffries,NW,60,110,60,170,120,290,SBD,Single-ply
N Hughes,WM,60,105,55,160,130,290,SBD,Single-ply
L Gannon,WM,60,110,45,155,135,290,SBD,Single-ply
T Watkins,WM,60,90,65,155,122.5,277.5,SBD,Single-ply
H Mccalmon,WAL,60,,,,,,SBD,Single-ply
T Roberts,WM,67.5,165,80,245,162.5,407.5,SBD,Single-ply
A Smith,EM,67.5,137.5,80,217.5,165,382.5,SBD,Single-ply
J Taylor,SM,67.5,115,55,170,155,325,SBD,Single-ply
M Coleman,SM,67.5,115,75,190,130,320,SBD,Single-ply
S Wilson-Wolfe,YNE,67.5,125,55,180,125,305,SBD,Single-ply
C Kirk,SE,67.5,120,55,175,115,290,SBD,Single-ply
P Glansby,GL,67.5,115,45,160,127.5,287.5,SBD,Single-ply
J Nichols,WM,67.5,,,,,,SBD,Single-ply
R Wellington,WAL,67.5,,,,,,SBD,Single-ply
S Mackness,SE,75,150,77.5,227.5,180,407.5,SBD,Single-ply
C Bonner,SM,75,135,65,200,170,370,SBD,Single-ply
A Leslie,WM,75,140,67.5,207.5,160,367.5,SBD,Single-ply
B Bullock,SE,75,130,62.5,192.5,155,347.5,SBD,Single-ply
K Meadows,GL,75,125,65,190,147.5,337.5,SBD,Single-ply
L Curtis,WAL,75,,,,,,SBD,Single-ply
J Oakes,GL,82.5,210,112.5,322.5,210,532.5,SBD,Single-ply
Carole Springett,YNE,82.5,147.5,57.5,205,152.5,357.5,SBD,Single-ply
J Pepper,SE,90,167.5,90,257.5,180,437.5,SBD,Single-ply
Y Clarke,SE,90,160,67.5,227.5,180,407.5,SBD,Single-ply
J Kerr,SE,90+,145,95,240,160,400,SBD,Single-ply
