Name,Team,BodyweightKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Event,Equipment,Sex
H Wolsey,WA,42.8,105,55,130,290,SBD,Single-ply,F
C Darr,SW,43.6,75,47.5,90,212.5,SBD,Single-ply,F
S Jones,EM,44,95,,,,SBD,Single-ply,F
S Stapleton,NM,46,100,47.5,125,272.5,SBD,Single-ply,F
N Davies,NM,48,75,42.5,110,227.5,SBD,Single-ply,F
L Beards,WM,47.7,75,35,105,215,SBD,Single-ply,F
K Ramsey,SE,46.2,110,,,,SBD,Single-ply,F
L Manester,SE,51.2,117.5,67.5,135,320,SBD,Single-ply,F
I Webster,SM,50,115,57.5,112.5,285,SBD,Single-ply,F
N Thomas,NM,50.5,95,47.5,122.5,265,SBD,Single-ply,F
H Whittington,SE,51.7,82.5,42.5,110,235,SBD,Single-ply,F
T Pardoe,WM,51,75,40,107.5,222.5,SBD,Single-ply,F
S Rowlands,NM,50.9,90,55,,,SBD,Single-ply,F
J Powles,SW,51.9,75,,,,SBD,Single-ply,F
Jenny Hunter,EM,54.4,152.5,80,177.5,410,SBD,Single-ply,F
Jackie Blasbery,EM,55,145,67.5,157.5,370,SBD,Single-ply,F
J Dewhalley,SE,54.1,125,55,145,325,SBD,Single-ply,F
L Thomas,NM,55.1,125,52.5,135,312.5,SBD,Single-ply,F
S Steele,WM,56,112.5,50,147.5,310,SBD,Single-ply,F
L Steggles,SW,52.9,105,65,125,295,SBD,Single-ply,F
R Bass,GL,59.2,155,82.5,165,402.5,SBD,Single-ply,F
S Williams,SE,59.4,127.5,60,165,352.5,SBD,Single-ply,F
J Jones,SM,58.5,150,65,125,340,SBD,Single-ply,F
P Jeffries,NW,57.9,120,70,140,330,SBD,Single-ply,F
E Haynes,GL,58.6,122.5,55,145,322.5,SBD,Single-ply,F
Doreen Dowsett,NM,58.8,112.5,55,140,307.5,SBD,Single-ply,F
R Francis,GL,58.4,112.5,47.5,145,305,SBD,Single-ply,F
K Bond,SE,58,95,65,120,280,SBD,Single-ply,F
V Maylum,SE,59.2,85,42.5,107.5,235,SBD,Single-ply,F
N Bartley,WA,57.6,125,50,145,320,SBD,Single-ply,F
A Smith,GL,66.9,155,82.5,167.5,405,SBD,Single-ply,F
J Nichols,WM,65.2,145,60,177.5,382.5,SBD,Single-ply,F
J Wheeler,SM,65.1,135,57.5,160,352.5,SBD,Single-ply,F
T Dove,EM,67.2,137.5,62.5,137.5,337.5,SBD,Single-ply,F
V Smith,SE,64.3,120,60,152.5,332.5,SBD,Single-ply,F
S Wilson-Wolfe,YNE,65.3,127.5,57.5,137.5,322.5,SBD,Single-ply,F
H Williams,NW,74,165,72.5,182.5,420,SBD,Single-ply,F
L Curtis,WA,73.2,160,60,160,380,SBD,Single-ply,F
C Bonner,SM,82.5,150,72.5,177.5,400,SBD,Single-ply,F
Carole Springett,YNE,81.5,135,55,145,335,SBD,Single-ply,F
J Pepper,SE,88.5,170,85,175,430,SBD,Single-ply,F
