Name,Team,Sex,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Equipment,Event,Place
Heather Eastlake,BDFPA,F,FO,56.75,58.5,100,110,-120,110,62.5,-67.5,67.5,67.5,135,145,155,155,332.5,Raw,SBD,1
Alicia Diment,BDFPA,F,FO,60.65,63,100,-107.5,112.5,112.5,45,47.5,50,50,120,132.5,-140,132.5,295,Raw,SBD,1
Isabel De Berri,BDFPA,F,FO,53.1,55.5,80,90,-100,90,50,-55,55,55,90,100,-105,100,245,Raw,SBD,1
Kate Laszlo,BDFPA,F,FO,87.4,90,110,120,130,130,75,77.5,80,80,140,150,-155,150,360,Raw,SBD,1
Kari Sahan,BDFPA,F,FO,56.6,58.5,80,85,-90,85,45,47.5,-50,47.5,100,112.5,120,120,252.5,Raw,SBD,2
Abigail Ralph,BDFPA,F,FO,51.4,53,60,70,80,80,30,-35,37.5,37.5,80,85,90,90,207.5,Raw,SBD,1
Brandi Simpson Miller,BDFPA,F,FO,77.55,80,110,117.5,-122.5,117.5,55,-57.5,0,55,100,110,115,115,287.5,Raw,SBD,1
Claire Poullias,BDFPA,F,FO,82.65,90,100,-112.5,112.5,112.5,45,-47.5,-47.5,45,100,112.5,120,120,277.5,Raw,SBD,2
Sarah Dandy,BDFPA,F,FO,99.25,90+,100,110,120,120,-50,60,0,60,110,120,130,130,310,Raw,SBD,1
Bethany Jim,BDFPA,F,FO,57,58.5,70,77.5,-85,77.5,32.5,35,-37.5,35,82.5,90,95,95,207.5,Raw,SBD,2
Daniella Davila Aquise,BDFPA,F,FO,63.5,70,70,-77.5,-77.5,70,37.5,40,-42.5,40,80,87.5,-90,87.5,197.5,Raw,SBD,1
Carrie Ryan,BDFPA,F,FO,73.6,80,72.5,-77.5,-77.5,72.5,-42.5,-42.5,42.5,42.5,75,82.5,90,90,205,Raw,SBD,2
Tom Hammilton,BDFPA,M,MO,82.4,82.5,215,225,-235,225,140,145,150,150,245,257.5,270,270,645,Raw,SBD,1
Ricardo Madeira,BDFPA,M,MO,80.7,82.5,195,205,-215,205,135,140,-145,140,250,265,-270,265,610,Raw,SBD,2
Liam Snusher,BDFPA,M,MO,96.2,100,200,210,220,220,130,140,150,150,230,260,270,270,640,Raw,SBD,1
Christopher Pengelly,BDFPA,M,MO,122.6,125,225,232.5,240,240,152.5,160,-165,160,240,250,260,260,660,Raw,SBD,1
Rhys Charlesworth,BDFPA,M,MO,119.2,125,200,220,0,220,170,180,-190,180,220,230,0,230,630,Raw,SBD,2
Cameron Goode,BDFPA,M,MO,95.9,100,172.5,177.5,182.5,182.5,117.5,122.5,127.5,127.5,210,220,225,225,535,Raw,SBD,1
Jan Niznik,BDFPA,M,MO,130.3,145,185,200,0,200,135,-142.5,142.5,142.5,215,-227.5,-227.5,215,557.5,Raw,SBD,1
Gerard Lee,BDFPA,M,MO,71.6,75,120,140,-160,140,70,75,80,80,170,177.5,187.5,187.5,407.5,Raw,SBD,1
Mark Moss,BDFPA,M,MO,105.2,110,170,180,-190,180,120,127.5,130,130,180,190,-192.5,190,500,E,SBD,1
Terry Mattthews,BDFPA,M,MO,97.7,100,0,0,0,0,140,-150,152.5,152.5,0,,0,0,152.5,Raw,B,3
Martin O'Grady,BDFPA,M,MO,94.3,100,0,0,0,0,115,120,-125,120,0,0,0,0,120,Raw,B,1
