Sex,WeightClassKg,BodyweightKg,Name,Team,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Place,Event,Equipment,AgeClass
F,52,51.9,Jenny Hunter,EM,75,85,92.5,92.5,65,72.5,75,72.5,130,140,145.5,145.5,310.5,1,SBD,Raw,23.5-39.5
F,57,56.1,Pelin Baykal,GL ,75,85,95,85,50,55,60,55,125,135,145,145,285,1,SBD,Raw,23.5-39.5
F,57,56.5,Lucy Cohen,W,75,85,92.5,85,45,50,50,50,90,100,110,110,245,2,SBD,Raw,23.5-39.5
F,57,53.8,Joanne Dudley,YNE,70,75,80,75,47.5,52.5,52.5,47.5,105,110,120,120,242.5,3,SBD,Raw,23.5-39.5
F,57,56.1,Victoria Hillier,YNE,57.5,65,70,70,40,45,47.5,47.5,85,95,105,105,222.5,4,SBD,Raw,23.5-39.5
F,63,62.9,Louise Watton,SW,127.5,132.5,,132.5,67.5,72.5,75,72.5,160,170,,170,375,1,SBD,Raw,23.5-39.5
F,63,61.7,Louise Withington,YNE,112.5,115,120,120,55,60,62.5,62.5,135,145,152.5,152.5,335,2,SBD,Raw,23.5-39.5
F,63,61.1,Abi Graham,EM,92.5,100,105,100,60,65,67.5,65,130,135,140,140,305,3,SBD,Raw,23.5-39.5
F,63,61.6,Danielle Chambers,YNE,90,100,105,105,60,65,65,60,120,122.5,125,122.5,287.5,4,SBD,Raw,23.5-39.5
F,63,62.1,Sarah Franklin,GL,80,85,90,90,42.5,47.5,50,47.5,100,110,110,100,237.5,5,SBD,Raw,23.5-39.5
F,72,67.1,Jordana Freemantle,WM,107.5,117.5,127.5,127.5,75,80,85,85,125,135,145,145,357.5,1,SBD,Raw,23.5-39.5
F,72,71.7,Jenna Sadler,YNE,95,100,105,100,60,65,65,60,150,160,160,150,310,2,SBD,Raw,23.5-39.5
F,84+,93.1,Shantelle Svarc,NM,95,102.5,107.5,107.5,65,70,70,65,120,127.5,127.5,120,292.5,1,SBD,Raw,23.5-39.5
F,63,61.6,Alysha Huxley,W,50,57.5,65,65,37.5,42.5,45,42.5,70,80,87.5,87.5,195,1,SBD,Raw,18.5-23.5
F,84,76.3,Shachar Head,SW,110,117.5,117.5,117.5,70,75,80,75,140,150,160.5,150,342.5,2,SBD,Raw,14-18.5
F,84,78.7,Victoria Embelton,YNE,110,120,125,125,52.5,57.5,60,60,120,135,140,135,320,3,SBD,Raw,18.5-23.5
F,47,44.3,Marina Cornwall,SM,67.5,72.5,77.5,72.5,47.5,50.5,51,50.5,107.5,115,120,120,243,1,SBD,Raw,49.5-59.5
F,52,50.5,Lindi Taylor Marson,NM,47.5,50,52.5,52.5,32.5,35,37.5,35,70,75,80,80,167.5,1,SBD,Raw,49.5-59.5
F,57,56.5,Carol Taylor,YNE,92.5,92.5,100,92.5,42.5,45,47.5,47.5,130,135,140,135,275,1,SBD,Raw,49.5-59.5
F,57,57,Sarah Collier,YNE,75,80,80,75,45,47.5,50,47.5,92.5,100,107.5,107.5,230,2,SBD,Raw,39.5-49.5
F,72,67.7,Wendy Kirkland,NM,97.5,105,110,110,57.5,62.5,65,65,110,117.5,122.5,122.5,297.5,1,SBD,Raw,39.5-49.5
F,72,70.5,Sue Giles,NM,75,85,87.5,87.5,47.5,52.5,55,52.5,110,123,130.5,123,263,2,SBD,Raw,49.5-59.5
