Name,Team,Division,BodyweightKg,WeightClassKg,BirthDate,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Place,Event,Sex,Equipment
Jo Whiteley,NM,F-C-M2,132.5,84+,,120,,,120,90,97.5,102.5,102.5,120,,,120,342.5,1,SBD,F,Raw
Ray Bowring,SM,M-E-SJ,147,120+,,-365,380,-403.5,380,200,-215,-220,200,270,290,-305,290,870,1,SBD,M,Single-ply
Rob Palmer,GL,M-E-SNR,92.2,93,,-340,340,,340,-240,240,-252.5,240,280,300,-307.5,300,880,1,SBD,M,Single-ply
Matt Watson,EM,M-E-SNR,92.8,93,,275,287.5,292.5,292.5,190,195,200,200,210,220,232.5,232.5,725,2,SBD,M,Single-ply
Khalon Hodson,NM,M-E-SNR,92,93,,-270,270,-290,270,-190,190,-200,190,240,252.5,-265,252.5,712.5,3,SBD,M,Single-ply
Thomas Morgan,WAL,M-E-SNR,89.8,93,,-275,-280,-280,,170,180,200,200,215,230,242.5,242.5,,DQ,SBD,M,Single-ply
Hugo Duarte,EM,M-E-SNR,92.4,93,,-320,-320,-320,,-210,210,-215,210,270,282.5,-295,282.5,,DQ,SBD,M,Single-ply
Andy Champ,EM,M-E-SNR,92.5,93,,-290,305,-315,305,-250,-250,-250,,270,280,285,285,,DQ,SBD,M,Single-ply
John Hamson,NM,M-E-SNR,102,105,,-300,-315,315,315,220,230,,230,275,290,-305,290,835,1,SBD,M,Single-ply
Robert Hutton,SW,M-E-SNR,97.1,105,,270,277.5,282.5,282.5,170,-177.5,-177.5,170,275,287.5,300,300,752.5,2,SBD,M,Single-ply
Louis Phelps,SW,M-E-SNR,104.9,105,,280,-292.5,-292.5,280,155,-162.5,,155,240,255,262.5,262.5,697.5,3,SBD,M,Single-ply
Dave Richardson,NM,M-E-SNR,119.5,120,,315,325,330,330,195,200,-202.5,200,335,350,370.5,370.5,900.5,1,SBD,M,Single-ply
Jack Cook,EM,M-E-SNR,112.6,120,,315,330,340,340,225,235,242.5,242.5,317.5,-330,-330,317.5,900,2,SBD,M,Single-ply
Tony Cliffe,NW,M-E-SNR,126,120+,,300,320,-330,320,222.5,232.5,242.5,242.5,310,337.5,350,350,912.5,1,SBD,M,Single-ply
Jordan McLaughlin,NW,M-E-SNR,144,120+,,330,350,357.5,357.5,205,-212.5,-212.5,205,310,330,-337.5,330,892.5,2,SBD,M,Single-ply
Russel Kirby,SM,M-E-M1,103.6,105,,315,325,330,330,90,-100,105,105,250,260,270,270,705,1,SBD,M,Single-ply
Ian Ryan,NM,M-E-M1,118.7,120,,275,302.5,-310,302.5,210,215,-220,215,225,230,-235,230,747.5,1,SBD,M,Single-ply
Chris Godfrey,YNE,M-E-M1,119.2,120,,-270,270,-290,270,-180,180,190,190,220,232.5,-240,232.5,692.5,2,SBD,M,Single-ply
James Brincat-Smith,NM,M-E-M1,207,120+,,-340,340,-382.5,340,220,230,240,240,220,,,220,800,1,SBD,M,Single-ply
David Carter,YNE,M-E-M2,92.8,93,,217.5,230,240,240,145,152.5,157.5,157.5,260,280,287.5,287.5,685,1,SBD,M,Single-ply
James Mutrie,SCO,M-E-M2,92.7,93,,215,230,-240,230,155,-160,-160,155,210,220,-225,220,605,2,SBD,M,Single-ply
David Charnock,NW,M-E-M2,104.6,105,,200,220,240,240,145,155,160,160,225,235,240,240,640,1,SBD,M,Single-ply
Phil Frost,YNE,M-E-M2,119.7,120,,-250,250,-265,250,207.5,215.5,-218,215.5,205,225,235,235,700.5,1,SBD,M,Single-ply
Kevin Jane,EM,M-E-M3,92.8,93,,230,245,255,255,150,155,160,160,230,245,-250,245,660,1,SBD,M,Single-ply
Ben Hartley,NM,M-E-JR,69.70,74,,200.0,-210.0,-210.0,200.0,100.0,110.0,-120.0,110.0,170.0,190.0,-202.5,190.0,500.0,1,SBD,M,Single-ply
Phil Richard,WAL,M-E-M1,76.60,83,,275.0,-290.0,303.0,303.0,190.0,205.0,-215.5,205.0,230.0,245.0,-255.0,245.0,753.0,1,SBD,M,Single-ply
Jasvinder Singh Cheema,WM,M-E-M1,81.20,83,,220.0,235.0,240.0,240.0,-190.0,195.0,200.0,200.0,215.0,225.0,-227.5,225.0,665.0,2,SBD,M,Single-ply
Shaun Haynes,NM,M-E-M1,81.70,83,,220.0,235.0,245.0,245.0,175.0,185.0,-195.0,185.0,220.0,230.0,-237.5,230.0,660.0,3,SBD,M,Single-ply
Bernard McGurk,SCO,M-E-M2,73.80,74,,235.0,250.0,,250.0,140.0,-145.0,-145.0,140.0,250.0,265.0,-280.5,265.0,655.0,1,SBD,M,Single-ply
Robert Rodney,GL,M-E-M2,81.80,83,,180.0,195.0,205.0,205.0,130.0,135.0,-140.0,135.0,250.0,-270.0,270.0,270.0,610.0,1,SBD,M,Single-ply
George Miller,NI,M-E-M2,81.90,83,,210.0,220.0,225.0,225.0,145.0,150.0,152.5,152.5,215.0,230.0,-237.5,230.0,607.5,3,SBD,M,Single-ply
Glen Blacklock,YNE,M-E-M2,82.30,83,,215.0,225.0,-230.0,225.0,140.0,-145.0,145.0,145.0,220.0,232.5,240.0,240.0,610.0,2,SBD,M,Single-ply
Allen Ottolanqui,EM,M-E-M3,74.00,74,,200.0,215.0,226.0,226.0,130.0,-135.0,-135.0,130.0,190.0,210.0,-225.0,210.0,566.0,1,SBD,M,Single-ply
Michael James,SM,M-E-M4,65.60,66,,150.0,-160.0,160.0,160.0,90.0,105.0,107.5,107.5,170.0,180.0,190.0,190.0,457.5,1,SBD,M,Single-ply
Stan Macrow,WM,M-E-M4,69.90,74,,145.0,155.0,165.0,165.0,75.0,80.0,85.0,85.0,175.0,185.0,-190.0,185.0,435.0,1,SBD,M,Single-ply
Sunil Chahal,WM,M-E-SNR,73.60,74,,200.0,212.5,-220.0,212.5,160.0,-167.5,-167.5,160.0,,,,,,DQ,SBD,M,Single-ply
Paul Campbell,NM,M-E-SNR,73.60,74,,-260.0,260.0,265.0,265.0,-165.0,165.0,-170.0,165.0,250.0,-260.0,-260.0,250.0,680.0,1,SBD,M,Single-ply
Aodham Phillips-Lees,NM,M-E-SNR,73.70,74,,-225.0,232.5,245.0,245.0,150.0,160.0,-167.5,160.0,170.0,190.0,197.5,197.5,602.5,2,SBD,M,Single-ply
