Name,State,Country,Division,AgeRange,BodyweightKg,WeightClassKg,BirthYear,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Place,Event,BirthDate,Sex,Equipment
Jamie Green,NM,England,MR-Jr,18.5-22.5,104.1,105,2002,,,,,145,155,160,160,,,,,160,1,B,,M,Raw
Luke George,,Wales,MR-O,,101.9,105,1991,,,,,180,-190,,180,,,,,180,1,B,,M,Raw
Harvey Robinson,EM,England,MR-O,,118,120,,,,,,200,207.5,212.5,212.5,,,,,212.5,1,B,,M,Raw
Ryan Martin,WM,England,MR-O,,119.6,120,,,,,,190,197.5,-210,197.5,,,,,197.5,2,B,,M,Raw
Troy Atkin,SE,England,MR-O,,117.8,120,,,,,,170,180,-185,180,,,,,180,3,B,,M,Raw
Ross Shahin-Ajerlo,NW,England,MR-O,,125.9,120+,,,,,,180,190,-200,190,,,,,190,1,B,,M,Raw
Toby Caswell,SE,England,MR-O,,130.2,120+,,,,,,167.5,-172.5,172.5,172.5,,,,,172.5,2,B,,M,Raw
Daniel Amey,EM,England,MR-M1,39.5-48.5,89.8,93,,,,,,135,150,155,155,,,,,155,1,B,,M,Raw
Paul Constantine,NW,England,MR-M1,39.5-48.5,92.7,93,1975,,,,,140,145,-152.5,145,,,,,145,2,B,,M,Raw
Harbans Bansal,WM,England,MR-M1,39.5-48.5,110.2,120,,,,,,180,190,200,200,,,,,200,1,B,,M,Raw
Carl Sheppard,WM,England,MR-M1,39.5-48.5,111.5,120,,,,,,155,-160,160,160,,,,,160,2,B,,M,Raw
Paul Reid,GL,England,MR-M1,39.5-48.5,106.6,120,,,,,,135,142.5,-147.5,142.5,,,,,142.5,3,B,,M,Raw
Scott Squire,NW,England,MR-M1,39.5-48.5,207,120+,,,,,,185,195,-205,195,,,,,195,1,B,,M,Raw
Darren Sach,EM,England,MR-M1,39.5-48.5,155.1,120+,,,,,,160,-170,-170,160,,,,,160,2,B,,M,Raw
Nicholas Hall,YNE,England,MR-M2,49.5-58.5,86.1,93,,,,,,107.5,112.5,115,115,,,,,115,1,B,,M,Raw
David Penney,NW,England,MR-M2,49.5-58.5,86.5,93,1968,,,,,105,-110,-110,105,,,,,105,2,B,,M,Raw
Robert Baxter,NM,England,MR-M3,59.5-68.5,91.2,93,1952,,,,,110,117.5,120,120,,,,,120,1,B,,M,Raw
Steve Hart,EM,England,MR-M3,59.5-68.5,91.8,93,,,,,,95,-105,-105,95,,,,,95,2,B,,M,Raw
Harold Houldershaw,NM,England,MR-M3,59.5-68.5,103.4,105,1960,,,,,95,100,105,105,,,,,105,1,B,,M,Raw
Michael Ellender,SE,England,MR-M4,69.5-78.5,91.6,93,1945,,,,,95,105,-112.5,105,,,,,105,1,B,,M,Raw
Iska Trace-Kleeberg,EM,England,FR-Jr,18.5-22.5,48.10,52,1998,,,,,50.0,55.0,57.5,57.5,,,,,57.5,1,B,,F,Raw
Amelia Maycock,NM,England,FR-Jr,18.5-22.5,68.30,69,,,,,,75.0,80.0,-87.5,80.0,,,,,80.0,1,B,,F,Raw
Tabitha Panton,,Wales,FR-Jr,18.5-22.5,78.20,84,,,,,,80.0,-85.0,-85.0,80.0,,,,,80.0,1,B,,F,Raw
Esther Jinadu,SE,England,FR-Jr,18.5-22.5,81.10,84,,,,,,62.5,67.5,75.0,75.0,,,,,75.0,2,B,,F,Raw
Harriet Waite,EM,England,FR-Jr,18.5-22.5,82.20,84,,,,,,67.5,72.5,75.0,75.0,,,,,75.0,3,B,,F,Raw
Chau-Long Le,GL,England,FR-O,,51.10,52,1993,,,,,70.0,-72.5,-72.5,70.0,,,,,70.0,1,B,,F,Raw
Tamsin Gamble,NW,England,FR-O,,50.90,52,,,,,,47.5,52.5,-57.5,52.5,,,,,52.5,2,B,,F,Raw
Sheina Kaye,NW,England,FR-O,,55.60,57,,,,,,80.0,85.0,87.5,87.5,,,,,87.5,1,B,,F,Raw
Melissa Hexter,GL,England,FR-O,,58.60,63,,,,,,105.5,110.0,-113.0,110.0,,,,,110.0,1,B,,F,Raw
Katie Roberts,,Wales,FR-O,,62.60,63,,,,,,-105.0,-105.0,-105.0,,,,,,,DQ,B,,F,Raw
Karenjeet Kaur Bains,WM,England,FR-O,,66.50,69,,,,,,82.5,85.0,-90.0,85.0,,,,,85.0,1,B,,F,Raw
Hollie Johnson,YNE,England,FR-O,,68.90,69,,,,,,75.0,80.0,-87.5,80.0,,,,,80.0,2,B,,F,Raw
Sophia Ellis,GL,England,FR-O,,73.50,76,,,,,,112.5,-118.0,-118.0,112.5,,,,,112.5,1,B,,F,Raw
Lucy Glover,SM,England,FR-O,,75.30,76,,,,,,87.5,90.0,-92.5,90.0,,,,,90.0,2,B,,F,Raw
Amy Clair,EM,England,FR-O,,75.40,76,,,,,,75.0,80.0,82.5,82.5,,,,,82.5,3,B,,F,Raw
Katrina Sweatman,WM,England,FR-O,,127.60,84+,,,,,,100.0,107.5,110.0,110.0,,,,,110.0,1,B,,F,Raw
Kimberley Kirkham,EM,England,FR-O,,100.90,84+,,,,,,60.0,65.0,70.0,70.0,,,,,70.0,2,B,,F,Raw
Galit Goldshmid,SM,England,FR-M1,39.5-48.5,61.50,63,,,,,,80.0,-82.5,82.5,82.5,,,,,82.5,1,B,,F,Raw
