Name,Age,Sex,Division,Equipment,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Event,Place
Rhianon Lovelace,,F,F_J_C_BPU,Wraps,63.8,67.5,155,165,170,170,92.5,100,105,105,175,185,-195,185,460,SBD,1
Charlotte Taylor,,F,F_J_R_ABPU,Raw,58.1,60,,,,,,,,,95,100,-105,100,100,D,1
Sal Lack,,F,F_M1_R_BPU,Raw,94.1,90+,,,,,52.5,-60,-60,52.5,,,,,52.5,B,1
Sal Lack,,F,F_M1_R_BPU,Raw,94.1,90+,,,,,,,,,80,95,110,110,110,D,1
Sal Lack,,F,F_M1_R_BPU,Raw,94.1,90+,40,60,-80,60,52.5,-60,-60,52.5,80,95,110,110,222.5,SBD,1
Jo Whiteley,,F,F_M2_C_ABPU,Wraps,104.1,90+,137.5,145,150,150,75,77.5,80,80,170,182.5,-187.5,182.5,412.5,SBD,1
Valerie Tinker,,F,F_M4_R_ABPU,Raw,68.6,75,,,,,45,-50,-50,45,,,,,45,B,1
Valerie Tinker,,F,F_M4_R_ABPU,Raw,68.6,75,,,,,,,,,100,110,120,120,120,D,1
Valerie Tinker,,F,F_M4_R_ABPU,Raw,68.6,75,-40,40,-50,40,45,-50,-50,45,100,110,120,120,205,SBD,1
Lexy Cattermole,,F,F_O_C_ABPU,Wraps,51.5,52,67.5,75,80,80,42.5,47.5,52.5,52.5,95,102.5,107.5,107.5,240,SBD,2
Maria Andrews,,F,F_O_C_ABPU,Wraps,52,52,110,117.5,-122.5,117.5,52.5,55,-57.5,55,125,-132.5,-132.5,125,297.5,SBD,1
Amanda Hillary,,F,F_O_C_ABPU,Wraps,59.1,60,105,112.5,120,120,52.5,57.5,-60,57.5,125,130,-132.5,130,307.5,SBD,1
Kimberley Cowell,,F,F_O_C_ABPU,Wraps,71.6,75,140,150,155,155,75,77.5,80,80,155,165,170,170,405,SBD,1
Rhianon Lovelace,,F,F_O_C_BPU,Wraps,63.8,67.5,155,165,170,170,92.5,100,105,105,175,185,-195,185,460,SBD,1
Stephanie Taylor,,F,F_O_M_BPU,Multi-ply,63.2,67.5,160,170,-180,170,90,-95,97.5,97.5,145,152.5,162.5,162.5,430,SBD,1
Sylwia Tomaszek,,F,F_O_R_ABPU,Raw,55.4,56,87.5,-95,-95,87.5,47.5,52.5,-55,52.5,105,110,120,120,260,SBD,2
Chloe Trippier,,F,F_O_R_ABPU,Raw,54.4,56,110,115,-120,115,52.5,57.5,-65,57.5,130,137.5,145,145,317.5,SBD,1
Amanda Hillary,,F,F_O_R_ABPU,Raw,59.1,60,,,,,52.5,57.5,-60,57.5,,,,,57.5,B,1
Charlotte Taylor,,F,F_O_R_ABPU,Raw,58.1,60,,,,,,,,,95,100,-105,100,100,D,2
Amanda Hillary,,F,F_O_R_ABPU,Raw,59.1,60,,,,,,,,,125,130,-132.5,130,130,D,1
Claudia Gren,,F,F_O_R_ABPU,Raw,58.8,60,-90,90,-100,90,50,55,57.5,57.5,110,120,125,125,272.5,SBD,1
Gemma Wright,,F,F_O_R_ABPU,Raw,74.1,75,110,-120,120,120,-52.5,57.5,-62.5,57.5,120,130,137.5,137.5,315,SBD,1
Learna Lee,,F,F_O_R_ABPU,Raw,89,90,130,-140,-140,130,80,85,-90,85,150,162.5,,162.5,377.5,SBD,1
